datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 06:08:39;59;23;12;0;3;0;2;0;0;2;1
2018-12-12 06:14:00;60;24;12;0;3;0;2;0;0;2;1
2018-12-12 06:16:00;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:16:58;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:17:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:18:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:19:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:20:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:21:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:22:58;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:23:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:24:58;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:25:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:26:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:27:58;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:28:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:29:58;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:30:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:31:59;61;24;13;0;3;0;2;0;0;2;1
2018-12-12 06:32:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:33:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:34:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:35:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:36:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:38:00;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:38:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:39:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:40:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:41:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:42:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:43:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:44:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:45:58;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:46:59;62;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:47:59;63;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:48:58;63;24;14;0;3;0;2;0;0;2;1
2018-12-12 06:49:59;63;24;14;0;3;0;2;0;0;2;1
