datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-19 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-19 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-19 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-19 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-19 00:05:58;3;0;1;0;0;0;0;0;0;0;0
2018-12-19 00:06:59;4;0;1;0;0;0;0;0;0;0;0
2018-12-19 00:07:59;5;0;1;1;0;0;0;0;0;0;0
2018-12-19 00:08:58;5;0;1;1;0;0;0;0;0;0;0
2018-12-19 00:09:59;6;1;1;1;0;0;0;0;0;0;0
2018-12-19 00:10:59;6;1;1;1;0;0;0;0;0;0;0
2018-12-19 00:11:58;7;1;1;2;0;0;0;0;0;0;0
2018-12-19 00:12:59;8;2;1;2;0;0;0;0;0;0;0
2018-12-19 00:13:59;9;2;1;2;0;0;1;0;0;0;0
2018-12-19 00:14:58;9;2;1;2;0;0;1;0;0;0;0
2018-12-19 00:15:59;11;2;1;2;0;0;1;1;0;0;0
2018-12-19 00:16:58;11;2;1;2;0;0;1;1;0;0;0
2018-12-19 00:17:59;11;2;2;2;0;0;0;1;0;0;0
2018-12-19 00:18:59;11;2;2;2;0;0;0;1;0;0;0
2018-12-19 00:19:58;12;2;2;2;0;0;0;1;0;0;0
2018-12-19 00:20:59;13;3;2;2;0;0;0;1;0;0;0
2018-12-19 00:21:59;15;3;3;3;0;0;0;1;0;0;0
2018-12-19 00:22:58;15;3;3;3;0;0;0;1;0;0;0
2018-12-19 00:23:59;17;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:24:58;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:25:59;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:26:59;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:27:58;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:28:59;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:29:58;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:30:59;18;3;4;3;0;0;0;1;0;1;0
2018-12-19 00:31:59;20;3;4;3;0;0;1;2;0;1;0
2018-12-19 00:32:58;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:33:59;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:34:59;21;3;3;3;0;0;3;2;0;0;0
2018-12-19 00:35:58;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:36:59;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:37:58;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:38:59;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:39:59;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:40:58;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:41:59;21;3;4;3;0;0;2;2;0;0;0
2018-12-19 00:42:58;23;4;4;3;0;0;2;2;0;0;0
2018-12-19 00:43:59;24;4;4;3;0;0;2;2;0;1;0
2018-12-19 00:44:59;24;4;4;3;0;0;2;2;0;1;0
2018-12-19 00:45:58;24;4;4;3;0;0;2;2;0;1;0
2018-12-19 00:46:59;24;4;4;3;0;0;2;2;0;1;0
2018-12-19 00:47:59;24;4;4;3;0;0;2;2;0;1;0
2018-12-19 00:48:58;25;4;4;3;0;1;2;2;0;1;0
2018-12-19 00:49:59;25;4;4;3;0;1;2;2;0;1;0
2018-12-19 00:50:59;25;4;4;3;0;1;2;2;0;1;0
2018-12-19 00:51:58;25;4;4;3;0;1;2;2;0;1;0
2018-12-19 00:52:59;27;5;5;3;0;1;2;2;0;1;0
2018-12-19 00:53:59;28;5;5;3;0;1;2;3;0;1;0
2018-12-19 00:54:58;28;5;5;3;0;1;2;3;0;1;0
2018-12-19 00:55:59;29;5;5;3;0;1;2;3;0;1;0
2018-12-19 00:56:59;30;5;5;3;0;2;2;3;0;1;0
2018-12-19 00:57:58;30;5;5;3;0;2;2;3;0;1;0
2018-12-19 00:58:59;31;5;6;3;0;2;2;3;0;1;0
2018-12-19 00:59:59;31;5;6;3;0;2;2;3;0;1;0
2018-12-19 01:00:58;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:01:59;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:02:58;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:03:59;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:04:59;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:05:58;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:06:59;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:07:59;32;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:08:58;33;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:09:59;33;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:10:59;33;5;6;3;0;2;2;4;0;1;0
2018-12-19 01:11:58;34;5;6;3;0;2;2;4;0;0;0
2018-12-19 01:12:59;34;5;6;3;0;2;2;4;0;0;0
2018-12-19 01:13:58;34;5;6;3;0;2;2;4;0;0;0
2018-12-19 01:14:59;34;5;6;3;0;2;2;4;0;0;0
2018-12-19 01:15:59;35;5;6;3;0;2;3;4;0;0;0
2018-12-19 01:16:58;35;5;6;3;0;2;3;4;0;0;0
2018-12-19 01:17:59;35;5;6;3;0;2;3;4;0;0;0
2018-12-19 01:18:59;35;5;6;3;0;2;3;4;0;0;0
2018-12-19 01:19:58;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:20:59;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:21:59;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:22:58;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:23:59;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:24:59;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:25:58;37;7;6;3;0;2;3;4;0;0;0
2018-12-19 01:26:59;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:27:58;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:28:59;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:29:59;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:30:58;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:31:59;38;8;6;3;0;2;3;4;0;0;0
2018-12-19 01:32:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:33:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:34:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:35:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:36:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:37:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:38:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:39:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:40:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:41:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:42:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:43:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:44:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:45:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:46:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:47:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:48:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:49:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:50:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:51:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:52:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:53:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:54:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:55:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:56:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:57:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:58:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 01:59:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 02:00:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 02:01:58;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 02:02:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 02:03:59;39;8;6;4;0;2;3;4;0;0;0
2018-12-19 02:04:58;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:05:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:06:58;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:07:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:08:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:09:58;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:10:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:11:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:12:58;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:13:59;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:14:58;40;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:15:59;41;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:16:59;41;9;6;4;0;2;3;4;0;0;0
2018-12-19 02:17:58;41;9;6;4;0;2;3;4;0;0;0
