datetime;total_votes;maria_ego;rockamark;UndeadMoroz;UncleDre;Bf109H;jovan;pupsique;user0ff;ZevB3K;brammator
2018-12-26 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:03:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:05:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:06:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:07:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:08:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:09:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:10:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:11:58;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:12:59;0;0;0;0;0;0;0;0;0;0;0
2018-12-26 00:13:59;2;0;0;0;0;0;1;0;0;0;0
2018-12-26 00:14:58;2;0;0;0;0;0;1;0;0;0;0
2018-12-26 00:15:59;4;0;0;0;0;0;2;0;0;0;0
2018-12-26 00:16:59;5;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:17:58;5;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:18:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:19:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:20:58;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:21:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:22:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:23:58;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:24:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:25:59;6;0;1;0;0;0;2;0;0;0;0
2018-12-26 00:26:58;7;0;1;0;1;0;2;0;0;0;0
2018-12-26 00:27:59;7;0;1;0;1;0;2;0;0;0;0
2018-12-26 00:28:59;9;0;2;0;1;0;3;0;0;0;0
2018-12-26 00:29:58;10;0;2;0;2;0;3;0;0;0;0
2018-12-26 00:30:59;10;0;2;0;2;0;3;0;0;0;0
2018-12-26 00:31:58;11;0;2;0;2;0;4;0;0;0;0
2018-12-26 00:32:59;12;0;2;0;2;0;4;0;0;0;0
2018-12-26 00:33:59;12;0;2;0;2;0;4;0;0;0;0
2018-12-26 00:34:58;12;0;2;0;2;0;4;0;0;0;0
2018-12-26 00:35:59;12;0;2;0;2;0;4;0;0;0;0
2018-12-26 00:36:59;13;0;2;0;3;0;4;0;0;0;0
2018-12-26 00:37:58;13;0;2;0;3;0;4;0;0;0;0
2018-12-26 00:38:59;14;0;2;1;3;0;4;0;0;0;0
2018-12-26 00:39:59;14;0;2;1;3;0;4;0;0;0;0
2018-12-26 00:40:58;15;0;2;1;4;0;4;0;0;0;0
2018-12-26 00:41:59;15;0;2;1;4;0;4;0;0;0;0
2018-12-26 00:42:59;15;0;2;1;4;0;4;0;0;0;0
2018-12-26 00:43:58;15;0;2;1;4;0;4;0;0;0;0
