datetime;total_votes;UndeadMoroz;ksiam;Great_Mu;pupsique;UncleDre;Wiedemann;Zippymax;limpo-po;Umgewandelt;berdax
2019-01-02 00:00:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:01:58;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:02:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:03:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:04:58;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:05:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:06:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:07:58;2;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:08:59;2;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:09:59;2;0;0;0;0;1;0;0;0;0;0
2019-01-02 00:10:58;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:11:59;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:12:59;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:13:58;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:14:59;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:15:59;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:16:58;3;1;0;0;0;1;0;0;0;0;0
2019-01-02 00:17:59;4;1;0;0;0;2;0;0;0;0;0
2019-01-02 00:18:58;5;1;0;0;0;2;0;0;1;0;0
2019-01-02 00:19:59;6;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:20:59;6;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:21:58;7;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:22:59;7;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:23:59;7;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:24:58;7;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:25:59;7;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:26:58;8;1;1;0;0;2;0;0;1;0;0
2019-01-02 00:27:59;9;1;2;0;0;2;0;0;1;0;0
2019-01-02 00:28:59;9;1;2;0;0;2;0;0;1;0;0
2019-01-02 00:29:59;10;2;2;0;0;2;0;0;1;0;0
2019-01-02 00:30:58;11;2;2;0;0;3;0;0;1;0;0
2019-01-02 00:31:58;11;2;2;0;0;3;0;0;1;0;0
2019-01-02 00:32:59;12;2;2;1;0;3;0;0;1;0;0
2019-01-02 00:33:59;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:34:58;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:35:59;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:37:00;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:37:58;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:38:59;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:39:58;14;2;2;3;0;3;0;0;1;0;0
2019-01-02 00:40:59;14;2;2;3;0;3;0;0;1;0;0
