datetime;total_votes;Terkin;Bf109H;Mutafakaz;pupsique;Zippymax;Autumn;DSP_2010;xeitolich;praktik;Есения
2019-01-09 00:00:59;2;0;0;1;0;0;0;0;0;0;0
2019-01-09 00:01:58;4;1;0;2;0;0;0;0;0;0;0
2019-01-09 00:02:59;4;1;0;2;0;0;0;0;0;0;0
2019-01-09 00:03:58;7;3;0;3;0;0;0;0;0;0;0
2019-01-09 00:04:59;7;3;0;3;0;0;0;0;0;0;0
2019-01-09 00:05:59;9;4;0;4;0;0;0;0;0;0;0
2019-01-09 00:06:58;9;4;0;3;0;0;0;0;0;0;0
2019-01-09 00:07:59;10;4;0;3;0;0;1;0;0;0;0
2019-01-09 00:08:58;13;5;1;3;0;0;1;0;0;1;0
2019-01-09 00:09:59;16;7;1;4;0;0;1;0;0;1;0
2019-01-09 00:10:59;18;8;1;5;0;0;1;0;0;1;0
2019-01-09 00:11:58;18;8;1;5;0;0;1;0;0;1;0
2019-01-09 00:12:59;18;8;1;5;0;0;1;0;0;1;0
2019-01-09 00:13:59;18;8;1;5;0;0;1;0;0;1;0
2019-01-09 00:14:58;18;8;1;5;0;0;1;0;0;1;0
2019-01-09 00:15:59;19;9;1;5;0;0;1;0;0;1;0
2019-01-09 00:16:59;20;10;1;5;0;0;1;0;0;1;0
2019-01-09 00:17:58;20;10;1;5;0;0;1;0;0;1;0
2019-01-09 00:18:59;23;13;1;5;0;0;1;0;0;1;0
2019-01-09 00:19:59;24;14;1;5;0;0;1;0;0;1;0
2019-01-09 00:20:58;25;14;1;6;0;0;1;0;0;1;0
2019-01-09 00:21:59;25;14;1;6;0;0;1;0;0;1;0
2019-01-09 00:22:59;25;14;1;6;0;0;1;0;0;1;0
2019-01-09 00:23:58;25;14;1;6;0;0;1;0;0;1;0
2019-01-09 00:24:59;25;14;1;6;0;0;1;0;0;1;0
2019-01-09 00:25:59;26;14;1;7;0;0;1;0;0;1;0
2019-01-09 00:26:58;26;14;1;7;0;0;1;0;0;1;0
2019-01-09 00:27:59;27;15;1;7;0;0;1;0;0;1;0
2019-01-09 00:28:59;27;15;1;7;0;0;1;0;0;1;0
2019-01-09 00:29:58;28;15;1;7;0;0;1;0;0;1;0
2019-01-09 00:30:59;28;15;1;7;0;0;1;0;0;1;0
2019-01-09 00:31:59;29;16;1;7;0;0;1;0;0;1;0
2019-01-09 00:32:58;29;16;1;7;0;0;1;0;0;1;0
2019-01-09 00:33:59;30;17;1;7;0;0;1;0;0;1;0
2019-01-09 00:34:59;31;18;1;7;0;0;1;0;0;1;0
2019-01-09 00:35:58;31;19;1;6;0;0;1;0;0;1;0
2019-01-09 00:36:59;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:37:59;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:38:58;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:39:59;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:40:58;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:41:59;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:42:59;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:43:58;32;19;1;6;0;1;1;0;0;1;0
2019-01-09 00:44:59;32;18;1;6;0;1;2;0;0;1;0
2019-01-09 00:45:59;32;19;1;6;0;1;2;0;0;1;0
2019-01-09 00:46:58;32;19;1;6;0;1;2;0;0;1;0
2019-01-09 00:47:59;33;20;1;6;0;1;2;0;0;1;0
2019-01-09 00:48:59;33;20;1;6;0;1;2;0;0;1;0
2019-01-09 00:49:58;34;21;1;6;0;1;2;0;0;1;0
2019-01-09 00:50:59;35;21;1;6;0;1;2;0;0;1;0
2019-01-09 00:51:58;36;21;1;6;0;1;2;0;0;1;0
2019-01-09 00:52:59;38;22;1;6;0;1;2;0;0;1;0
2019-01-09 00:53:59;39;23;1;6;0;1;2;0;0;1;0
2019-01-09 00:54:58;40;24;1;6;0;1;2;0;0;1;0
2019-01-09 00:55:59;40;24;1;6;0;1;2;0;0;1;0
2019-01-09 00:56:58;41;25;1;6;0;1;2;0;0;1;0
