datetime;total_votes;jovan;Bf109H;violetshit;UncleDre;sergoff;pupsique;brammator;rockamark;praktik;limpo-po
2019-01-16 00:00:59;0;0;0;0;0;0;0;1;0;0;0
2019-01-16 00:01:58;2;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:02:59;2;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:03:58;2;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:04:59;3;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:05:59;3;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:06:58;3;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:07:59;3;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:08:58;3;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:10:00;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:11:01;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:11:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:12:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:13:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:14:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:15:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:16:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:17:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:18:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:19:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:20:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:21:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:22:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:23:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:24:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:25:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:26:59;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:27:58;5;0;0;0;0;0;0;2;0;0;0
2019-01-16 00:28:59;7;0;0;0;2;0;0;2;0;0;0
