datetime;total_votes;violetshit;pupsique;sergoff;rockamark;KOCTOPE3;jovan;cofee;dear_pavlik;Есения;brammator
2019-01-23 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:05:58;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:06:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-23 00:07:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:08:58;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:09:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:10:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:11:58;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:12:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:13:59;0;0;0;0;0;1;0;0;0;0;0
2019-01-23 00:14:58;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:15:59;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:16:58;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:17:59;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:18:59;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:19:58;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:20:59;2;0;0;0;1;1;0;0;0;0;0
2019-01-23 00:21:59;3;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:22:58;3;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:23:59;4;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:24:59;5;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:25:58;5;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:26:59;5;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:27:59;5;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:28:58;5;0;0;0;1;1;0;0;1;0;0
2019-01-23 00:29:59;6;0;0;0;2;1;0;0;1;0;0
2019-01-23 00:30:59;6;0;0;0;2;1;0;0;1;0;0
2019-01-23 00:31:58;7;0;0;1;2;1;0;0;1;0;0
2019-01-23 00:32:59;8;1;0;1;2;1;0;0;1;0;0
2019-01-23 00:33:59;9;1;0;1;2;2;0;0;1;0;0
2019-01-23 00:34:58;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:35:59;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:36:59;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:37:58;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:38:59;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:39:58;10;2;0;1;2;2;0;0;1;0;0
2019-01-23 00:40:59;10;3;0;1;2;2;0;0;1;0;0
2019-01-23 00:41:59;10;3;0;1;2;2;0;0;1;0;0
2019-01-23 00:42:58;10;3;0;1;2;2;0;0;1;0;0
