datetime;total_votes;violetshit;KOCTOPE3;sergoff;psydoc;pupsique;xromota;Есения;UncleDre;BadFish;X-Rayer
2019-01-30 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:04:58;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:05:59;0;0;0;0;0;0;0;0;0;0;0
2019-01-30 00:06:59;2;0;0;0;0;0;0;0;0;1;0
2019-01-30 00:07:58;2;0;0;0;0;0;0;0;0;1;0
2019-01-30 00:08:59;2;0;0;0;0;0;0;0;0;1;0
2019-01-30 00:09:59;2;0;0;0;0;0;0;0;0;1;0
2019-01-30 00:10:58;3;0;0;0;1;0;0;0;0;1;0
2019-01-30 00:11:59;4;0;0;0;1;0;0;0;0;1;0
2019-01-30 00:13:00;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:13:58;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:14:59;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:16:00;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:16:58;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:17:59;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:18:58;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:19:59;5;0;1;0;1;0;0;0;0;1;0
2019-01-30 00:20:59;6;0;1;0;1;1;0;0;0;1;0
2019-01-30 00:21:58;6;0;1;0;1;1;0;0;0;1;0
2019-01-30 00:22:59;6;0;1;0;1;1;0;0;0;1;0
2019-01-30 00:23:58;7;0;1;0;2;1;0;0;0;1;0
2019-01-30 00:24:59;7;0;1;0;2;1;0;0;0;1;0
2019-01-30 00:25:59;9;0;1;1;2;1;0;0;0;1;0
2019-01-30 00:26:58;9;0;1;1;2;1;0;0;0;1;0
2019-01-30 00:27:59;10;0;1;1;2;1;0;0;1;1;0
2019-01-30 00:28:59;10;0;1;1;2;1;0;0;1;1;0
2019-01-30 00:29:58;10;0;1;1;2;1;0;0;1;1;0
2019-01-30 00:30:59;10;0;1;1;2;1;0;0;1;1;0
2019-01-30 00:31:58;11;1;1;1;2;1;0;0;1;1;0
2019-01-30 00:32:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:33:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:34:58;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:35:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:36:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:37:58;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:38:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:39:58;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:40:59;13;1;1;3;2;1;0;0;1;1;0
2019-01-30 00:41:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:42:58;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:43:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:44:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:45:58;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:46:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:47:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:48:58;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:49:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:50:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:51:58;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:52:59;14;1;1;3;3;1;0;0;1;1;0
2019-01-30 00:53:58;15;1;2;3;3;1;0;0;1;1;0
2019-01-30 00:54:59;16;1;3;3;3;1;0;0;1;1;0
2019-01-30 00:55:58;16;1;3;3;3;1;0;0;1;1;0
2019-01-30 00:56:59;16;1;3;3;3;1;0;0;1;1;0
2019-01-30 00:57:59;16;1;3;3;3;1;0;0;1;1;0
2019-01-30 00:58:58;17;2;3;3;3;1;0;0;1;1;0
2019-01-30 00:59:59;17;2;3;3;3;1;0;0;1;1;0
2019-01-30 01:00:59;18;2;3;3;4;1;0;0;1;1;0
2019-01-30 01:01:58;18;2;3;3;4;1;0;0;1;1;0
2019-01-30 01:02:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:03:58;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:04:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:05:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:06:58;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:07:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:08:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:09:58;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:10:59;19;2;3;4;4;1;0;0;1;1;0
2019-01-30 01:11:59;20;2;3;4;5;1;0;0;1;1;0
2019-01-30 01:12:58;21;2;3;5;5;1;0;0;1;1;0
2019-01-30 01:13:59;22;2;3;5;6;1;0;0;1;1;0
2019-01-30 01:14:59;23;2;3;6;6;1;0;0;1;1;0
2019-01-30 01:15:58;24;2;4;6;6;1;0;0;1;1;0
