datetime;total_votes;bigmouse;rockamark;Detsl;pupsique;kilogramm;yachik;Есения;brammator;denkoshka;berdax
2019-02-06 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-06 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-02-06 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-06 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-06 00:04:58;0;0;0;0;0;0;0;0;0;0;0
2019-02-06 00:05:59;2;0;0;0;0;0;0;0;1;0;0
2019-02-06 00:06:59;2;0;0;0;0;0;0;0;1;0;0
2019-02-06 00:07:58;2;0;0;0;0;0;0;0;1;0;0
2019-02-06 00:08:59;2;0;0;0;0;0;0;0;1;0;0
2019-02-06 00:09:59;3;0;0;0;0;1;0;0;1;0;0
2019-02-06 00:10:58;3;0;0;0;0;1;0;0;1;0;0
2019-02-06 00:11:59;3;0;0;0;0;1;0;0;1;0;0
2019-02-06 00:12:59;4;0;0;0;0;1;1;0;1;0;0
2019-02-06 00:13:58;4;0;0;0;0;1;1;0;1;0;0
2019-02-06 00:14:59;4;0;0;0;0;1;1;0;1;0;0
2019-02-06 00:16:00;5;0;1;0;0;1;1;0;1;0;0
2019-02-06 00:16:58;5;0;1;0;0;1;1;0;1;0;0
2019-02-06 00:17:59;5;0;1;0;0;1;1;0;1;0;0
2019-02-06 00:18:58;6;0;1;0;0;1;1;0;1;0;0
2019-02-06 00:19:59;6;0;1;0;0;1;1;0;1;0;0
2019-02-06 00:20:59;8;0;2;0;0;2;1;0;1;0;0
2019-02-06 00:21:58;9;0;2;0;0;2;2;0;1;0;0
2019-02-06 00:22:59;10;0;2;0;0;2;3;0;1;0;0
2019-02-06 00:23:59;11;0;2;0;0;3;3;0;1;0;0
2019-02-06 00:24:58;11;0;2;0;0;3;3;0;1;0;0
2019-02-06 00:25:59;11;0;2;0;0;3;3;0;1;0;0
2019-02-06 00:26:59;11;0;2;0;0;3;3;0;1;0;0
2019-02-06 00:27:58;12;0;2;0;0;3;3;0;1;0;0
2019-02-06 00:28:59;13;0;3;0;0;3;3;0;1;0;0
2019-02-06 00:29:59;13;0;3;0;0;3;3;0;1;0;0
2019-02-06 00:30:58;13;0;3;0;0;3;3;0;1;0;0
2019-02-06 00:31:59;13;0;3;0;0;3;3;0;1;0;0
2019-02-06 00:32:58;14;0;4;0;0;3;3;0;1;0;0
2019-02-06 00:33:59;18;0;4;0;0;6;3;0;1;1;0
2019-02-06 00:34:59;18;0;4;0;0;6;3;0;1;1;0
2019-02-06 00:35:58;19;0;4;0;0;6;4;0;1;1;0
2019-02-06 00:36:59;19;0;4;0;0;6;4;0;1;1;0
2019-02-06 00:37:58;20;0;5;0;0;6;4;0;1;1;0
2019-02-06 00:38:59;21;0;6;0;0;6;4;0;1;1;0
2019-02-06 00:39:59;21;0;6;0;0;6;4;0;1;1;0
2019-02-06 00:40:58;21;0;6;0;0;6;4;0;1;1;0
2019-02-06 00:41:59;21;0;6;0;0;6;4;0;1;1;0
2019-02-06 00:42:59;22;0;6;0;0;6;5;0;1;1;0
2019-02-06 00:43:58;23;0;6;0;0;6;5;0;1;1;0
2019-02-06 00:44:59;23;0;6;0;0;6;5;0;1;1;0
2019-02-06 00:45:59;23;0;6;0;0;6;5;0;1;1;0
2019-02-06 00:46:58;23;0;6;0;0;6;5;0;1;1;0
2019-02-06 00:47:59;24;0;6;0;0;7;5;0;1;1;0
2019-02-06 00:48:58;24;0;6;0;0;7;5;0;1;1;0
2019-02-06 00:49:59;26;0;7;0;0;7;5;0;1;1;0
2019-02-06 00:50:58;27;0;7;0;0;8;5;0;1;1;0
2019-02-06 00:51:59;27;0;7;0;0;8;5;0;1;1;0
2019-02-06 00:52:59;27;0;7;0;0;8;5;0;1;1;0
2019-02-06 00:53:59;27;0;7;0;0;8;5;0;1;1;0
2019-02-06 00:54:59;27;0;7;0;0;8;5;0;1;1;0
2019-02-06 00:55:59;28;0;7;0;0;8;5;1;1;1;0
2019-02-06 00:56:58;28;0;7;0;0;8;5;1;1;1;0
2019-02-06 00:57:59;28;0;7;0;0;8;5;1;1;1;0
2019-02-06 00:58:58;28;0;7;0;0;8;5;1;1;1;0
2019-02-06 00:59:59;28;0;7;0;0;8;5;1;1;1;0
2019-02-06 01:00:58;29;0;7;0;0;8;5;1;1;1;0
2019-02-06 01:01:59;28;0;7;0;0;8;5;1;1;1;0
