datetime;total_votes;madcore;bigmouse;leprovalentin;kilogramm;UncleDre;pupsique;megalomaniac;Есения;KOCTOPE3;HugoStiglitz
2019-02-13 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-13 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-02-13 00:02:59;0;0;0;0;1;0;0;0;0;0;0
2019-02-13 00:03:59;2;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:04:58;2;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:05:59;3;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:06:59;4;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:07:58;5;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:08:59;5;0;0;0;2;0;0;0;0;0;0
2019-02-13 00:09:59;7;0;1;0;2;0;0;0;0;0;1
2019-02-13 00:10:58;9;0;2;0;2;0;0;0;0;0;1
2019-02-13 00:11:59;9;0;2;0;2;0;0;0;0;0;1
2019-02-13 00:12:59;10;0;2;0;3;0;0;0;0;0;1
2019-02-13 00:13:58;10;0;2;0;3;0;0;0;0;0;1
2019-02-13 00:14:59;10;0;2;0;3;0;0;0;0;0;1
2019-02-13 00:15:59;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:16:58;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:17:59;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:18:58;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:19:59;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:21:00;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:21:58;11;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:22:59;12;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:23:58;12;0;2;0;3;1;0;0;0;0;1
2019-02-13 00:24:59;13;1;2;0;3;1;0;0;0;0;1
2019-02-13 00:25:59;14;1;2;0;3;1;0;0;0;0;1
2019-02-13 00:26:58;15;2;2;0;3;1;0;0;0;0;1
2019-02-13 00:27:59;16;2;2;0;3;2;0;0;0;0;1
2019-02-13 00:28:58;16;2;2;0;3;2;0;0;0;0;1
2019-02-13 00:29:59;19;3;3;0;4;2;0;0;0;0;1
2019-02-13 00:30:59;19;3;3;0;4;2;0;0;0;0;1
2019-02-13 00:31:58;19;3;3;0;4;2;0;0;0;0;1
2019-02-13 00:32:59;19;3;3;0;4;3;0;0;0;0;1
2019-02-13 00:33:59;19;3;3;0;4;3;0;0;0;0;1
2019-02-13 00:34:58;21;4;3;0;4;3;0;0;0;0;1
2019-02-13 00:35:59;21;4;3;0;4;3;0;0;0;0;1
2019-02-13 00:36:58;22;4;3;0;4;3;0;0;0;0;0
2019-02-13 00:37:59;23;3;4;0;4;3;0;0;0;0;1
2019-02-13 00:38:58;24;2;5;0;4;3;0;0;0;0;1
2019-02-13 00:39:59;24;2;5;0;4;3;0;0;0;0;1
2019-02-13 00:40:59;25;3;5;0;4;3;0;0;0;0;0
2019-02-13 00:41:59;25;3;6;0;4;2;0;0;0;0;0
2019-02-13 00:42:58;25;3;6;0;4;2;0;0;0;0;0
2019-02-13 00:43:59;27;3;6;0;6;2;0;0;0;0;0
2019-02-13 00:44:58;27;4;6;0;5;2;0;0;0;0;0
2019-02-13 00:45:59;27;4;6;0;5;2;0;0;0;0;0
2019-02-13 00:46:59;27;4;6;0;5;2;0;0;0;0;0
2019-02-13 00:47:58;27;4;6;0;5;2;0;0;0;0;0
2019-02-13 00:48:59;27;4;6;0;5;2;0;0;0;0;0
2019-02-13 00:49:59;27;5;5;0;5;2;0;0;0;0;0
2019-02-13 00:50:58;27;5;5;0;5;2;0;0;0;0;0
2019-02-13 00:51:59;27;5;5;0;5;2;0;0;0;0;0
2019-02-13 00:52:59;27;5;5;0;5;2;0;0;0;0;0
2019-02-13 00:53:58;29;5;7;0;5;3;0;0;0;0;1
2019-02-13 00:54:59;29;5;7;0;5;3;0;0;0;0;1
2019-02-13 00:55:59;30;5;7;0;5;3;0;0;0;0;0
