datetime;total_votes;leprovalentin;Plancus;daruta;KOCTOPE3;Rumpelstilzchen;yachik;Есения;X-Rayer;pupsique;madcore
2019-02-20 00:00:59;0;1;0;0;0;0;0;0;0;0;0
2019-02-20 00:01:59;0;1;0;0;0;0;0;0;0;0;0
2019-02-20 00:02:59;2;1;0;1;0;0;0;0;0;0;0
2019-02-20 00:03:58;4;1;1;2;0;0;0;0;0;0;0
2019-02-20 00:04:59;5;1;2;2;0;0;0;0;0;0;0
2019-02-20 00:05:59;5;1;2;2;0;0;0;0;0;0;0
2019-02-20 00:06:58;5;1;2;2;0;0;0;0;0;0;0
2019-02-20 00:07:59;6;1;3;2;0;0;0;0;0;0;0
2019-02-20 00:08:59;7;1;3;2;0;0;0;0;0;0;0
2019-02-20 00:09:58;8;2;3;2;0;0;0;0;0;0;0
2019-02-20 00:10:59;9;2;3;2;1;0;0;0;0;0;0
2019-02-20 00:11:59;9;2;3;2;1;0;0;0;0;0;0
2019-02-20 00:12:58;9;2;3;2;1;0;0;0;0;0;0
2019-02-20 00:13:59;10;2;3;3;1;0;0;0;0;0;0
2019-02-20 00:14:59;10;2;3;3;1;0;0;0;0;0;0
2019-02-20 00:15:58;10;2;3;3;1;0;0;0;0;0;0
2019-02-20 00:16:59;10;2;3;3;1;0;0;0;0;0;0
2019-02-20 00:17:58;11;2;3;3;1;1;0;0;0;0;0
2019-02-20 00:18:59;11;2;3;3;1;1;0;0;0;0;0
2019-02-20 00:19:59;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:20:59;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:21:58;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:22:59;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:23:58;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:24:59;12;2;4;3;1;1;0;0;0;0;0
2019-02-20 00:25:59;13;3;4;3;1;1;0;0;0;0;0
2019-02-20 00:26:58;13;3;4;3;1;1;0;0;0;0;0
2019-02-20 00:27:59;14;3;4;3;1;2;0;0;0;0;0
2019-02-20 00:28:59;15;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:29:58;15;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:30:59;15;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:31:58;15;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:32:59;16;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:33:59;16;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:34:58;16;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:35:59;16;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:36:59;16;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:37:58;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:38:59;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:39:59;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:40:58;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:41:59;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:42:58;17;3;4;3;2;2;0;0;0;0;0
2019-02-20 00:43:59;18;3;4;4;2;2;0;0;0;0;0
2019-02-20 00:44:58;19;3;5;4;2;2;0;0;0;0;0
2019-02-20 00:45:59;20;3;6;4;2;2;0;0;0;0;0
2019-02-20 00:46:59;20;3;6;4;2;2;0;0;0;0;0
2019-02-20 00:47:58;21;3;7;4;2;2;0;0;0;0;0
2019-02-20 00:48:59;21;3;7;4;2;2;0;0;0;0;0
2019-02-20 00:49:59;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:50:58;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:51:59;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:52:59;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:53:58;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:54:59;22;3;8;4;2;2;0;0;0;0;0
2019-02-20 00:55:58;23;4;8;4;2;2;0;0;0;0;0
2019-02-20 00:56:59;23;4;8;4;2;2;0;0;0;0;0
2019-02-20 00:57:59;24;4;9;4;2;2;0;0;0;0;0
2019-02-20 00:58:58;24;4;9;4;2;2;0;0;0;0;0
2019-02-20 00:59:59;24;4;9;4;2;2;0;0;0;0;0
2019-02-20 01:00:59;24;4;8;4;2;2;0;0;0;0;1
2019-02-20 01:01:58;24;4;8;4;2;2;0;0;0;0;1
2019-02-20 01:02:59;24;4;8;4;2;2;0;0;0;0;1
2019-02-20 01:03:59;24;4;8;4;2;2;0;0;0;0;1
2019-02-20 01:04:58;24;4;8;4;2;2;0;0;0;0;1
2019-02-20 01:05:59;25;4;8;4;2;2;1;0;0;0;1
2019-02-20 01:06:59;25;4;8;4;2;2;1;0;0;0;1
2019-02-20 01:07:58;25;4;8;4;2;2;1;0;0;0;1
2019-02-20 01:08:59;25;4;8;4;2;2;1;0;0;0;1
2019-02-20 01:10:00;25;4;8;4;2;2;1;0;0;0;1
2019-02-20 01:10:58;26;4;8;4;2;2;2;0;0;0;1
2019-02-20 01:11:59;27;5;9;4;2;2;2;0;0;0;0
2019-02-20 01:12:58;27;5;9;4;2;2;2;0;0;0;0
2019-02-20 01:13:59;27;5;9;4;2;2;2;0;0;0;0
2019-02-20 01:14:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:15:58;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:16:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:17:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:18:58;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:19:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:20:58;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:21:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:22:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:23:58;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:24:59;28;5;9;4;2;2;2;0;0;0;1
2019-02-20 01:25:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:26:58;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:27:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:28:58;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:29:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:30:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:31:58;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:32:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:33:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:34:58;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:35:59;29;5;10;4;2;2;2;0;0;0;1
2019-02-20 01:36:59;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:37:58;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:38:59;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:40:00;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:40:58;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:41:59;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:42:58;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:43:59;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:44:59;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:45:58;30;5;10;5;2;2;2;0;0;0;1
2019-02-20 01:46:59;31;6;10;5;2;2;2;0;0;0;1
2019-02-20 01:47:59;31;6;10;5;2;2;2;0;0;0;1
2019-02-20 01:48:58;31;6;10;5;2;2;2;0;0;0;1
2019-02-20 01:49:59;31;6;10;5;2;2;2;0;0;0;1
2019-02-20 01:50:59;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:51:58;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:52:59;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:54:00;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:54:58;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:55:59;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:56:58;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:57:59;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:58:59;32;7;10;5;2;2;2;0;0;0;1
2019-02-20 01:59:58;32;7;10;5;2;2;2;0;0;0;1
