datetime;total_votes;Plancus;keyreal;leprovalentin;pupsique;Der_Sturmer;rockamark;Есения;dear_pavlik;kiLstrom;brammator
2019-02-27 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-27 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-02-27 00:02:58;2;0;0;0;0;0;0;0;0;0;0
2019-02-27 00:03:59;2;0;0;0;0;0;0;0;0;0;0
2019-02-27 00:04:58;6;1;0;0;0;0;0;0;1;1;0
2019-02-27 00:05:59;6;1;0;0;0;0;0;0;1;1;0
2019-02-27 00:06:59;6;1;0;0;0;0;0;0;1;1;0
2019-02-27 00:07:58;6;1;0;0;0;0;0;0;1;1;0
2019-02-27 00:08:59;8;2;0;0;0;0;0;0;1;2;0
2019-02-27 00:09:59;8;2;0;0;0;0;0;0;1;2;0
2019-02-27 00:10:58;8;2;0;0;0;0;0;0;1;2;0
2019-02-27 00:11:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:12:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:13:58;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:14:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:15:58;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:16:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:17:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:18:58;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:19:59;9;2;0;0;0;0;0;0;2;2;0
2019-02-27 00:20:59;10;2;1;0;0;0;0;0;2;2;0
2019-02-27 00:21:58;10;2;1;0;0;0;0;0;2;2;0
2019-02-27 00:22:59;10;2;1;0;0;0;0;0;2;2;0
2019-02-27 00:23:59;11;3;1;0;0;0;0;0;2;2;0
2019-02-27 00:24:58;11;3;1;0;0;0;0;0;2;2;0
2019-02-27 00:25:59;11;3;1;0;0;0;0;0;2;2;0
2019-02-27 00:26:59;11;3;1;0;0;0;0;0;2;2;0
2019-02-27 00:27:58;12;3;1;0;0;0;0;1;2;2;0
2019-02-27 00:28:59;12;3;1;0;0;0;0;1;2;2;0
2019-02-27 00:30:00;12;3;1;0;0;0;0;1;2;2;0
2019-02-27 00:30:59;12;3;1;0;0;0;0;1;2;2;0
2019-02-27 00:31:58;13;3;1;0;0;0;0;1;2;3;0
2019-02-27 00:32:59;13;4;1;0;0;0;0;1;2;2;0
2019-02-27 00:34:00;13;4;1;0;0;0;0;1;2;2;0
2019-02-27 00:34:58;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:35:59;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:36:58;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:37:59;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:38:58;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:39:59;14;5;1;0;0;0;0;1;2;2;0
2019-02-27 00:40:59;15;6;1;0;0;0;0;1;2;2;0
2019-02-27 00:41:58;15;6;1;0;0;0;0;1;2;2;0
2019-02-27 00:42:59;15;6;1;0;0;0;0;1;2;2;0
2019-02-27 00:43:58;15;6;1;0;0;0;0;1;2;2;0
2019-02-27 00:44:59;16;7;1;0;0;0;0;1;2;2;0
2019-02-27 00:45:59;16;7;1;0;0;0;0;1;2;2;0
2019-02-27 00:46:58;16;7;1;0;0;0;0;1;2;2;0
2019-02-27 00:47:59;19;8;1;0;0;1;0;1;2;2;0
2019-02-27 00:48:59;19;8;1;0;0;1;0;1;2;2;0
2019-02-27 00:49:58;19;8;1;0;0;1;0;1;2;2;0
2019-02-27 00:50:59;19;8;1;0;0;1;0;1;2;2;0
2019-02-27 00:51:59;20;8;1;0;0;2;0;1;2;2;0
2019-02-27 00:52:58;20;8;1;0;0;2;0;1;2;2;0
2019-02-27 00:53:59;20;8;1;0;0;2;0;1;2;2;0
2019-02-27 00:54:59;21;8;2;0;0;2;0;1;2;2;0
2019-02-27 00:55:58;21;8;2;0;0;2;0;1;2;2;0
2019-02-27 00:56:59;21;8;2;0;0;2;0;1;2;2;0
2019-02-27 00:57:58;21;8;2;0;0;2;0;1;2;2;0
2019-02-27 00:58:59;21;8;2;0;0;2;0;1;2;2;0
2019-02-27 00:59:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:00:58;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:01:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:02:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:03:58;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:04:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:05:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:06:58;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:07:59;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:09:00;22;8;2;0;0;2;0;1;2;2;1
2019-02-27 01:09:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:10:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:11:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:13:00;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:13:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:14:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:15:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:16:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:18:00;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:18:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:19:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:20:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:21:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:22:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:23:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:24:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:25:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:26:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:27:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:28:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:29:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:30:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:31:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:32:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:33:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:34:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:35:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:36:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:37:58;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:38:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:39:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:41:00;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:41:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:42:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:43:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:44:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:45:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:46:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:47:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:48:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:49:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:50:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:51:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:52:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:53:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:54:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:55:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:56:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:57:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:58:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 01:59:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:00:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:01:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:02:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:03:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:04:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:05:59;30;13;2;0;0;2;1;0;2;2;0
