datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:05:58;0;0;0;0;0;0;0;0;0;0;0
2019-03-06 00:06:59;3;1;0;0;0;0;0;0;0;0;0
2019-03-06 00:07:59;3;1;0;0;0;0;0;0;0;0;0
2019-03-06 00:08:58;3;1;0;0;0;0;0;0;0;0;0
2019-03-06 00:09:59;3;1;0;0;0;0;0;0;0;0;0
2019-03-06 00:10:59;4;1;1;0;0;0;0;0;0;0;0
2019-03-06 00:11:58;4;1;1;0;0;0;0;0;0;0;0
2019-03-06 00:12:59;5;2;1;0;0;0;0;0;0;0;0
2019-03-06 00:13:59;6;2;1;0;0;0;0;0;0;0;0
2019-03-06 00:14:58;7;2;1;0;0;0;0;0;0;0;0
2019-03-06 00:15:59;7;2;1;0;0;0;0;0;0;0;0
2019-03-06 00:16:59;9;3;1;0;0;1;0;0;0;0;0
2019-03-06 00:17:58;11;3;2;0;0;1;0;0;0;0;0
2019-03-06 00:18:59;13;4;2;0;0;1;1;0;0;0;0
2019-03-06 00:19:58;17;6;3;0;0;1;1;0;0;0;0
2019-03-06 00:20:59;17;6;3;0;0;1;1;0;0;0;0
2019-03-06 00:21:58;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:22:59;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:23:59;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:24:58;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:25:59;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:26:59;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:27:58;19;7;3;0;0;1;1;0;0;0;0
2019-03-06 00:28:59;19;7;3;0;0;1;1;0;0;0;0
