datetime;total_votes;Grit;Shambala;Есения;Yardrey;KOCTOPE3;pupsique;ABbl_HEMbl;megalomaniac;-Ne_mogu;daruta
2019-03-13 00:00:59;0;0;0;0;0;0;0;1;0;0;0
2019-03-13 00:01:59;0;0;0;0;0;0;0;1;0;0;0
2019-03-13 00:02:58;2;0;0;0;0;0;0;2;0;0;0
2019-03-13 00:03:59;3;0;1;0;0;0;0;2;0;0;0
2019-03-13 00:04:59;3;0;1;0;0;0;0;2;0;0;0
2019-03-13 00:05:58;3;0;1;0;0;0;0;2;0;0;0
2019-03-13 00:06:59;3;0;1;0;0;0;0;2;0;0;0
2019-03-13 00:07:59;4;0;2;0;0;0;0;2;0;0;0
2019-03-13 00:08:58;4;0;2;0;0;0;0;2;0;0;0
2019-03-13 00:09:59;4;0;2;0;0;0;0;2;0;0;0
2019-03-13 00:10:59;5;0;2;0;0;0;0;2;0;0;0
2019-03-13 00:11:58;7;0;2;0;0;0;0;3;0;0;0
2019-03-13 00:12:59;7;0;2;0;0;0;0;3;0;0;0
2019-03-13 00:13:59;8;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:14:58;8;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:15:59;8;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:16:59;9;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:17:58;10;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:18:59;10;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:19:59;10;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:20:58;11;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:21:59;11;1;2;0;0;0;0;3;0;0;0
2019-03-13 00:23:00;12;1;3;0;0;0;0;3;0;0;0
2019-03-13 00:23:58;13;1;3;1;0;0;0;3;0;0;0
2019-03-13 00:24:59;13;1;3;1;0;0;0;3;0;0;0
2019-03-13 00:25:58;13;1;3;1;0;0;0;3;0;0;0
2019-03-13 00:26:59;14;1;3;1;0;0;0;3;0;0;0
2019-03-13 00:27:59;15;1;3;1;0;0;0;3;0;0;0
2019-03-13 00:28:58;16;1;4;1;0;0;0;3;0;0;0
2019-03-13 00:29:59;17;1;4;1;0;0;0;3;0;0;0
2019-03-13 00:30:58;17;1;4;1;0;0;0;3;0;0;0
2019-03-13 00:31:59;17;1;5;1;0;0;0;3;0;0;0
2019-03-13 00:32:59;17;1;5;1;0;0;0;3;0;0;0
2019-03-13 00:33:58;18;2;5;1;0;0;0;3;0;0;0
2019-03-13 00:34:59;18;2;5;1;0;0;0;3;0;0;0
2019-03-13 00:35:59;18;2;5;1;0;0;0;3;0;0;0
