datetime;total_votes;BoobkaGop;Рысьь;Wiedemann;FRANNI;pupsique;brammator;Lanista;Der_Sturmer;ielarud;praktik
2019-04-03 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:03:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:04:58;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:05:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:06:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:07:58;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:08:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:09:58;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:10:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:11:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-03 00:12:58;3;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:13:59;3;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:14:59;3;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:15:59;4;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:16:58;5;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:17:59;5;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:18:58;5;0;0;0;0;0;0;0;0;0;1
2019-04-03 00:19:59;6;0;1;0;0;0;0;0;0;0;1
2019-04-03 00:20:59;6;0;1;0;0;0;0;0;0;0;1
2019-04-03 00:21:58;6;0;1;0;0;0;0;0;0;0;1
2019-04-03 00:22:59;6;0;1;0;0;0;0;0;0;0;1
2019-04-03 00:23:59;7;0;1;0;0;0;0;0;0;0;1
2019-04-03 00:25:00;8;0;2;0;0;0;0;0;0;0;1
2019-04-03 00:25:58;9;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:26:59;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:27:59;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:28:58;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:29:59;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:30:59;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:31:58;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:32:59;10;0;2;0;0;0;0;0;1;0;1
2019-04-03 00:33:59;12;0;2;0;0;0;0;0;1;1;1
2019-04-03 00:34:58;12;0;2;0;0;0;0;0;1;1;1
2019-04-03 00:35:59;13;0;2;0;0;0;0;0;1;1;1
2019-04-03 00:36:58;14;0;2;0;0;0;0;0;1;1;2
2019-04-03 00:37:59;14;0;2;0;0;0;0;0;1;1;2
2019-04-03 00:38:59;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:39:58;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:40:59;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:41:59;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:42:59;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:43:58;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:44:59;16;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:45:59;17;1;2;1;0;0;0;0;1;1;2
2019-04-03 00:46:58;17;2;2;0;0;0;0;0;1;1;2
2019-04-03 00:47:59;17;2;2;0;0;0;0;0;1;1;2
2019-04-03 00:48:58;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:49:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:50:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:51:58;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:52:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:53:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:54:58;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:55:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:56:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:57:58;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:58:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 00:59:59;18;3;2;0;0;0;0;0;1;1;2
2019-04-03 01:00:58;19;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:01:59;19;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:02:58;19;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:03:59;19;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:04:59;19;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:05:58;20;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:06:59;21;3;2;1;0;0;0;0;2;1;2
2019-04-03 01:07:59;22;3;3;1;0;0;0;0;2;1;2
2019-04-03 01:08:58;23;3;4;1;0;0;0;0;2;1;2
2019-04-03 01:09:59;23;3;4;1;0;0;0;0;2;1;2
2019-04-03 01:10:59;23;3;4;1;0;0;0;0;2;1;2
2019-04-03 01:11:58;23;3;4;1;0;0;0;0;2;1;2
2019-04-03 01:12:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:13:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:14:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:15:58;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:16:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:17:58;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:18:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:19:59;24;3;4;2;0;0;0;0;2;1;2
2019-04-03 01:20:58;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:21:59;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:22:58;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:23:59;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:24:59;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:25:58;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:26:59;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:27:59;26;3;5;2;0;0;0;0;3;1;2
2019-04-03 01:28:59;26;3;5;2;0;0;0;0;2;1;3
2019-04-03 01:29:58;26;3;5;2;0;0;0;0;2;1;3
2019-04-03 01:30:59;26;3;5;2;0;0;0;0;2;1;3
2019-04-03 01:32:00;26;3;5;2;0;0;0;0;2;0;3
2019-04-03 01:32:58;26;3;5;2;0;0;0;0;2;0;3
2019-04-03 01:33:59;27;4;5;2;0;0;0;0;2;0;3
