datetime;total_votes;Patagonia;Wiedemann;megalomaniac;pupsique;werder_ha;Есения;a5urbanipa1;ante;DrinkHunter;yachik
2019-04-10 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-04-10 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2019-04-10 00:02:59;2;2;0;0;0;0;0;0;0;0;0
2019-04-10 00:03:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:04:58;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:05:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:06:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:07:58;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:08:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:09:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:10:58;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:11:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:12:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:13:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:14:58;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:15:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:16:59;3;3;0;0;0;0;0;0;0;0;0
2019-04-10 00:17:58;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:18:59;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:19:59;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:20:58;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:21:59;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:22:59;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:23:58;4;3;0;0;0;1;0;0;0;0;0
2019-04-10 00:24:59;6;4;0;0;0;1;1;0;0;0;0
2019-04-10 00:25:59;6;4;0;0;0;1;1;0;0;0;0
2019-04-10 00:26:58;6;4;0;0;0;1;1;0;0;0;0
2019-04-10 00:27:59;6;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:28:59;6;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:29:58;6;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:30:59;6;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:31:59;7;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:32:59;8;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:33:58;8;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:34:59;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:35:59;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:36:58;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:37:59;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:38:59;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:39:58;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:40:59;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:41:58;9;4;0;0;0;0;1;0;0;0;0
2019-04-10 00:42:59;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:43:59;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:44:58;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:45:59;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:46:59;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:47:58;10;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:48:59;12;5;0;0;0;0;1;0;0;0;0
2019-04-10 00:49:59;13;5;0;0;0;0;1;0;0;0;1
2019-04-10 00:50:58;13;5;0;0;0;0;1;0;0;0;1
2019-04-10 00:51:59;13;5;0;0;0;0;1;0;0;0;1
2019-04-10 00:52:59;13;5;0;0;0;0;1;0;0;0;1
2019-04-10 00:53:58;13;5;0;0;0;0;1;0;0;0;1
