datetime;total_votes;Hemml;KOCTOPE3;pupsique;Patagonia;megalomaniac;Palad1n;Gugomat;jovan;Есения;Der_Sturmer
2019-04-17 00:00:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-17 00:01:59;2;0;0;0;0;0;0;0;0;0;0
2019-04-17 00:02:59;4;0;0;0;0;0;1;0;0;0;0
2019-04-17 00:03:58;5;0;0;0;0;0;1;0;0;0;0
2019-04-17 00:04:59;6;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:05:59;6;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:06:58;7;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:07:59;7;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:08:59;7;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:09:58;7;0;0;0;1;0;1;0;0;0;0
2019-04-17 00:10:59;8;0;0;0;1;0;1;0;0;0;1
2019-04-17 00:11:58;9;0;1;0;1;0;1;0;0;0;1
2019-04-17 00:12:59;9;0;1;0;1;0;1;0;0;0;1
2019-04-17 00:14:00;9;0;1;0;1;0;1;0;0;0;1
2019-04-17 00:14:58;10;0;1;1;1;0;1;0;0;0;1
2019-04-17 00:15:59;11;0;1;1;1;0;0;1;0;0;1
2019-04-17 00:16:58;12;0;1;1;1;0;0;1;0;0;0
2019-04-17 00:17:59;12;0;1;1;1;0;0;1;0;0;0
2019-04-17 00:18:59;12;0;1;1;1;0;0;1;0;0;0
2019-04-17 00:19:58;13;0;1;1;1;0;0;2;0;0;1
2019-04-17 00:20:59;13;0;1;1;1;0;0;2;0;0;1
2019-04-17 00:21:59;13;0;1;1;1;0;0;2;0;0;1
2019-04-17 00:22:58;13;0;1;1;1;0;0;2;0;0;1
2019-04-17 00:23:59;14;0;1;1;2;0;0;2;0;0;1
2019-04-17 00:24:59;14;0;1;1;2;0;0;2;0;0;1
2019-04-17 00:25:58;14;0;1;1;2;0;0;2;0;0;1
2019-04-17 00:26:59;15;0;1;1;3;0;0;2;0;0;1
2019-04-17 00:27:59;17;0;1;2;4;0;1;2;0;0;1
2019-04-17 00:28:58;17;0;1;2;4;0;1;2;0;0;1
2019-04-17 00:29:59;17;0;1;2;4;0;1;2;0;0;1
2019-04-17 00:30:59;17;0;1;2;4;0;1;2;0;0;1
2019-04-17 00:31:58;17;0;1;2;4;0;1;2;0;0;1
2019-04-17 00:32:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:33:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:34:58;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:35:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:36:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:37:58;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:38:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:39:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:40:58;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:41:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:42:59;18;0;2;2;4;0;1;2;0;0;1
2019-04-17 00:43:58;19;0;2;2;4;0;2;2;0;0;1
2019-04-17 00:44:59;19;0;2;2;4;0;2;2;0;0;1
2019-04-17 00:45:59;19;0;2;2;4;0;2;2;0;0;1
