datetime;total_votes;Hemml;jovan;XASSA;pupsique;ksolotl;brammator;Есения;Der_Sturmer;berdax;PizdaNuke
2019-04-24 00:00:59;0;1;0;0;0;0;0;0;0;0;0
2019-04-24 00:01:59;2;2;0;0;0;0;0;0;0;0;0
2019-04-24 00:02:59;2;2;0;0;0;0;0;0;0;0;0
2019-04-24 00:03:58;3;3;0;0;0;0;0;0;0;0;0
2019-04-24 00:04:59;4;4;0;0;0;0;0;0;0;0;0
2019-04-24 00:05:59;4;4;0;0;0;0;0;0;0;0;0
2019-04-24 00:06:58;4;4;0;0;0;0;0;0;0;0;0
2019-04-24 00:07:59;6;5;0;0;0;0;1;0;0;0;0
2019-04-24 00:08:58;6;5;0;0;0;0;1;0;0;0;0
2019-04-24 00:09:59;6;5;0;0;0;0;1;0;0;0;0
2019-04-24 00:10:59;6;5;0;0;0;0;1;0;0;0;0
2019-04-24 00:11:58;7;5;0;0;0;0;1;0;1;0;0
2019-04-24 00:12:59;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:13:59;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:14:58;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:15:59;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:16:59;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:17:58;8;5;0;1;0;0;1;0;1;0;0
2019-04-24 00:18:59;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:19:59;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:20:58;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:21:59;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:23:00;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:23:58;9;6;0;1;0;0;1;0;1;0;0
2019-04-24 00:24:59;10;7;0;1;0;0;1;0;1;0;0
2019-04-24 00:25:59;10;7;0;1;0;0;1;0;1;0;0
2019-04-24 00:26:59;11;7;0;2;0;0;1;0;1;0;0
2019-04-24 00:27:58;11;7;0;2;0;0;1;0;1;0;0
2019-04-24 00:28:59;11;7;0;2;0;0;1;0;1;0;0
2019-04-24 00:29:59;11;7;0;2;0;0;1;0;1;0;0
2019-04-24 00:30:58;11;7;0;2;0;0;1;0;1;0;0
2019-04-24 00:31:59;13;9;0;2;0;0;1;0;1;0;0
2019-04-24 00:32:59;13;9;0;2;0;0;1;0;1;0;0
2019-04-24 00:33:58;14;10;0;2;0;0;1;0;1;0;0
2019-04-24 00:34:59;14;10;0;2;0;0;1;0;1;0;0
2019-04-24 00:35:59;14;10;0;2;0;0;1;0;1;0;0
2019-04-24 00:36:58;15;11;0;2;0;0;1;0;1;0;0
2019-04-24 00:37:59;15;11;0;2;0;0;1;0;1;0;0
2019-04-24 00:38:59;15;11;0;2;0;0;1;0;1;0;0
2019-04-24 00:39:58;15;11;0;2;0;0;1;0;1;0;0
2019-04-24 00:40:59;15;11;0;2;0;0;1;0;1;0;0
2019-04-24 00:41:59;15;11;0;2;0;0;1;0;1;0;0
