datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-05-01 00:01:59;3;0;0;1;0;0;0;0;0;1;0
2019-05-01 00:02:59;5;1;1;1;0;0;0;0;0;1;0
2019-05-01 00:03:58;5;1;1;1;0;0;0;0;0;1;0
2019-05-01 00:04:59;6;1;1;1;1;0;0;0;0;1;0
2019-05-01 00:05:59;6;1;1;1;1;0;0;0;0;1;0
2019-05-01 00:06:58;8;2;1;1;1;0;0;1;0;1;0
2019-05-01 00:07:59;8;2;1;1;1;0;0;1;0;1;0
2019-05-01 00:08:58;8;2;1;1;1;0;0;1;0;1;0
2019-05-01 00:09:59;9;3;1;1;1;0;0;1;0;1;0
2019-05-01 00:10:59;9;3;1;1;1;0;0;1;0;1;0
2019-05-01 00:11:58;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:12:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:13:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:14:58;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:15:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:16:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:17:58;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:18:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:19:59;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:20:58;10;3;1;2;1;0;0;1;0;1;0
2019-05-01 00:21:59;11;3;1;3;1;0;0;1;0;1;0
2019-05-01 00:22:58;11;3;1;3;1;0;0;1;0;1;0
2019-05-01 00:23:59;11;3;1;3;1;0;0;1;0;1;0
2019-05-01 00:24:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:25:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:26:58;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:27:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:28:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:29:58;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:30:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:31:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:32:58;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:33:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:34:58;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:35:59;12;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:36:59;13;4;1;3;1;0;0;1;0;1;0
2019-05-01 00:37:58;13;4;1;3;1;0;0;1;0;1;0
