datetime;total_votes;esk;markII;Yardrey;norpo;pupsique;cmapukocmankypum;ZloyGeolog;jovan;Есения;Strafe
2019-05-08 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:01:59;0;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:02:58;2;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:03:59;2;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:04:59;2;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:05:58;2;0;1;0;0;0;0;0;0;0;0
2019-05-08 00:06:59;3;0;1;0;1;0;0;0;0;0;0
2019-05-08 00:07:59;5;0;2;0;1;0;1;0;0;0;0
2019-05-08 00:08:58;6;0;2;0;1;0;1;0;0;0;0
2019-05-08 00:09:59;6;0;2;0;1;0;1;0;0;0;0
2019-05-08 00:10:59;6;0;2;0;1;0;1;0;0;0;0
2019-05-08 00:11:58;7;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:12:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:13:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:14:58;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:15:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:16:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:17:58;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:18:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:19:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:20:58;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:21:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:22:59;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:23:58;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:25:00;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:25:58;8;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:26:59;9;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:27:59;9;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:28:59;9;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:29:58;9;0;2;0;2;0;1;0;0;0;0
2019-05-08 00:30:59;12;0;3;0;2;0;1;0;0;0;0
2019-05-08 00:31:59;13;0;3;0;3;0;1;0;0;0;0
2019-05-08 00:32:58;13;0;3;0;3;0;1;0;0;0;0
2019-05-08 00:33:59;13;0;3;0;3;0;1;0;0;0;0
2019-05-08 00:34:59;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:35:59;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:36:58;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:37:59;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:38:59;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:39:58;15;0;3;0;3;0;1;1;0;0;0
2019-05-08 00:40:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:41:58;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:42:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:43:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:44:58;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:45:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:46:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:47:58;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:48:59;16;0;3;0;4;0;1;1;0;0;0
2019-05-08 00:49:59;17;0;4;0;4;0;1;1;0;0;0
2019-05-08 00:50:58;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:51:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:52:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:53:58;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:54:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:55:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:56:58;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:57:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:58:59;18;0;5;0;4;0;1;1;0;0;0
2019-05-08 00:59:58;20;0;6;0;4;0;1;1;0;1;0
2019-05-08 01:00:59;20;0;6;0;4;0;1;1;0;1;0
2019-05-08 01:01:59;20;0;6;0;4;0;1;1;0;1;0
2019-05-08 01:02:58;21;0;7;0;4;0;1;1;0;1;0
2019-05-08 01:03:59;21;0;7;0;4;0;1;1;0;1;0
2019-05-08 01:04:59;21;0;7;0;4;0;1;1;0;1;0
2019-05-08 01:05:58;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:06:59;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:07:59;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:08:58;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:09:59;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:10:59;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:11:58;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:12:59;22;0;7;0;4;0;1;1;0;0;0
2019-05-08 01:13:59;23;0;7;1;4;0;1;1;0;0;0
2019-05-08 01:14:58;23;0;7;1;4;0;1;1;0;0;0
2019-05-08 01:15:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:17:00;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:17:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:18:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:19:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:20:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:21:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:22:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:23:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:24:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:25:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:26:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:27:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:28:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:29:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:30:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:31:58;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:32:59;24;0;7;2;4;0;1;1;0;0;0
2019-05-08 01:33:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:34:58;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:35:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:36:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:37:58;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:38:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:39:58;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:40:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:41:59;26;0;7;2;4;0;2;2;0;1;0
2019-05-08 01:42:58;26;0;7;2;4;0;2;2;0;1;0
