datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-05-15 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-05-15 00:02:59;2;0;1;0;0;0;0;0;0;0;0
2019-05-15 00:03:58;2;0;1;0;0;0;0;0;0;0;0
2019-05-15 00:04:59;2;0;1;0;0;0;0;0;0;0;0
2019-05-15 00:05:59;3;0;1;1;0;0;0;0;0;0;0
2019-05-15 00:06:59;3;0;1;1;0;0;0;0;0;0;0
2019-05-15 00:07:58;4;0;1;1;1;0;0;0;0;0;0
2019-05-15 00:08:59;4;0;1;1;1;0;0;0;0;0;0
2019-05-15 00:09:58;4;0;1;1;1;0;0;0;0;0;0
2019-05-15 00:10:59;5;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:11:59;6;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:12:58;6;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:13:59;8;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:14:59;8;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:15:58;8;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:16:59;8;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:17:59;9;0;2;1;1;0;0;0;0;0;0
2019-05-15 00:18:58;10;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:19:59;10;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:20:59;10;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:21:58;10;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:22:59;11;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:23:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:24:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:25:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:26:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:27:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:28:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:29:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:30:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:31:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:32:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:33:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:34:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:35:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:36:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:37:58;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:38:59;12;0;2;1;1;0;0;0;1;0;0
2019-05-15 00:39:59;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:40:58;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:41:59;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:42:59;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:43:58;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:44:59;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:45:59;13;0;3;1;1;0;0;0;1;0;0
2019-05-15 00:46:58;14;0;3;1;1;0;0;0;2;0;0
2019-05-15 00:47:59;14;0;3;1;1;0;0;0;2;0;0
2019-05-15 00:48:59;14;0;3;1;1;0;0;0;2;0;0
2019-05-15 00:49:58;14;0;3;1;1;0;0;0;2;0;0
2019-05-15 00:50:59;14;0;3;1;1;0;0;0;2;0;0
