datetime;total_votes;cmapukocmankypum;KOCTOPE3;pupsique;rockamark;paramed;brammator;Есения;tutabrain;kilogramm;navalny
2019-05-22 00:00:59;0;0;0;0;0;0;1;0;0;0;0
2019-05-22 00:01:58;0;0;0;0;0;0;1;0;0;0;0
2019-05-22 00:02:59;0;0;0;0;0;0;1;0;0;0;0
2019-05-22 00:03:59;0;0;0;0;0;0;1;0;0;0;0
2019-05-22 00:04:58;0;0;0;0;0;0;1;0;0;0;0
2019-05-22 00:05:59;2;0;1;0;0;0;1;0;0;0;0
2019-05-22 00:06:59;2;0;1;0;0;0;1;0;0;0;0
2019-05-22 00:07:58;2;0;1;0;0;0;1;0;0;0;0
2019-05-22 00:08:59;2;0;1;0;0;0;1;0;0;0;0
2019-05-22 00:09:58;3;0;1;0;1;0;1;0;0;0;0
2019-05-22 00:10:59;5;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:11:59;5;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:12:58;5;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:13:59;5;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:14:59;7;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:15:58;7;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:16:59;7;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:17:59;7;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:18:58;8;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:19:59;8;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:20:59;8;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:21:58;8;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:22:59;9;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:23:59;9;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:24:58;9;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:25:59;9;0;1;0;1;0;1;0;0;1;0
2019-05-22 00:26:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:27:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:28:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:29:58;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:30:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:31:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:32:59;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:33:58;10;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:34:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:35:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:36:58;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:37:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:38:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:39:58;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:40:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:41:59;11;0;1;0;1;0;1;0;0;2;0
2019-05-22 00:42:58;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:43:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:44:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:45:58;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:46:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:47:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:48:58;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:49:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:50:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:51:58;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:52:59;12;0;1;0;1;0;2;0;0;2;0
2019-05-22 00:53:59;13;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:54:59;13;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:55:58;13;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:56:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:57:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:58:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 00:59:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:00:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:01:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:02:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:03:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:04:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:05:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:06:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:07:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:08:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:09:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:10:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:11:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:12:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:13:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:14:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:15:58;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:16:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:17:59;14;0;1;0;2;0;2;0;0;2;0
2019-05-22 01:18:58;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:19:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:20:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:21:58;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:22:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:23:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:24:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:25:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:26:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:27:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:28:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:29:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:30:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:31:59;17;0;3;0;2;0;2;0;0;2;0
2019-05-22 01:33:00;17;0;3;0;2;0;2;0;0;2;0
2019-05-22 01:33:58;18;1;3;0;2;0;2;0;0;2;0
2019-05-22 01:34:59;18;1;3;0;2;0;2;0;0;2;0
2019-05-22 01:35:58;18;1;3;0;2;0;2;0;0;2;0
