datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 00:00:59;0;0;0;0;0;0;0;1;0;0;0
2019-06-05 00:01:59;2;0;0;0;0;0;0;2;0;0;0
2019-06-05 00:02:58;3;0;0;0;0;0;1;2;0;0;0
2019-06-05 00:03:59;3;0;0;0;0;0;1;2;0;0;0
2019-06-05 00:04:59;3;0;0;0;0;0;1;2;0;0;0
2019-06-05 00:05:59;3;0;0;0;0;0;1;2;0;0;0
2019-06-05 00:06:58;3;0;0;0;0;0;1;2;0;0;0
2019-06-05 00:07:59;5;0;0;0;0;0;3;2;0;0;0
2019-06-05 00:08:59;5;0;0;0;0;0;3;2;0;0;0
2019-06-05 00:09:58;6;0;0;0;0;0;3;2;0;0;0
2019-06-05 00:10:59;7;0;0;0;0;0;3;2;0;0;0
2019-06-05 00:11:59;8;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:12:58;8;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:13:59;8;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:14:59;8;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:15:58;9;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:16:59;9;0;0;0;0;0;3;2;0;1;0
2019-06-05 00:17:59;10;0;0;0;0;0;3;3;0;1;0
2019-06-05 00:18:58;11;0;0;0;0;0;3;3;0;1;0
2019-06-05 00:19:59;12;0;0;0;0;1;3;3;0;1;0
2019-06-05 00:20:59;12;0;0;0;0;1;3;3;0;1;0
2019-06-05 00:21:58;12;0;0;0;0;1;3;3;0;1;0
2019-06-05 00:22:59;13;0;0;0;0;2;3;3;0;1;0
2019-06-05 00:23:59;13;0;0;0;0;2;3;3;0;1;0
2019-06-05 00:24:58;14;0;0;0;0;2;4;3;0;1;0
2019-06-05 00:25:59;15;0;0;0;0;2;4;3;0;2;0
2019-06-05 00:26:59;15;0;0;0;0;2;4;3;0;2;0
2019-06-05 00:27:58;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:28:59;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:29:59;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:30:58;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:31:59;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:32:59;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:33:58;16;0;1;0;0;2;4;3;0;2;0
2019-06-05 00:34:59;17;1;1;0;0;2;4;3;0;2;0
2019-06-05 00:35:59;18;1;1;0;1;2;4;3;0;2;0
2019-06-05 00:36:58;18;1;1;0;1;2;4;3;0;2;0
2019-06-05 00:37:59;18;1;1;0;1;2;4;3;0;2;0
2019-06-05 00:38:59;19;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:39:58;19;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:40:59;19;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:41:59;19;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:42:58;20;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:43:59;20;1;2;0;1;2;4;3;0;2;0
2019-06-05 00:44:58;21;1;2;0;1;2;5;3;0;2;0
2019-06-05 00:45:59;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:46:59;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:47:58;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:48:59;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:49:59;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:50:58;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:51:59;22;1;2;0;1;2;5;4;0;2;0
2019-06-05 00:52:59;23;2;2;0;1;2;5;4;0;2;0
2019-06-05 00:53:58;24;2;2;0;1;2;6;4;0;2;0
2019-06-05 00:54:59;24;2;2;0;1;2;6;4;0;2;0
2019-06-05 00:55:59;24;2;2;0;1;2;6;4;0;2;0
2019-06-05 00:56:58;24;2;2;0;1;2;6;4;0;2;0
2019-06-05 00:57:59;25;2;3;0;1;2;6;4;0;2;0
2019-06-05 00:58:59;26;2;3;0;2;2;6;4;0;2;0
2019-06-05 00:59:58;26;2;3;0;2;2;6;4;0;2;0
2019-06-05 01:00:59;27;3;3;0;2;2;6;4;0;2;0
2019-06-05 01:01:59;27;3;3;0;2;2;6;4;0;2;0
2019-06-05 01:02:58;27;3;3;0;2;2;6;4;0;2;0
2019-06-05 01:03:59;31;3;3;0;2;2;6;5;0;2;0
2019-06-05 01:04:59;31;3;3;0;2;2;6;5;0;2;0
2019-06-05 01:05:59;32;3;4;0;2;2;6;5;0;2;0
2019-06-05 01:06:59;32;3;4;0;2;2;6;5;0;2;0
2019-06-05 01:07:58;32;3;4;0;2;2;6;5;0;2;0
2019-06-05 01:08:59;33;3;4;0;3;2;6;5;0;2;0
2019-06-05 01:09:59;34;4;4;0;3;2;6;5;0;2;0
2019-06-05 01:10:58;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:11:59;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:12:59;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:13:58;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:14:59;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:15:59;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:16:58;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:17:59;34;4;5;0;3;2;6;5;0;2;0
2019-06-05 01:18:59;35;4;5;0;3;2;7;5;0;2;0
2019-06-05 01:19:58;36;4;5;0;3;2;7;5;0;3;0
2019-06-05 01:20:59;36;4;5;0;3;2;7;5;0;3;0
2019-06-05 01:21:59;36;4;5;0;3;2;7;5;0;3;0
2019-06-05 01:22:58;36;4;5;0;3;2;7;5;0;3;0
2019-06-05 01:23:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:24:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:25:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:26:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:27:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:28:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:29:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:30:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:31:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:32:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:33:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:34:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:35:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:36:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:37:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:38:59;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:39:58;36;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:40:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:41:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:42:58;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:43:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:44:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:45:58;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:46:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:47:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:48:58;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:49:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:50:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:51:58;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:52:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:53:59;37;4;6;0;3;2;7;5;0;3;0
2019-06-05 01:54:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 01:55:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 01:56:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 01:57:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 01:58:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 01:59:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:00:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:01:59;38;4;6;0;3;2;8;5;0;3;0
