datetime;total_votes;voklo;pupsique;Fatbrain;XASSA;paramed;wintercyclone;vagaboss;lucas_corso;timmi;Kolbasevich
2019-06-12 00:00:59;2;0;0;1;0;0;0;0;0;0;0
2019-06-12 00:01:59;3;0;0;1;0;0;0;0;0;0;0
2019-06-12 00:02:59;3;0;0;1;0;0;0;0;0;0;0
2019-06-12 00:03:58;4;0;0;2;0;0;0;0;0;0;0
2019-06-12 00:04:59;4;0;0;2;0;0;0;0;0;0;0
2019-06-12 00:05:59;5;0;1;2;0;0;0;0;0;0;0
2019-06-12 00:06:58;6;1;1;2;0;0;0;0;0;0;0
2019-06-12 00:07:59;8;1;1;3;1;0;0;0;0;0;0
2019-06-12 00:08:59;10;3;1;3;1;0;0;0;0;0;0
2019-06-12 00:09:58;11;3;1;3;1;0;0;0;0;0;0
2019-06-12 00:10:59;12;3;1;3;1;0;0;0;0;0;0
2019-06-12 00:11:59;13;4;1;3;1;0;0;0;0;0;0
2019-06-12 00:12:58;13;4;1;3;1;0;0;0;0;0;0
2019-06-12 00:13:59;13;4;1;3;1;0;0;0;0;0;0
2019-06-12 00:15:00;14;4;2;3;1;0;0;0;0;0;0
2019-06-12 00:15:58;16;6;2;3;1;0;0;0;0;0;0
2019-06-12 00:16:59;16;6;2;3;1;0;0;0;0;0;0
2019-06-12 00:17:59;18;6;2;3;1;0;0;0;0;0;0
2019-06-12 00:18:58;19;6;2;3;1;0;0;0;0;0;0
2019-06-12 00:19:59;20;6;2;4;1;0;0;0;0;0;0
2019-06-12 00:20:59;20;6;2;4;1;0;0;0;0;0;0
2019-06-12 00:21:58;22;6;2;5;1;0;0;0;0;0;0
2019-06-12 00:22:59;23;6;2;5;1;0;0;0;0;0;0
2019-06-12 00:23:59;23;6;2;5;1;0;0;0;0;0;0
2019-06-12 00:24:58;24;6;2;5;1;0;0;0;0;0;0
2019-06-12 00:25:59;25;6;3;5;1;0;0;0;0;0;0
2019-06-12 00:26:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:27:58;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:28:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:29:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:30:58;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:31:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:32:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:33:58;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:34:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:35:59;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:36:58;26;7;3;5;1;0;0;0;0;0;0
2019-06-12 00:37:59;27;8;3;5;1;0;0;0;0;0;0
2019-06-12 00:38:59;29;8;4;5;2;0;0;0;0;0;0
2019-06-12 00:39:58;29;8;4;5;2;0;0;0;0;0;0
2019-06-12 00:40:59;30;9;4;5;2;0;0;0;0;0;0
2019-06-12 00:41:59;30;9;4;5;2;0;0;0;0;0;0
2019-06-12 00:42:58;30;9;4;5;2;0;0;0;0;0;0
2019-06-12 00:43:59;30;9;4;5;2;0;0;0;0;0;0
2019-06-12 00:44:59;31;9;4;5;2;0;0;0;0;0;0
2019-06-12 00:45:58;31;9;4;5;2;0;0;0;0;0;0
