datetime;total_votes;Kolbasevich;solariz;pupsique;Der_Sturmer;Fatbrain;Hmmm;brammator;ante;praktik;Goinsane
2019-06-19 00:00:59;2;0;0;0;0;0;0;0;0;0;0
2019-06-19 00:01:59;3;0;0;0;0;0;0;0;0;1;0
2019-06-19 00:02:58;3;0;0;0;0;0;0;0;0;1;0
2019-06-19 00:03:59;4;0;0;0;0;0;0;0;0;2;0
2019-06-19 00:04:59;4;0;0;0;0;0;0;0;0;2;0
2019-06-19 00:05:58;5;0;0;0;0;0;0;0;1;2;0
2019-06-19 00:06:59;5;0;0;0;0;0;0;0;1;2;0
2019-06-19 00:07:59;5;0;0;0;0;0;0;0;1;2;0
2019-06-19 00:08:58;6;0;0;0;1;0;0;0;1;2;0
2019-06-19 00:09:59;6;0;0;0;1;0;0;0;1;2;0
2019-06-19 00:10:59;6;0;0;0;1;0;0;0;1;2;0
2019-06-19 00:11:59;7;0;0;0;1;1;0;0;1;2;0
2019-06-19 00:12:58;8;0;0;0;1;1;0;0;1;2;1
2019-06-19 00:13:59;8;0;0;0;1;1;0;0;1;2;1
2019-06-19 00:14:58;9;0;0;0;1;2;0;0;1;2;1
2019-06-19 00:15:59;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:16:59;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:17:58;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:18:59;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:19:59;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:20:58;12;0;0;1;1;2;0;0;1;2;1
2019-06-19 00:21:59;13;0;0;1;1;3;0;0;1;2;1
2019-06-19 00:22:59;14;0;0;1;1;3;0;0;1;2;1
2019-06-19 00:23:58;14;0;0;1;1;3;0;0;1;2;1
2019-06-19 00:24:59;17;0;0;0;2;4;0;1;1;2;1
2019-06-19 00:25:59;18;0;0;0;3;4;0;1;1;2;1
2019-06-19 00:26:58;18;0;0;0;3;4;0;1;1;2;1
2019-06-19 00:27:59;20;0;0;0;3;6;0;1;1;2;1
2019-06-19 00:28:59;20;0;0;0;3;6;0;1;1;2;1
2019-06-19 00:29:58;20;0;0;0;3;6;0;1;1;2;1
2019-06-19 00:30:59;21;0;0;0;4;6;0;1;1;2;1
2019-06-19 00:31:59;22;0;0;1;4;6;0;1;0;2;2
2019-06-19 00:32:58;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:33:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:34:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:35:58;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:36:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:37:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:38:58;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:39:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:40:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:41:58;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:42:59;23;0;0;2;4;6;0;0;1;2;2
2019-06-19 00:44:00;24;0;0;2;5;6;0;0;1;2;2
2019-06-19 00:44:58;24;0;0;2;5;6;0;0;1;2;2
2019-06-19 00:45:59;27;0;0;2;6;6;0;1;2;2;2
2019-06-19 00:46:59;28;0;0;2;6;6;0;1;3;2;2
2019-06-19 00:47:59;28;0;0;2;6;6;0;1;3;2;2
2019-06-19 00:48:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:49:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:50:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:51:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:52:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:53:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:54:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:55:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:56:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:57:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:58:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 00:59:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:00:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:01:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:02:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:03:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:04:58;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:05:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:06:59;29;0;0;2;6;6;0;0;3;2;2
2019-06-19 01:07:59;30;0;0;3;6;6;0;0;3;2;2
2019-06-19 01:08:58;30;0;0;2;6;6;0;0;3;3;2
2019-06-19 01:09:59;30;0;0;2;6;6;0;0;3;3;2
2019-06-19 01:10:59;30;0;0;2;6;6;0;0;3;3;2
2019-06-19 01:11:58;30;0;0;2;6;6;0;0;3;3;2
2019-06-19 01:12:59;30;0;0;2;6;6;0;0;3;3;2
2019-06-19 01:13:58;31;0;0;2;6;6;0;0;4;3;2
2019-06-19 01:14:59;32;0;0;2;6;6;0;0;5;3;2
2019-06-19 01:15:59;33;0;0;2;6;6;0;0;5;4;2
2019-06-19 01:16:58;33;0;0;2;6;6;0;0;5;4;2
2019-06-19 01:17:59;33;0;0;2;6;6;0;0;5;4;2
2019-06-19 01:18:59;33;0;0;2;6;6;0;0;5;4;2
2019-06-19 01:19:58;33;0;0;2;6;6;0;0;5;4;2
2019-06-19 01:20:59;34;0;0;2;7;6;0;0;5;4;2
2019-06-19 01:21:59;34;0;0;2;7;6;0;0;5;4;2
2019-06-19 01:22:58;34;0;0;2;7;6;0;0;5;4;2
2019-06-19 01:23:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:24:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:25:58;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:26:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:27:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:28:58;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:29:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:30:58;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:31:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:32:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:33:58;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:34:59;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:35:58;35;0;0;2;7;7;0;0;5;4;2
2019-06-19 01:36:59;35;0;0;2;7;7;0;0;5;4;2
