datetime;total_votes;Hmmm;Mapm;Terkin;rockamark;bear49;praktik;S_Semenenko;quick_justice;BUG;brammator
2019-06-26 00:00:59;2;0;2;0;0;0;0;0;0;0;0
2019-06-26 00:01:59;4;0;3;0;0;0;0;0;0;0;0
2019-06-26 00:02:59;4;0;3;0;0;0;0;0;0;0;0
2019-06-26 00:03:58;4;0;3;0;0;0;0;0;0;0;0
2019-06-26 00:04:59;4;0;3;0;0;0;0;0;0;0;0
2019-06-26 00:05:58;6;0;4;0;0;0;1;0;0;0;0
2019-06-26 00:06:59;8;0;4;1;1;0;1;0;0;0;0
2019-06-26 00:07:59;8;0;4;1;1;0;1;0;0;0;0
2019-06-26 00:08:58;10;1;4;1;1;0;1;0;0;0;0
2019-06-26 00:09:59;11;1;4;1;1;0;1;0;0;0;0
2019-06-26 00:10:59;12;2;4;1;1;0;1;0;0;0;0
2019-06-26 00:11:58;15;2;4;1;1;0;1;1;0;0;0
2019-06-26 00:12:59;17;2;4;2;1;0;1;1;0;0;0
2019-06-26 00:13:59;19;2;4;2;1;0;1;1;0;0;0
2019-06-26 00:14:58;19;2;4;2;1;0;1;1;0;0;0
2019-06-26 00:15:59;20;2;4;2;2;0;1;1;0;0;0
2019-06-26 00:16:59;20;2;4;2;2;0;1;1;0;0;0
2019-06-26 00:17:58;20;2;4;2;2;0;1;1;0;0;0
2019-06-26 00:18:59;20;2;4;2;2;0;1;1;0;0;0
2019-06-26 00:19:59;21;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:20:58;21;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:21:59;22;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:22:59;23;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:23:58;23;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:24:59;23;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:25:59;23;2;4;3;2;0;1;1;0;0;0
2019-06-26 00:26:58;24;2;4;3;2;0;0;2;0;0;0
2019-06-26 00:27:59;24;2;4;3;2;0;0;2;0;0;0
2019-06-26 00:28:58;24;2;4;3;2;0;0;2;0;0;0
2019-06-26 00:29:59;26;2;4;3;3;0;1;2;0;0;0
2019-06-26 00:30:59;26;2;4;3;3;0;1;2;0;0;0
2019-06-26 00:31:58;26;2;4;3;3;0;1;2;0;0;0
2019-06-26 00:32:59;26;2;4;3;3;0;1;2;0;0;0
2019-06-26 00:33:59;27;2;5;3;3;0;1;2;0;0;0
2019-06-26 00:34:58;28;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:35:59;28;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:36:59;29;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:37:58;29;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:38:59;29;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:39:58;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:40:59;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:41:59;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:42:58;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:43:59;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:44:59;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:45:58;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:46:59;30;2;6;3;3;0;1;3;0;0;0
2019-06-26 00:47:59;30;2;6;3;3;0;1;3;0;0;0
