datetime;total_votes;Mapm;GlobetrotterXL;Hmmm;NoEndOutcry;John_Golt;Yo;brammator;sergoff;Salt;Wiedemann
2019-07-03 00:00:59;2;0;0;0;0;0;0;0;1;0;0
2019-07-03 00:01:58;2;0;0;0;0;0;0;0;1;0;0
2019-07-03 00:02:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:03:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:04:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:05:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:06:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:07:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:08:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:09:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:10:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:11:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:12:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:13:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:14:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:15:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:16:58;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:17:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:18:59;3;0;0;0;0;0;0;1;1;0;0
2019-07-03 00:19:58;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:20:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:21:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:22:58;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:23:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:24:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:25:58;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:26:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:27:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:28:58;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:29:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:30:59;4;0;0;1;0;0;0;1;1;0;0
2019-07-03 00:31:58;5;0;1;1;0;0;0;1;1;0;0
2019-07-03 00:32:59;5;0;1;1;0;0;0;1;1;0;0
2019-07-03 00:33:59;5;0;1;1;0;0;0;1;1;0;0
2019-07-03 00:34:58;5;0;1;1;0;0;0;1;1;0;0
2019-07-03 00:35:59;5;0;1;1;0;0;0;1;1;0;0
2019-07-03 00:36:59;7;0;1;2;0;0;1;1;1;0;0
2019-07-03 00:37:58;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:38:59;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:39:58;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:40:59;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:41:59;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:42:58;8;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:43:59;9;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:44:58;9;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:45:59;9;0;1;2;0;0;2;1;1;0;0
2019-07-03 00:46:59;10;0;2;2;0;0;2;1;1;0;0
2019-07-03 00:47:58;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:48:59;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:49:58;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:50:59;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:51:59;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:52:58;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:53:59;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:54:59;11;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:55:58;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:56:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:57:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:58:58;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 00:59:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:00:58;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:01:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:02:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:03:58;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:04:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:05:59;12;0;3;2;0;0;2;1;1;0;0
2019-07-03 01:06:58;13;0;4;2;0;0;2;1;1;0;0
2019-07-03 01:07:59;14;0;4;2;0;0;2;2;1;0;0
2019-07-03 01:08:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:09:58;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:10:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:11:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:12:58;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:13:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:14:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:15:58;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:16:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:17:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:18:58;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:19:59;15;0;4;2;0;0;2;2;2;0;0
2019-07-03 01:20:59;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:21:58;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:22:59;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:23:59;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:24:58;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:25:59;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:26:59;16;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:27:58;17;0;6;2;0;0;2;2;2;0;0
2019-07-03 01:28:59;17;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:29:59;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:30:58;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:31:59;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:32:59;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:33:58;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:34:59;18;0;5;2;0;0;2;2;2;0;0
2019-07-03 01:35:58;19;0;6;2;0;0;2;2;2;0;0
2019-07-03 01:36:59;20;0;6;2;0;0;2;2;2;0;0
2019-07-03 01:37:59;20;0;6;2;0;0;2;2;2;0;0
2019-07-03 01:38:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:39:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:40:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:41:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:42:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:43:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:44:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:45:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:46:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:47:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:48:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:49:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:50:59;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:51:58;21;0;6;3;0;0;2;2;2;0;0
2019-07-03 01:52:59;22;0;6;4;0;0;2;2;2;0;0
2019-07-03 01:53:59;22;0;6;4;0;0;2;2;2;0;0
2019-07-03 01:54:58;23;0;6;4;0;0;2;2;2;0;1
2019-07-03 01:55:59;23;0;6;4;0;0;2;2;2;0;1
2019-07-03 01:56:59;24;0;6;5;0;0;2;2;2;0;1
