datetime;total_votes;wRAR;Mutafakaz;Der_Sturmer;Yardrey;jovan;Terkin;Fo;Ircmaan;SoulMaker;ksolotl
2019-07-17 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-07-17 00:01:59;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:02:59;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:03:59;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:04:58;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:05:59;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:06:59;2;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:07:58;3;0;1;0;0;0;0;0;0;0;0
2019-07-17 00:08:59;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:09:59;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:10:58;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:11:59;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:12:59;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:13:58;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:14:59;4;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:15:59;5;0;2;0;0;0;0;0;0;0;0
2019-07-17 00:16:58;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:17:59;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:18:59;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:19:58;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:20:59;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:21:58;6;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:22:59;7;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:23:59;8;0;2;1;0;0;0;0;0;0;0
2019-07-17 00:24:59;9;0;3;1;0;0;0;0;0;0;0
2019-07-17 00:25:58;9;0;3;1;0;0;0;0;0;0;0
2019-07-17 00:26:59;11;0;4;1;0;0;0;0;0;0;1
2019-07-17 00:27:58;11;0;4;1;0;0;0;0;0;0;1
2019-07-17 00:28:59;12;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:29:59;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:30:58;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:31:59;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:32:59;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:33:58;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:34:59;13;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:35:58;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:36:59;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:37:59;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:38:58;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:39:59;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:40:59;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:41:58;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:42:59;14;0;4;1;0;0;0;0;0;1;1
2019-07-17 00:43:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:44:58;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:45:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:46:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:47:58;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:48:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:49:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:50:58;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:51:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:52:58;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:53:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:54:59;16;0;5;2;0;0;0;0;0;1;1
2019-07-17 00:55:58;17;0;6;2;0;0;0;0;0;1;1
2019-07-17 00:56:59;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 00:57:59;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 00:58:58;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 00:59:59;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:00:59;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:01:58;18;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:02:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:03:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:04:58;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:05:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:06:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:07:58;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:08:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:09:59;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:10:58;19;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:11:59;20;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:12:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:13:58;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:14:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:15:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:16:58;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:17:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:18:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:19:58;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:20:59;21;0;6;2;0;0;0;0;0;0;1
2019-07-17 01:21:58;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:22:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:23:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:24:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:25:58;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:26:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:27:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:28:58;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:29:59;22;0;7;2;0;0;0;0;0;0;1
2019-07-17 01:30:59;23;0;7;3;0;0;0;0;0;0;1
2019-07-17 01:31:58;23;0;7;3;0;0;0;0;0;0;1
2019-07-17 01:32:59;23;0;7;3;0;0;0;0;0;0;1
2019-07-17 01:33:58;23;0;7;3;0;0;0;0;0;0;1
2019-07-17 01:34:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:35:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:36:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:37:58;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:38:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:39:58;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:40:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:41:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:42:58;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:43:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:44:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:45:58;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:46:59;24;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:47:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:48:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:49:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:50:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:51:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:53:00;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:53:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:54:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:55:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:56:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:57:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:58:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 01:59:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:00:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:01:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:02:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:03:58;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:04:59;25;0;8;3;0;0;0;0;0;0;1
2019-07-17 02:05:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:06:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:07:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:08:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:09:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:10:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:11:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:12:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:13:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:14:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:15:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:16:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:17:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:18:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:19:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:20:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:21:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:22:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:23:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:24:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:25:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:26:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:27:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:28:58;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:29:59;27;0;9;4;0;0;0;0;0;0;1
2019-07-17 02:30:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:31:58;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:32:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:33:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:34:58;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:35:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:36:58;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:37:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:38:58;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:39:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:40:59;28;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:41:58;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:42:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:43:58;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:44:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:45:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:46:58;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:47:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:48:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:49:59;29;0;10;4;0;0;0;0;0;0;1
2019-07-17 02:50:58;30;0;10;4;1;0;0;0;0;0;1
2019-07-17 02:51:59;30;0;10;4;1;0;0;0;0;0;1
2019-07-17 02:52:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:53:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:54:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:55:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:56:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:57:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:58:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 02:59:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:00:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:01:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:02:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:03:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:04:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:05:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:06:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:07:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:08:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:09:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:10:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:11:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:12:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:13:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:14:58;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:15:59;31;0;10;4;1;0;0;0;0;0;2
2019-07-17 03:16:58;31;0;10;4;1;0;0;0;0;0;2
