datetime;total_votes;zotov;Shambala;nzr;brammator;Oleum;DeDMazay;denkoshka;kotophalk;minddiffuzion;wRAR
2019-07-24 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:04:58;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:05:59;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:06:59;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:07:58;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:08:59;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:09:59;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:10:58;2;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:11:59;3;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:12:59;3;0;0;0;0;0;0;0;0;0;0
2019-07-24 00:13:58;4;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:14:59;4;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:15:59;4;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:16:58;4;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:17:59;4;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:18:59;5;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:19:58;5;0;0;0;0;0;0;0;0;0;1
2019-07-24 00:20:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:21:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:22:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:23:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:24:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:25:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:26:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:27:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:28:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:29:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:30:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:31:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:32:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:33:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:34:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:35:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:36:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:37:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:38:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:39:58;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:40:59;6;0;0;0;1;0;0;0;0;0;1
2019-07-24 00:41:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:42:58;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:43:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:44:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:45:58;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:46:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:47:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:48:58;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:49:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:50:59;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:51:58;7;0;0;0;1;0;1;0;0;0;1
2019-07-24 00:52:59;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:53:58;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:54:59;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:55:59;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:56:58;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:57:59;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:58:59;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 00:59:58;8;0;0;0;1;0;1;0;0;0;2
2019-07-24 01:00:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:01:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:02:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:03:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:04:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:05:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:06:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:07:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:08:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:09:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:10:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:11:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:12:59;10;0;0;0;1;0;1;1;0;0;3
2019-07-24 01:13:59;10;0;0;0;1;0;1;1;0;0;3
2019-07-24 01:14:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:15:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:16:59;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:17:58;9;0;0;0;1;0;1;1;0;0;2
2019-07-24 01:18:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:19:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:20:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:21:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:22:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:23:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:24:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:25:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:26:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:27:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:28:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:29:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:31:00;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:31:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:32:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:33:58;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:34:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:35:59;10;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:36:58;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:37:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:38:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:39:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:40:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:41:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:42:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:43:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:44:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:45:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:46:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:48:00;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:48:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:49:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:50:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:51:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:52:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:53:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:54:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:55:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:56:59;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:57:58;12;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:58:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 01:59:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 02:00:58;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 02:01:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 02:02:59;11;0;0;0;2;0;1;1;0;0;2
2019-07-24 02:03:58;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:04:59;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:05:59;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:06:58;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:07:59;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:08:59;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:09:58;12;0;0;0;2;0;1;2;0;0;2
2019-07-24 02:10:59;12;0;0;0;2;0;1;2;0;0;2
