datetime;total_votes;madobad;Перелив;Der_Sturmer;TheWho;KOCTOPE3;wintercyclone;Jayola;Needlefang;Shambala;kupal
2019-07-31 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-07-31 00:01:59;0;0;0;0;0;1;0;0;0;0;0
2019-07-31 00:02:59;0;0;0;0;0;1;0;0;0;0;0
2019-07-31 00:04:00;2;0;0;0;0;1;0;0;0;0;0
2019-07-31 00:04:58;3;0;0;0;0;1;0;0;0;0;0
2019-07-31 00:05:59;4;1;0;0;0;1;0;0;0;0;0
2019-07-31 00:06:59;4;1;0;0;0;1;0;0;0;0;0
2019-07-31 00:07:58;4;1;0;0;0;1;0;0;0;0;0
2019-07-31 00:08:59;4;1;0;0;0;1;0;0;0;0;0
2019-07-31 00:09:59;4;1;0;0;0;1;0;0;0;0;0
2019-07-31 00:10:58;6;1;0;0;0;1;0;0;0;1;0
2019-07-31 00:11:59;6;1;0;0;0;1;0;0;0;1;0
2019-07-31 00:12:59;6;1;0;0;0;1;0;0;0;1;0
2019-07-31 00:13:58;7;1;0;0;0;1;0;0;0;1;0
2019-07-31 00:14:59;9;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:15:58;9;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:16:59;9;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:17:59;9;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:18:58;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:19:59;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:20:59;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:21:58;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:22:59;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:23:59;10;1;0;0;0;1;0;1;0;2;0
2019-07-31 00:24:58;11;1;0;0;0;1;0;1;0;2;1
2019-07-31 00:25:59;12;2;0;0;0;1;0;1;0;2;1
2019-07-31 00:26:59;14;2;1;0;0;1;0;1;0;2;0
2019-07-31 00:27:58;14;2;1;0;0;1;0;1;0;2;0
2019-07-31 00:28:59;15;2;1;0;0;1;0;1;0;3;0
2019-07-31 00:29:59;16;2;2;0;0;1;0;1;0;3;1
2019-07-31 00:30:58;16;2;2;0;0;1;0;1;0;3;1
2019-07-31 00:31:59;17;2;2;0;0;1;0;1;0;3;2
2019-07-31 00:32:59;18;2;3;0;0;0;0;1;0;3;2
