datetime;total_votes;phb4;Zvag;Z-L-O;paramed;BURMAAAR;Needlefang;Der_Sturmer;Jayola;jovan;Zikka
2019-08-07 00:00:59;2;1;1;0;0;0;0;0;0;0;0
2019-08-07 00:01:58;2;1;1;0;0;0;0;0;0;0;0
2019-08-07 00:02:59;4;1;1;0;0;0;0;0;0;0;0
2019-08-07 00:03:59;5;1;1;0;0;1;0;0;0;0;0
2019-08-07 00:04:59;5;1;1;0;0;1;0;0;0;0;0
2019-08-07 00:05:58;6;2;1;0;0;1;0;0;0;0;0
2019-08-07 00:06:59;7;2;1;0;0;1;0;0;0;0;0
2019-08-07 00:07:59;7;2;1;0;0;1;0;0;0;0;0
2019-08-07 00:08:58;8;3;1;0;0;1;0;0;0;0;0
2019-08-07 00:09:59;9;4;1;0;0;1;0;0;0;0;0
2019-08-07 00:10:59;9;4;1;0;0;1;0;0;0;0;0
2019-08-07 00:11:58;9;4;1;0;0;1;0;0;0;0;0
2019-08-07 00:12:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:13:58;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:14:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:15:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:16:58;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:17:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:18:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:19:58;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:20:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:21:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:22:58;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:23:59;12;5;1;0;0;1;0;0;0;0;0
2019-08-07 00:24:59;13;5;1;0;0;1;0;1;0;0;0
2019-08-07 00:25:58;13;5;1;0;0;1;0;1;0;0;0
2019-08-07 00:26:59;14;5;1;0;0;1;1;1;0;0;0
2019-08-07 00:27:59;14;5;1;0;0;1;1;1;0;0;0
2019-08-07 00:28:58;16;5;1;0;0;2;1;1;0;0;0
2019-08-07 00:29:59;17;5;1;0;0;2;2;1;0;0;0
2019-08-07 00:30:59;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:31:58;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:32:59;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:33:59;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:34:58;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:35:59;21;7;0;2;0;2;2;1;0;0;0
2019-08-07 00:36:59;22;8;0;2;0;2;2;1;0;0;0
2019-08-07 00:37:58;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:38:59;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:39:58;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:40:59;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:41:59;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:42:58;22;8;1;3;0;2;2;1;0;0;0
2019-08-07 00:43:59;23;9;1;3;0;2;2;1;0;0;0
2019-08-07 00:44:59;24;9;2;3;0;2;2;1;0;0;0
2019-08-07 00:45:58;24;9;2;3;0;2;2;1;0;0;0
2019-08-07 00:46:59;24;9;2;3;0;2;2;1;0;0;0
2019-08-07 00:47:59;24;9;2;3;0;2;2;1;0;0;0
2019-08-07 00:48:58;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:49:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:50:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:51:58;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:52:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:53:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:54:58;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:55:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:56:58;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:57:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:58:59;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 00:59:58;25;9;2;3;0;2;3;1;0;0;0
2019-08-07 01:00:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:01:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:02:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:03:58;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:04:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:05:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:06:58;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:07:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:08:58;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:09:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:10:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:11:58;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:12:59;26;9;2;4;0;2;3;1;0;0;0
2019-08-07 01:13:59;27;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:14:58;27;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:15:59;27;9;2;4;0;2;3;1;1;0;0
