datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-08-14 00:01:59;3;0;0;0;0;1;0;2;0;0;0
2019-08-14 00:02:59;5;0;0;0;0;1;1;3;0;0;0
2019-08-14 00:03:58;6;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:04:59;6;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:05:58;7;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:06:59;7;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:07:59;8;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:08:58;9;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:09:59;9;0;0;0;0;2;1;3;0;0;0
2019-08-14 00:10:59;12;1;0;0;0;3;1;3;0;0;0
2019-08-14 00:11:58;13;2;0;0;0;3;1;3;0;0;0
2019-08-14 00:12:59;15;3;0;0;0;4;1;3;0;0;0
2019-08-14 00:13:59;16;4;0;0;0;4;1;3;0;0;0
2019-08-14 00:14:58;16;4;0;0;0;4;1;3;0;0;0
2019-08-14 00:15:59;19;4;0;0;0;4;1;3;0;0;1
2019-08-14 00:16:58;19;4;0;0;0;4;1;3;0;0;1
2019-08-14 00:17:59;19;4;0;0;0;4;1;3;0;0;1
2019-08-14 00:18:59;19;4;0;0;0;4;1;3;0;0;1
2019-08-14 00:19:58;20;4;0;0;0;4;1;3;0;0;1
2019-08-14 00:20:59;22;4;0;0;0;4;1;3;1;0;0
2019-08-14 00:21:59;22;4;0;0;0;4;1;3;1;0;0
2019-08-14 00:22:58;22;4;0;0;0;4;1;3;1;0;0
2019-08-14 00:23:59;23;5;0;0;0;4;1;3;1;0;0
2019-08-14 00:24:59;24;5;0;0;0;4;1;3;1;1;0
2019-08-14 00:25:58;26;5;0;0;0;5;1;3;2;1;0
2019-08-14 00:26:59;26;5;0;0;0;5;1;3;2;1;0
2019-08-14 00:27:59;26;5;0;0;0;5;1;3;2;1;0
2019-08-14 00:28:58;26;5;0;0;0;5;1;3;2;1;0
