datetime;total_votes;nenastja;SuokSuok;Wiedemann;voklo;bigmouse;DrumBox;ielarud;rockamark;reasonspace;am_vrn
2019-08-28 03:00:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:01:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:02:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:03:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:04:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:05:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:06:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:07:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:08:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:09:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:10:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:11:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:12:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:13:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:14:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:15:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:16:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:17:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:18:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:19:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:20:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:21:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:22:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:23:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:24:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:25:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:26:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:27:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:28:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:29:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:30:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:31:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:32:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:33:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:34:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:35:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:36:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:37:58;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:38:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:39:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:40:59;40;11;0;4;7;2;4;2;2;1;0
2019-08-28 03:41:58;41;12;0;4;7;2;4;2;2;1;0
2019-08-28 03:42:59;41;12;0;4;7;2;4;2;2;1;0
2019-08-28 03:43:59;41;12;0;4;7;2;4;2;2;1;0
2019-08-28 03:44:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:45:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:46:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:47:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:48:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:49:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:50:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:51:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:52:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:53:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:54:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:55:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:56:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:57:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:58:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 03:59:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:00:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:01:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:02:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:03:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:04:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:05:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:06:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:07:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:08:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:09:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:10:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:11:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:12:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:13:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:14:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:15:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:16:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:17:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:18:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:19:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:20:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:21:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:22:58;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:23:59;40;12;0;4;7;2;4;2;2;0;0
2019-08-28 04:24:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:25:58;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:26:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:27:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:28:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:29:58;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:30:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:31:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:32:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:33:58;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:34:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:35:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:36:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:37:58;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:38:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:39:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:40:59;40;11;0;5;7;2;4;2;2;0;0
2019-08-28 04:41:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:42:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:43:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:44:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:45:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:46:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:47:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:48:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:49:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:50:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:51:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:52:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:53:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:54:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:55:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:56:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:57:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:58:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 04:59:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:00:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:01:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:02:58;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:03:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:04:59;41;11;0;5;7;2;5;2;2;0;0
2019-08-28 05:05:59;42;11;0;5;7;3;5;2;2;0;0
2019-08-28 05:06:58;42;11;0;5;7;3;5;2;2;0;0
2019-08-28 05:07:59;42;11;0;5;7;3;5;2;2;0;0
2019-08-28 05:08:59;42;11;0;5;7;3;5;2;2;0;0
2019-08-28 05:09:58;43;12;0;5;7;3;5;2;2;0;0
2019-08-28 05:10:59;43;12;0;5;7;3;5;2;2;0;0
2019-08-28 05:11:59;43;12;0;5;7;3;5;2;2;0;0
2019-08-28 05:12:59;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:13:59;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:14:58;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:15:59;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:16:59;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:17:58;44;13;0;5;7;3;5;2;2;0;0
2019-08-28 05:18:59;44;13;0;5;7;3;5;2;2;0;0
