datetime;total_votes;cofee;jovan;thaisia_b;NoEndOutcry;Trollero;cmapukocmankypum;voklo;asap;MishaPepyaka;Goinsane
2019-09-04 00:00:59;2;0;0;0;0;0;0;2;0;0;0
2019-09-04 00:01:58;3;0;0;0;0;0;0;2;0;0;0
2019-09-04 00:02:59;5;1;0;0;1;0;0;2;0;0;0
2019-09-04 00:03:58;6;1;0;0;1;0;0;2;0;0;0
2019-09-04 00:04:59;6;1;0;0;1;0;0;2;0;0;0
2019-09-04 00:05:59;7;1;0;0;1;0;0;3;0;0;0
2019-09-04 00:06:59;8;1;1;0;1;0;0;3;0;0;0
2019-09-04 00:07:58;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:08:59;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:09:59;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:10:59;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:11:58;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:12:59;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:13:59;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:14:58;9;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:15:59;10;1;1;0;1;1;0;3;0;0;0
2019-09-04 00:16:59;11;1;1;0;1;2;0;3;0;0;0
2019-09-04 00:17:59;11;1;1;0;1;2;0;3;0;0;0
2019-09-04 00:18:59;13;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:19:58;13;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:20:59;13;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:21:59;13;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:22:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:23:58;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:24:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:25:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:26:58;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:27:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:28:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:29:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:30:58;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:31:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:32:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:33:59;14;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:34:58;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:35:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:36:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:37:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:38:58;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:39:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:40:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:41:58;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:42:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:43:59;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:45:00;15;2;1;0;1;2;0;3;0;0;0
2019-09-04 00:45:58;16;2;2;0;1;2;0;3;0;0;0
2019-09-04 00:46:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:47:58;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:48:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:49:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:50:58;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:51:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:52:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:53:59;17;2;2;1;1;2;0;3;0;0;0
2019-09-04 00:54:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 00:55:58;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 00:56:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 00:57:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 00:58:58;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 00:59:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:00:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:01:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:02:58;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:03:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:04:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:05:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:06:58;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:07:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:08:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:09:59;18;2;2;1;2;2;0;3;0;0;0
2019-09-04 01:10:58;19;2;2;1;3;2;0;3;0;0;0
2019-09-04 01:11:59;19;2;2;1;3;2;0;3;0;0;0
2019-09-04 01:12:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:13:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:14:58;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:15:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:16:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:17:58;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:18:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:19:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:20:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:21:58;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:22:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:23:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:24:58;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:25:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:26:59;20;2;2;1;4;2;0;3;0;0;0
2019-09-04 01:27:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:28:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:29:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:30:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:31:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:32:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:33:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:34:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:35:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:36:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:37:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:38:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:39:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:40:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:41:58;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:42:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:43:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:44:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:45:58;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:46:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:47:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:48:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:49:58;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:50:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:51:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:52:58;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:53:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:54:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:55:58;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:56:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:57:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:58:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:59:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:00:58;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:01:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:02:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:03:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:04:58;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:05:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:06:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:07:58;26;3;3;4;5;2;0;3;0;0;0
2019-09-04 02:08:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:09:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:10:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:11:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:12:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:13:59;27;3;3;5;5;2;0;3;0;0;0
