datetime;total_votes;SuokSuok;cofee;Der_Sturmer;brammator;asap;DrumBox;Z-L-O;rockamark;voklo;kotophalk
2019-09-11 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-09-11 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-09-11 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2019-09-11 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-09-11 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2019-09-11 00:05:58;0;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:06:59;0;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:07:59;2;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:08:59;3;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:10:00;4;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:10:58;4;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:11:59;5;0;0;0;1;0;0;0;0;0;0
2019-09-11 00:12:59;7;0;0;0;2;0;0;0;1;0;0
2019-09-11 00:13:59;7;0;0;0;2;0;0;0;1;0;0
2019-09-11 00:14:58;7;0;0;0;2;0;0;0;1;0;0
2019-09-11 00:15:59;7;0;0;0;2;0;0;0;1;0;0
2019-09-11 00:16:59;7;0;0;0;2;0;0;0;1;0;0
2019-09-11 00:17:58;8;0;0;0;2;1;0;0;1;0;0
2019-09-11 00:18:59;8;0;0;0;2;1;0;0;1;0;0
2019-09-11 00:19:59;8;0;0;0;2;1;0;0;1;0;0
2019-09-11 00:20:59;8;0;0;0;2;1;0;0;1;0;0
2019-09-11 00:21:58;8;0;0;0;2;1;0;0;1;0;0
2019-09-11 00:22:59;10;0;0;1;2;1;0;1;1;0;0
2019-09-11 00:23:59;12;0;0;1;2;2;0;1;1;0;0
2019-09-11 00:24:59;12;0;0;1;2;2;0;1;1;0;0
2019-09-11 00:25:58;13;0;1;1;2;2;0;1;1;0;0
2019-09-11 00:26:59;14;0;1;2;2;2;0;1;1;0;0
2019-09-11 00:27:59;14;0;1;2;2;2;0;1;1;0;0
2019-09-11 00:28:59;14;0;1;2;2;2;0;1;1;0;0
2019-09-11 00:29:58;14;0;1;2;2;2;0;1;1;0;0
2019-09-11 00:30:59;15;0;1;3;2;2;0;2;1;0;0
2019-09-11 00:31:59;16;0;1;4;2;2;0;2;1;0;0
2019-09-11 00:32:58;16;0;1;4;2;2;0;2;1;0;0
2019-09-11 00:33:59;17;0;2;4;2;2;0;2;1;0;0
2019-09-11 00:34:59;17;0;2;4;2;2;0;2;1;0;0
2019-09-11 00:35:59;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:36:58;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:37:59;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:38:59;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:40:00;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:40:58;20;0;2;4;2;2;0;2;1;2;0
2019-09-11 00:41:59;21;0;2;4;3;2;0;2;1;2;0
2019-09-11 00:42:59;21;0;2;4;3;2;0;2;1;2;0
2019-09-11 00:43:59;21;0;2;4;3;2;0;2;1;2;0
2019-09-11 00:44:58;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:45:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:46:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:47:58;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:48:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:49:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:50:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:51:58;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:52:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:53:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:54:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:55:58;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:56:59;22;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:57:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:58:58;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 00:59:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:00:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:01:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:02:58;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:03:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:04:59;23;1;2;4;3;2;0;2;0;2;0
2019-09-11 01:05:58;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:06:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:07:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:08:58;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:09:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:10:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:11:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:12:58;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:13:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:14:59;24;1;2;4;3;2;0;2;0;2;1
2019-09-11 01:15:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:16:58;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:17:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:18:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:19:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:20:58;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:21:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:22:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:23:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:24:58;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:25:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:26:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:27:58;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:28:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:29:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:30:58;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:31:59;25;1;2;4;4;2;0;2;0;2;1
2019-09-11 01:32:59;26;1;3;4;4;2;0;2;0;2;1
2019-09-11 01:33:59;27;1;3;4;5;2;0;2;0;2;1
2019-09-11 01:34:58;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:35:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:36:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:37:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:38:58;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:39:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:40:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:41:58;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:42:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:43:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:44:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:45:58;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:46:59;27;1;4;4;4;2;0;2;0;2;1
2019-09-11 01:47:59;28;2;4;4;4;2;0;2;0;2;1
2019-09-11 01:48:58;28;2;4;4;4;2;0;2;0;2;1
2019-09-11 01:49:59;28;2;4;4;4;2;0;2;0;2;1
2019-09-11 01:50:59;29;2;5;4;4;2;0;2;0;2;1
2019-09-11 01:51:59;29;2;5;4;4;2;0;2;0;2;1
2019-09-11 01:52:58;29;2;5;4;4;2;0;2;0;2;1
2019-09-11 01:53:59;30;2;5;5;4;2;0;2;0;2;1
2019-09-11 01:54:59;30;2;5;5;4;2;0;2;0;2;1
2019-09-11 01:55:59;31;2;5;5;4;2;0;2;0;3;0
2019-09-11 01:56:58;31;2;5;5;4;2;0;2;0;3;0
2019-09-11 01:57:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 01:58:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 01:59:58;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:00:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:01:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:02:58;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:03:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:04:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:05:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:06:58;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:07:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:08:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:09:58;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:10:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:11:59;32;2;5;5;4;3;0;2;1;3;0
2019-09-11 02:12:59;33;2;5;6;4;3;0;2;1;3;0
2019-09-11 02:13:58;33;2;5;6;4;3;0;2;1;3;0
