datetime;total_votes;pavelomg;lublu-zubi;navalny;NoEndOutcry;XASSA;DrumBox;kotophalk;bf6;Cynicium;DoveKill
2019-09-18 00:00:59;0;1;0;0;0;0;0;0;0;0;0
2019-09-18 00:01:59;0;1;0;0;0;0;0;0;0;0;0
2019-09-18 00:02:59;0;1;0;0;0;0;0;0;0;0;0
2019-09-18 00:03:59;2;1;0;0;0;0;0;0;0;1;0
2019-09-18 00:04:58;2;1;0;0;0;0;0;0;0;1;0
2019-09-18 00:05:59;2;1;0;0;0;0;0;0;0;1;0
2019-09-18 00:06:58;2;1;0;0;0;0;0;0;0;1;0
2019-09-18 00:07:59;4;1;0;1;0;0;0;0;0;1;0
2019-09-18 00:08:59;4;1;0;1;0;0;0;0;0;1;0
2019-09-18 00:09:58;4;1;0;1;0;0;0;0;0;1;0
2019-09-18 00:10:59;4;1;0;1;0;0;0;0;0;1;0
2019-09-18 00:11:59;5;1;0;2;0;0;0;0;0;1;0
2019-09-18 00:12:58;5;1;0;2;0;0;0;0;0;1;0
2019-09-18 00:13:59;7;1;0;3;0;0;0;0;0;1;0
2019-09-18 00:14:59;8;1;0;3;0;0;0;0;0;1;0
2019-09-18 00:15:59;9;1;0;4;0;0;0;0;0;1;0
2019-09-18 00:16:58;9;1;0;4;0;0;0;0;0;1;0
2019-09-18 00:17:59;9;1;0;4;0;0;0;0;0;1;0
2019-09-18 00:18:59;9;1;0;4;0;0;0;0;0;1;0
2019-09-18 00:19:59;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:20:58;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:21:59;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:22:59;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:23:58;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:24:59;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:25:59;10;2;0;4;0;0;0;0;0;1;0
2019-09-18 00:26:59;11;2;0;4;0;0;1;0;0;1;0
2019-09-18 00:27:58;12;2;0;4;1;0;1;0;0;1;0
2019-09-18 00:28:59;12;2;0;4;1;0;1;0;0;1;0
2019-09-18 00:29:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:30:58;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:31:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:32:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:33:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:34:58;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:35:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:36:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:37:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:38:58;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:39:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:40:59;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:41:58;14;3;0;4;1;0;1;1;0;1;0
2019-09-18 00:42:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:43:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:44:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:45:58;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:46:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:47:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:48:59;16;3;1;4;2;0;1;1;0;1;0
2019-09-18 00:49:58;17;3;2;4;2;0;1;1;0;1;0
2019-09-18 00:50:59;17;3;2;4;2;0;1;1;0;1;0
