datetime;total_votes;pavelomg;lublu-zubi;Bleak;brammator;TheWho;KOCTOPE3;voklo;not;medstas;CaptchaBot
2019-09-25 00:00:59;2;0;1;0;1;0;0;0;0;0;0
2019-09-25 00:01:59;2;0;1;0;1;0;0;0;0;0;0
2019-09-25 00:03:00;3;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:03:58;3;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:04:59;4;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:05:59;4;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:06:58;4;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:07:59;4;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:08:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:09:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:10:58;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:11:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:12:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:13:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:15:00;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:15:58;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:16:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:17:59;5;0;1;0;1;1;0;0;0;0;0
2019-09-25 00:19:00;6;0;1;0;1;1;1;0;0;0;0
2019-09-25 00:19:58;6;0;1;0;1;1;1;0;0;0;0
2019-09-25 00:20:59;7;0;1;0;1;1;1;0;1;0;0
2019-09-25 00:21:58;7;0;1;0;1;1;1;0;1;0;0
2019-09-25 00:22:59;7;0;1;0;1;1;1;0;1;0;0
2019-09-25 00:23:59;7;0;1;0;1;1;1;0;1;0;0
2019-09-25 00:24:59;7;0;1;0;1;1;1;0;1;0;0
2019-09-25 00:25:59;8;0;1;0;1;1;2;0;1;0;0
2019-09-25 00:26:58;8;0;1;0;1;1;2;0;1;0;0
2019-09-25 00:27:59;9;0;2;0;1;1;2;0;1;0;0
2019-09-25 00:28:59;9;0;2;0;1;1;2;0;1;0;0
2019-09-25 00:29:59;9;0;2;0;1;1;2;0;1;0;0
2019-09-25 00:30:58;10;0;2;0;1;1;2;0;2;0;0
2019-09-25 00:31:59;10;0;2;0;1;1;2;0;2;0;0
2019-09-25 00:32:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:33:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:35:00;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:35:58;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:36:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:37:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:39:00;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:39:58;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:40:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:41:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:42:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:43:58;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:44:59;12;0;2;0;2;2;2;0;2;0;0
2019-09-25 00:45:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:46:58;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:47:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:48:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:49:58;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:50:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:51:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:52:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:53:58;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:54:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:55:59;13;0;3;0;2;2;2;0;2;0;0
2019-09-25 00:56:59;16;0;3;0;2;3;2;2;2;0;0
2019-09-25 00:57:58;16;0;3;0;2;3;2;2;2;0;0
2019-09-25 00:58:59;16;0;3;0;2;3;2;2;2;0;0
2019-09-25 00:59:59;16;0;3;0;2;3;2;2;2;0;0
2019-09-25 01:00:59;17;0;3;0;2;3;3;2;2;0;0
2019-09-25 01:01:58;18;0;3;1;2;3;3;2;2;0;0
2019-09-25 01:02:59;18;0;3;1;2;3;3;2;2;0;0
2019-09-25 01:03:59;18;0;3;1;2;3;3;2;2;0;0
2019-09-25 01:04:59;19;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:05:58;19;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:06:59;19;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:07:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:08:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:09:58;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:10:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:11:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:12:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:13:58;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:14:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:15:59;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:16:58;20;0;4;1;2;3;3;2;2;0;0
2019-09-25 01:17:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:18:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:19:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:20:58;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:21:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:22:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:23:58;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:24:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:25:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:26:58;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:27:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:28:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:29:59;23;2;4;1;3;3;3;2;2;0;0
2019-09-25 01:30:58;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:31:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:32:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:33:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:34:58;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:35:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:36:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:37:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:38:58;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:39:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:40:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:41:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:42:58;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:43:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:44:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:45:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:46:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:47:58;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:48:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:49:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:51:00;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:51:58;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:52:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:53:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:54:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:55:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:56:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:57:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:58:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:59:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:00:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:01:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:02:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:03:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:04:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:05:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:06:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:07:59;27;0;6;1;5;3;3;2;3;0;0
