datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-10-02 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-10-02 00:02:59;3;0;0;1;0;0;0;0;0;0;0
2019-10-02 00:03:59;3;0;0;1;0;0;0;0;0;0;0
2019-10-02 00:04:59;3;0;0;1;0;0;0;0;0;0;0
2019-10-02 00:05:58;6;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:06:59;6;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:07:59;6;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:08:58;6;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:09:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:10:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:11:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:12:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:13:58;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:14:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:15:59;7;0;0;1;2;0;0;0;0;0;0
2019-10-02 00:16:59;8;0;0;1;3;0;0;0;0;0;0
2019-10-02 00:17:58;8;0;0;1;3;0;0;0;0;0;0
2019-10-02 00:18:59;8;0;0;1;3;0;0;0;0;0;0
2019-10-02 00:19:59;8;0;0;1;3;0;0;0;0;0;0
2019-10-02 00:20:58;9;0;0;1;4;0;0;0;0;0;0
2019-10-02 00:21:59;9;0;0;1;4;0;0;0;0;0;0
2019-10-02 00:22:59;9;0;0;1;4;0;0;0;0;0;0
2019-10-02 00:23:59;10;0;0;1;5;0;0;0;0;0;0
2019-10-02 00:24:59;10;0;0;1;5;0;0;0;0;0;0
2019-10-02 00:25:58;10;0;0;1;5;0;0;0;0;0;0
2019-10-02 00:26:59;10;0;0;1;5;0;0;0;0;0;0
2019-10-02 00:27:59;10;0;0;1;5;0;0;0;0;0;0
