datetime;total_votes;Lay_Lady_Lay;rockamark;not;sly2m;Qumnica;Deneo;voklo;akuaku;kotophalk;kiLstrom
2019-10-09 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-10-09 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2019-10-09 00:02:59;4;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:03:59;4;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:04:59;4;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:05:58;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:06:59;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:07:59;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:08:59;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:09:58;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:10:59;5;0;0;0;0;0;0;2;0;0;0
2019-10-09 00:11:59;6;0;0;1;0;0;0;2;0;0;0
2019-10-09 00:12:58;7;0;0;1;0;0;0;2;0;1;0
2019-10-09 00:13:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:14:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:15:58;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:16:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:17:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:18:58;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:19:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:20:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:21:58;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:22:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:23:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:24:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:25:58;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:26:59;9;0;0;1;0;0;0;2;0;1;1
2019-10-09 00:27:59;10;0;0;2;0;0;0;2;0;1;1
2019-10-09 00:28:59;10;0;0;2;0;0;0;2;0;1;1
2019-10-09 00:29:58;10;0;0;2;0;0;0;2;0;1;1
2019-10-09 00:30:59;11;0;1;2;0;0;0;2;0;1;1
2019-10-09 00:31:59;11;0;1;2;0;0;0;2;0;1;1
