datetime;total_votes;rockamark;KOCTOPE3;UndeadMoroz;akuaku;brammator;voklo;kotophalk;John_Golt;kross;gelatelno
2019-10-16 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2019-10-16 00:01:59;0;0;1;0;0;0;0;0;0;0;0
2019-10-16 00:02:59;0;0;1;0;0;0;0;0;0;0;0
2019-10-16 00:03:59;3;0;1;0;0;0;0;0;1;0;0
2019-10-16 00:04:58;3;0;1;0;0;0;0;0;1;0;0
2019-10-16 00:05:59;3;0;1;0;0;0;0;0;1;0;0
2019-10-16 00:06:59;4;0;1;0;0;0;0;0;1;0;0
2019-10-16 00:07:59;4;0;1;0;0;0;0;0;1;0;0
2019-10-16 00:08:58;5;0;1;0;0;0;0;0;1;0;1
2019-10-16 00:09:59;5;0;1;0;0;0;0;0;1;0;1
2019-10-16 00:10:59;6;0;1;0;0;1;0;0;1;0;1
2019-10-16 00:11:58;7;0;1;0;0;1;0;0;1;0;1
2019-10-16 00:12:59;9;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:13:59;10;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:14:59;10;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:15:58;10;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:16:59;10;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:17:59;10;1;1;0;0;1;0;0;1;0;1
2019-10-16 00:18:58;12;2;1;1;0;1;0;0;0;0;1
2019-10-16 00:19:59;12;2;1;1;0;1;0;0;0;0;1
2019-10-16 00:20:59;13;3;1;1;0;1;0;0;0;0;1
2019-10-16 00:21:58;13;3;1;1;0;1;0;0;0;0;1
2019-10-16 00:22:59;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:23:59;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:24:58;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:25:59;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:26:59;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:27:59;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:28:58;14;4;1;1;0;1;0;0;0;0;1
2019-10-16 00:29:59;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:30:59;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:31:58;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:32:59;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:33:59;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:34:59;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:35:58;15;4;1;2;0;0;0;0;1;0;1
2019-10-16 00:36:59;16;4;2;2;0;1;0;0;1;0;1
2019-10-16 00:37:59;16;4;2;2;0;1;0;0;1;0;1
2019-10-16 00:39:00;16;4;2;2;0;1;0;0;1;0;1
