datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 00:00:59;2;0;0;2;0;0;0;0;0;0;0
2019-10-23 00:01:58;2;0;0;2;0;0;0;0;0;0;0
2019-10-23 00:02:59;2;0;0;2;0;0;0;0;0;0;0
2019-10-23 00:03:58;2;0;0;2;0;0;0;0;0;0;0
2019-10-23 00:04:59;3;0;0;2;0;0;0;0;0;0;1
2019-10-23 00:05:59;3;0;0;2;0;0;0;0;0;0;1
2019-10-23 00:06:59;5;0;0;2;1;0;0;0;0;0;1
2019-10-23 00:07:58;5;0;0;2;1;0;0;0;0;0;1
2019-10-23 00:08:59;6;0;0;2;2;0;0;0;0;0;1
2019-10-23 00:09:59;6;0;0;2;2;0;0;0;0;0;1
2019-10-23 00:10:58;7;0;0;2;2;0;0;0;0;0;1
2019-10-23 00:11:59;7;0;0;2;2;0;0;0;0;0;1
2019-10-23 00:12:59;8;0;0;3;2;0;0;0;0;0;1
2019-10-23 00:13:58;8;0;0;3;2;0;0;0;0;0;1
2019-10-23 00:14:59;9;0;0;3;2;0;1;0;0;0;1
2019-10-23 00:15:59;10;0;0;4;2;0;1;0;0;0;1
2019-10-23 00:16:59;11;0;0;5;2;0;1;0;0;0;1
2019-10-23 00:17:58;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:18:59;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:19:59;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:20:58;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:21:59;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:22:59;12;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:23:59;13;0;0;6;2;0;1;0;0;0;1
2019-10-23 00:24:58;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:25:59;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:26:59;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:28:00;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:28:58;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:29:59;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:30:59;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:31:58;14;0;0;7;2;0;1;0;0;0;1
2019-10-23 00:32:58;15;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:33:59;15;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:34:59;15;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:35:59;15;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:36:58;15;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:37:59;16;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:38:59;16;0;0;7;2;1;1;0;0;0;1
2019-10-23 00:39:59;17;0;0;7;3;1;1;0;0;0;1
2019-10-23 00:40:58;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:41:59;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:42:59;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:43:58;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:44:59;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:45:59;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:46:58;19;0;1;7;3;1;1;0;1;0;1
2019-10-23 00:47:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:48:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:49:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:50:58;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:51:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:52:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:53:58;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:54:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:55:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:56:59;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:57:58;20;0;1;7;3;1;2;0;1;0;1
2019-10-23 00:58:59;20;0;1;7;3;1;2;0;1;0;1
