datetime;total_votes;lublu-zubi;voklo;brammator;jovan;Hexadecachoron;paramed;UndeadMoroz;norpo;xiro;Mapm
2019-11-06 00:00:59;2;0;2;0;0;0;0;0;0;0;0
2019-11-06 00:01:59;2;0;2;0;0;0;0;0;0;0;0
2019-11-06 00:02:59;2;0;2;0;0;0;0;0;0;0;0
2019-11-06 00:03:58;3;1;2;0;0;0;0;0;0;0;0
2019-11-06 00:04:59;4;2;2;0;0;0;0;0;0;0;0
2019-11-06 00:05:59;4;2;2;0;0;0;0;0;0;0;0
2019-11-06 00:06:58;5;2;2;0;0;0;0;0;0;0;0
2019-11-06 00:07:59;5;2;2;0;0;0;0;0;0;0;0
2019-11-06 00:08:59;6;2;2;0;0;1;0;0;0;0;0
2019-11-06 00:09:58;6;2;2;0;0;1;0;0;0;0;0
2019-11-06 00:10:59;6;2;2;0;0;1;0;0;0;0;0
2019-11-06 00:12:00;6;2;2;0;0;1;0;0;0;0;0
2019-11-06 00:12:58;6;2;2;0;0;1;0;0;0;0;0
2019-11-06 00:13:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:14:58;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:15:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:16:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:17:58;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:18:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:19:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:20:58;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:21:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:22:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:23:58;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:24:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:25:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:26:58;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:27:59;8;3;2;0;0;1;0;0;0;0;0
2019-11-06 00:28:58;8;3;2;0;0;1;0;0;0;0;0
