datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-13 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2019-11-13 00:02:59;0;1;0;0;0;0;0;0;0;0;0
2019-11-13 00:03:59;0;1;0;0;0;0;0;0;0;0;0
2019-11-13 00:04:58;0;1;0;0;0;0;0;0;0;0;0
2019-11-13 00:05:59;3;1;1;0;0;0;0;0;0;0;0
2019-11-13 00:06:59;3;1;1;0;0;0;0;0;0;0;0
2019-11-13 00:07:59;4;1;2;0;0;0;0;0;0;0;0
2019-11-13 00:08:59;4;1;2;0;0;0;0;0;0;0;0
2019-11-13 00:09:59;6;1;2;0;0;0;0;0;0;0;0
2019-11-13 00:10:58;6;1;2;0;0;0;0;0;0;0;0
2019-11-13 00:11:59;6;1;2;0;0;0;0;0;0;0;0
2019-11-13 00:12:59;8;2;3;0;0;0;0;0;0;0;0
2019-11-13 00:13:58;9;2;4;0;0;0;0;0;0;0;0
2019-11-13 00:14:59;9;2;4;0;0;0;0;0;0;0;0
2019-11-13 00:15:59;10;2;4;1;0;0;0;0;0;0;0
2019-11-13 00:16:58;12;2;4;1;0;0;0;0;0;0;1
2019-11-13 00:17:59;12;2;4;1;0;0;0;0;0;0;1
2019-11-13 00:18:58;12;2;4;1;0;0;0;0;0;0;1
2019-11-13 00:19:59;12;2;4;1;0;0;0;0;0;0;1
2019-11-13 00:20:59;12;2;4;1;0;0;0;0;0;0;1
2019-11-13 00:21:59;14;2;5;1;0;0;0;0;0;0;1
2019-11-13 00:22:58;15;2;5;1;0;0;0;0;0;0;1
2019-11-13 00:23:59;15;2;5;1;0;0;0;0;0;0;1
2019-11-13 00:24:58;15;2;5;1;0;0;0;0;0;0;1
2019-11-13 00:25:59;17;2;5;2;0;0;0;1;0;0;1
2019-11-13 00:26:59;18;2;5;2;1;0;0;1;0;0;1
2019-11-13 00:27:58;18;2;5;2;1;0;0;1;0;0;1
2019-11-13 00:28:59;19;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:30:00;19;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:30:58;20;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:31:59;21;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:32:59;21;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:33:58;21;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:34:59;21;2;5;2;1;0;0;0;0;0;1
2019-11-13 00:35:59;22;2;5;3;1;0;0;0;0;0;1
2019-11-13 00:36:58;22;2;5;3;1;0;0;0;0;0;1
2019-11-13 00:37:59;24;3;5;3;1;0;0;0;0;0;1
2019-11-13 00:38:59;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:39:58;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:40:59;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:41:59;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:42:59;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:43:58;26;4;6;3;1;0;0;0;0;0;1
2019-11-13 00:44:59;27;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:45:59;27;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:46:59;27;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:47:58;27;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:48:59;28;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:49:58;28;4;6;4;1;0;0;0;0;0;1
2019-11-13 00:50:59;29;5;6;4;1;0;0;0;0;0;1
2019-11-13 00:51:59;29;5;6;4;1;0;0;0;0;0;1
2019-11-13 00:52:59;29;5;6;4;1;0;0;0;0;0;1
2019-11-13 00:53:58;30;5;6;5;1;0;0;0;0;0;1
2019-11-13 00:54:59;30;5;6;5;1;0;0;0;0;0;1
2019-11-13 00:55:59;30;5;6;5;1;0;0;0;0;0;1
2019-11-13 00:56:59;30;5;6;5;1;0;0;0;0;0;1
2019-11-13 00:57:58;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 00:58:59;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 00:59:59;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 01:00:58;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 01:01:59;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 01:02:59;31;5;6;5;1;0;0;0;0;0;2
2019-11-13 01:03:58;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:04:59;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:05:58;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:06:59;30;4;6;6;0;0;0;0;0;0;2
2019-11-13 01:07:59;30;4;6;6;0;0;0;0;0;0;2
2019-11-13 01:08:58;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:09:59;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:10:59;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:11:58;31;4;6;6;1;0;0;0;0;0;2
2019-11-13 01:12:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:13:58;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:14:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:15:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:16:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:17:58;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:18:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:19:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:20:58;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:21:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:22:59;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:23:58;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:24:59;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:25:59;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:26:59;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:27:58;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:28:59;35;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:29:58;35;5;6;7;2;0;0;0;0;0;2
