datetime;total_votes;jovan;TouchMe;orlando;xtal;Dirtylieutenant;Hexadecachoron;UndeadMoroz;Militsija;kross;asap
2019-11-20 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:04:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:05:58;3;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:06:59;3;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:07:59;3;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:08:58;3;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:09:59;4;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:10:59;4;0;0;0;0;0;0;0;0;0;2
2019-11-20 00:11:59;5;0;0;0;1;0;0;0;0;0;2
2019-11-20 00:12:58;5;0;0;0;1;0;0;0;0;0;2
2019-11-20 00:13:59;5;0;0;0;1;0;0;0;0;0;2
2019-11-20 00:15:00;6;0;0;0;1;0;0;0;0;0;2
2019-11-20 00:15:58;6;0;0;0;1;0;0;0;0;0;2
2019-11-20 00:16:59;7;0;0;0;2;0;0;0;0;0;2
2019-11-20 00:17:59;7;0;0;0;2;0;0;0;0;0;2
2019-11-20 00:18:58;7;0;0;0;2;0;0;0;0;0;2
2019-11-20 00:19:59;7;0;0;0;2;0;0;0;0;0;2
2019-11-20 00:20:59;8;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:21:58;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:22:59;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:24:00;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:24:58;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:25:59;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:26:58;9;1;0;0;2;0;0;0;0;0;2
2019-11-20 00:27:59;10;1;0;1;2;0;0;0;0;0;2
2019-11-20 00:28:59;12;1;0;1;2;2;0;0;0;0;2
2019-11-20 00:29:59;14;1;0;1;2;2;0;0;0;0;2
