datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-11-27 00:01:58;2;0;1;0;0;0;0;0;0;0;0
2019-11-27 00:02:59;3;0;2;0;0;0;0;0;0;0;0
2019-11-27 00:03:59;4;1;2;0;0;0;0;0;0;0;0
2019-11-27 00:04:59;5;1;2;0;0;0;0;0;0;0;0
2019-11-27 00:05:58;5;1;2;0;0;0;0;0;0;0;0
2019-11-27 00:06:59;5;1;2;0;0;0;0;0;0;0;0
2019-11-27 00:07:58;5;1;2;0;0;0;0;0;0;0;0
2019-11-27 00:08:59;6;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:09:59;7;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:10:58;7;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:11:59;7;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:12:59;7;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:13:58;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:14:59;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:15:58;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:16:59;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:17:58;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:18:59;8;1;2;0;0;0;1;0;0;0;0
2019-11-27 00:19:58;9;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:20:59;9;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:21:59;9;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:22:58;9;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:23:59;9;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:24:58;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:25:59;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:26:59;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:27:58;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:28:59;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:29:59;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:30:58;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:31:59;10;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:32:59;11;1;3;0;0;0;1;0;0;0;0
2019-11-27 00:33:58;12;1;3;0;0;0;2;0;0;0;0
2019-11-27 00:34:59;12;1;3;0;0;0;2;0;0;0;0
2019-11-27 00:35:59;13;1;3;0;0;0;2;1;0;0;0
2019-11-27 00:36:58;13;1;3;0;0;0;2;1;0;0;0
2019-11-27 00:37:59;13;1;3;0;0;0;2;1;0;0;0
2019-11-27 00:38:58;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:39:59;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:40:59;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:41:59;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:42:58;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:43:59;14;2;3;0;0;0;2;1;0;0;0
2019-11-27 00:44:59;14;2;3;0;0;0;2;1;0;0;0
