datetime;total_votes;Wiedemann;Есения;kaiL;Hexadecachoron;romanvzromanvz;xtend;KOCTOPE3;mama_p_zh;zgushonka;Nosy
2019-12-04 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-04 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-04 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-04 00:03:58;0;0;0;0;0;0;0;0;0;0;0
2019-12-04 00:04:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:05:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:06:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:07:58;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:08:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:09:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:10:58;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:11:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:12:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:13:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:14:58;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:15:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:16:59;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:18:00;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:18:58;3;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:19:59;4;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:20:59;4;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:21:58;4;0;1;0;0;0;0;1;0;0;0
2019-12-04 00:22:59;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:23:59;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:24:58;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:25:59;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:26:59;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:28:00;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:28:58;6;0;1;0;1;0;1;1;0;0;0
2019-12-04 00:29:59;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:30:59;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:31:58;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:32:59;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:33:59;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:34:58;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:35:59;7;1;1;0;1;0;1;1;0;0;0
2019-12-04 00:36:59;8;1;1;0;1;1;1;1;0;0;0
2019-12-04 00:37:59;8;1;1;0;1;1;1;1;0;0;0
2019-12-04 00:38:58;9;1;2;0;1;1;1;1;0;0;0
2019-12-04 00:39:59;9;1;2;0;1;1;1;1;0;0;0
2019-12-04 00:40:59;10;1;2;0;1;1;1;2;0;0;0
2019-12-04 00:41:59;10;1;2;0;1;1;1;2;0;0;0
2019-12-04 00:42:58;11;1;2;0;1;1;2;2;0;0;0
2019-12-04 00:43:59;12;1;2;0;2;1;2;2;0;0;0
2019-12-04 00:44:59;12;1;2;0;2;1;2;2;0;0;0
2019-12-04 00:46:00;12;1;2;0;2;1;2;2;0;0;0
2019-12-04 00:46:58;13;1;3;0;2;1;2;2;0;0;0
2019-12-04 00:47:59;14;2;3;0;2;1;2;2;0;0;0
2019-12-04 00:48:59;14;2;3;0;2;1;2;2;0;0;0
2019-12-04 00:49:58;15;2;3;0;3;1;2;2;0;0;0
2019-12-04 00:50:59;15;2;3;0;3;1;2;2;0;0;0
2019-12-04 00:51:59;15;2;3;0;3;1;2;2;0;0;0
2019-12-04 00:52:58;16;2;3;0;3;1;3;2;0;0;0
2019-12-04 00:53:59;18;3;3;0;4;1;3;2;0;0;0
2019-12-04 00:54:59;18;3;3;0;4;1;3;2;0;0;0
2019-12-04 00:55:59;19;4;3;0;4;1;3;2;0;0;0
2019-12-04 00:56:58;19;4;3;0;4;1;3;2;0;0;0
2019-12-04 00:57:59;19;4;3;0;4;1;3;2;0;0;0
2019-12-04 00:58:59;19;4;3;0;4;1;3;2;0;0;0
2019-12-04 00:59:58;20;4;4;0;4;1;3;2;0;0;0
2019-12-04 01:00:59;20;4;4;0;4;1;3;2;0;0;0
2019-12-04 01:01:59;20;4;4;0;4;1;3;2;0;0;0
2019-12-04 01:02:59;20;4;4;0;4;1;3;2;0;0;0
2019-12-04 01:03:58;20;4;4;0;4;1;3;2;0;0;0
2019-12-04 01:04:59;21;4;4;0;4;1;4;2;0;0;0
2019-12-04 01:05:59;21;4;4;0;4;1;4;2;0;0;0
2019-12-04 01:06:59;21;4;4;0;4;1;4;2;0;0;0
2019-12-04 01:07:58;22;4;4;0;5;1;4;2;0;0;0
2019-12-04 01:08:59;23;4;5;0;5;1;4;2;0;0;0
2019-12-04 01:09:59;23;4;5;0;5;1;4;2;0;0;0
2019-12-04 01:10:59;23;4;5;0;5;1;4;2;0;0;0
2019-12-04 01:11:58;23;4;5;0;5;1;4;2;0;0;0
2019-12-04 01:12:59;24;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:13:59;24;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:14:59;24;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:15:58;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:16:59;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:17:59;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:18:59;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:19:58;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:20:59;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:21:59;25;4;6;0;5;1;4;2;0;0;0
2019-12-04 01:22:58;25;4;6;0;5;1;4;2;0;0;0
