datetime;total_votes;Wiedemann;orlando;Lay_Lady_Lay;norpo;kaiL;Dirtylieutenant;xtend;Etinilestradiol;Palad1n;asap
2019-12-11 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-11 00:01:59;3;0;0;0;1;0;0;0;0;0;0
2019-12-11 00:02:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:03:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:04:58;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:05:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:06:58;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:07:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:08:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:09:59;4;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:10:58;5;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:11:59;5;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:12:58;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:13:59;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:14:59;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:15:59;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:16:59;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:17:59;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:18:58;6;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:19:59;7;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:21:00;7;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:21:58;7;1;0;0;1;0;0;0;0;0;0
2019-12-11 00:22:59;8;1;0;0;1;0;0;0;1;0;0
2019-12-11 00:23:59;8;1;0;0;1;0;0;0;1;0;0
2019-12-11 00:24:59;8;1;0;0;1;0;0;0;1;0;0
2019-12-11 00:25:58;9;1;0;0;1;0;0;0;1;0;0
2019-12-11 00:26:59;10;1;0;0;1;0;0;1;1;0;0
2019-12-11 00:27:59;12;2;0;0;1;0;0;1;1;0;0
2019-12-11 00:28:59;13;3;0;0;1;0;0;1;1;0;0
2019-12-11 00:29:59;14;4;0;0;1;0;0;1;1;0;0
2019-12-11 00:30:58;15;5;0;0;1;0;0;1;1;0;0
2019-12-11 00:31:59;16;5;0;0;1;0;0;2;0;1;0
2019-12-11 00:32:59;16;5;0;0;1;0;0;2;0;1;0
2019-12-11 00:33:58;17;5;0;0;2;0;0;2;1;1;0
2019-12-11 00:34:59;17;5;0;0;2;0;0;2;1;1;0
2019-12-11 00:35:58;17;5;0;0;2;0;0;2;1;1;0
2019-12-11 00:36:59;18;5;0;0;2;0;1;2;0;1;0
2019-12-11 00:37:59;18;5;0;0;2;0;1;2;0;1;0
2019-12-11 00:38:59;19;5;0;0;2;0;2;2;0;1;0
2019-12-11 00:39:58;19;5;0;0;2;0;2;2;0;1;0
2019-12-11 00:40:59;19;5;0;0;2;0;2;2;0;1;0
2019-12-11 00:41:59;20;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:42:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:43:58;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:44:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:45:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:46:58;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:47:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:48:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:49:58;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:50:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:51:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:52:59;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:53:58;21;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:54:59;22;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:55:59;23;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:56:59;24;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:57:59;24;6;0;0;2;0;2;2;0;1;0
2019-12-11 00:58:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 00:59:58;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:00:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:01:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:02:58;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:03:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:04:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:05:58;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:06:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:07:59;25;7;0;0;2;0;2;2;0;1;0
2019-12-11 01:08:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:09:58;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:10:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:11:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:12:58;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:13:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:14:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:15:58;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:16:59;26;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:17:59;27;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:18:58;27;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:19:59;27;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:20:59;27;7;0;0;2;0;2;2;0;0;0
2019-12-11 01:21:59;28;7;0;1;3;0;2;2;1;0;0
2019-12-11 01:22:58;28;7;0;1;3;0;2;2;1;0;0
2019-12-11 01:23:59;28;7;0;1;3;0;2;2;1;0;0
2019-12-11 01:24:59;28;7;0;1;3;0;2;2;1;0;0
2019-12-11 01:25:58;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:26:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:27:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:28:58;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:29:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:30:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:31:58;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:32:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:33:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:34:59;29;7;0;0;3;0;3;2;1;0;0
2019-12-11 01:35:58;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:36:59;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:37:59;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:38:58;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:39:59;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:41:00;30;7;0;0;4;0;3;2;1;0;0
2019-12-11 01:41:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:42:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:43:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:45:00;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:45:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:46:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:47:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:48:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:49:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:50:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:51:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:52:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:53:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:54:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:55:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:56:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:57:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:58:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 01:59:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:00:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:01:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:02:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:03:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:04:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:05:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:06:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:07:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:08:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:09:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:10:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:11:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:12:58;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:13:59;31;7;0;0;4;0;3;2;2;0;0
2019-12-11 02:14:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:15:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:16:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:17:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:18:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:19:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:20:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:21:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:22:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:23:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:24:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:25:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:26:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:27:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:28:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:29:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:31:00;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:31:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:32:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:33:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:34:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:35:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:36:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:37:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:38:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:39:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:40:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:41:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:42:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:43:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:44:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:45:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:46:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:47:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:48:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:49:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:50:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:51:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:52:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:53:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:54:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:55:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:56:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:57:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:58:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 02:59:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:00:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:01:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:02:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:03:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:04:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:05:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:06:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:07:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:08:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:09:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:10:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:11:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:12:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:13:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:14:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:15:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:16:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:17:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:18:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:19:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:20:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:21:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:22:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:23:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:24:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:25:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:26:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:27:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:28:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:29:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:30:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:31:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:32:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:33:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:34:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:35:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:36:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:37:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:38:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:39:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:40:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:41:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:42:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:43:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:44:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:45:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:46:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:47:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:48:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:49:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:50:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:51:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:52:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:53:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:54:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:55:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:56:59;30;7;0;1;4;0;3;2;2;1;0
