datetime;total_votes;Zabava;Lay_Lady_Lay;Есения;sio2;orlando;Etinilestradiol;KOCTOPE3;kotophalk;Hexadecachoron;zgushonka
2019-12-18 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-18 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-18 00:02:59;2;1;0;0;0;0;1;0;0;0;0
2019-12-18 00:03:59;4;1;0;0;0;0;2;0;0;0;0
2019-12-18 00:04:59;5;2;0;0;0;0;2;0;0;0;0
2019-12-18 00:05:58;5;2;0;0;0;0;2;0;0;0;0
2019-12-18 00:06:59;6;2;0;0;0;0;2;1;0;0;0
2019-12-18 00:07:58;7;3;0;0;0;0;2;1;0;0;0
2019-12-18 00:08:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:09:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:10:58;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:11:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:12:58;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:13:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:14:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:15:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:16:58;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:17:59;8;3;0;1;0;0;2;1;0;0;0
2019-12-18 00:18:59;9;3;0;1;0;0;2;1;1;0;0
2019-12-18 00:19:58;10;3;0;1;0;0;2;2;1;0;0
2019-12-18 00:20:59;10;3;0;1;0;0;2;2;1;0;0
2019-12-18 00:21:59;10;3;0;1;0;0;2;2;1;0;0
2019-12-18 00:22:58;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:23:59;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:24:59;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:25:58;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:26:59;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:27:59;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:28:59;11;3;0;2;0;0;2;2;1;0;0
2019-12-18 00:29:58;13;3;1;2;1;0;2;2;1;0;0
2019-12-18 00:30:59;13;3;1;2;1;0;2;2;1;0;0
2019-12-18 00:31:58;13;3;1;2;1;0;2;2;1;0;0
2019-12-18 00:32:59;13;3;1;2;1;0;2;2;1;0;0
2019-12-18 00:33:59;13;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:34:59;13;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:35:58;14;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:36:59;14;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:37:59;14;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:38:58;14;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:39:59;14;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:40:59;15;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:41:58;15;2;1;2;2;0;2;2;1;0;0
2019-12-18 00:42:59;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:43:59;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:44:58;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:45:59;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:47:00;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:47:58;16;3;1;2;2;0;2;2;1;0;0
2019-12-18 00:48:59;17;4;1;2;2;0;2;2;1;0;0
2019-12-18 00:49:59;17;4;1;2;2;0;2;2;1;0;0
2019-12-18 00:50:58;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:51:59;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:52:58;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:53:59;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:54:59;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:55:59;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:57:00;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:57:58;18;4;1;3;2;0;2;2;1;0;0
2019-12-18 00:58:59;19;4;1;3;2;0;2;2;0;0;0
2019-12-18 01:00:00;19;4;1;3;2;0;2;2;0;0;0
2019-12-18 01:00:58;20;4;1;4;2;0;2;2;0;0;0
2019-12-18 01:01:59;20;4;1;4;2;0;2;2;0;0;0
2019-12-18 01:02:58;20;4;1;4;2;0;2;2;0;0;0
2019-12-18 01:03:59;20;4;1;4;2;0;2;2;0;0;0
2019-12-18 01:04:59;21;4;2;4;2;0;2;2;1;0;0
2019-12-18 01:05:59;21;4;2;4;2;0;2;2;1;0;0
2019-12-18 01:06:58;21;4;2;4;2;0;2;2;1;0;0
2019-12-18 01:07:59;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:08:59;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:09:58;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:10:59;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:11:59;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:12:59;22;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:13:59;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:14:59;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:15:58;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:16:59;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:17:59;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:18:58;24;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:19:59;25;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:20:59;25;5;2;4;2;0;2;2;1;0;0
2019-12-18 01:21:58;25;5;2;4;2;0;2;2;1;0;0
