datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-25 00:02:00;0;0;0;0;0;0;0;0;0;0;0
2019-12-25 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2019-12-25 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2019-12-25 00:04:59;2;0;0;1;0;0;0;0;0;0;0
2019-12-25 00:05:58;7;0;0;3;0;1;0;1;0;0;1
2019-12-25 00:06:59;7;0;0;3;0;1;0;1;0;0;1
2019-12-25 00:07:59;8;0;1;3;0;1;0;1;0;0;1
2019-12-25 00:08:58;9;0;2;3;0;1;0;1;0;0;1
2019-12-25 00:09:59;10;0;3;3;0;1;0;1;0;0;1
2019-12-25 00:10:59;11;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:11:58;11;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:12:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:13:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:14:58;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:15:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:16:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:17:58;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:18:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:19:59;12;0;3;3;0;1;0;1;0;1;1
2019-12-25 00:20:58;13;0;3;3;0;1;0;1;1;1;1
2019-12-25 00:21:59;13;0;3;3;0;1;0;1;1;1;1
2019-12-25 00:22:59;13;0;3;3;0;1;0;1;1;1;1
2019-12-25 00:23:59;13;0;3;3;0;1;0;1;1;1;1
2019-12-25 00:24:58;13;0;3;3;0;1;0;1;1;1;1
2019-12-25 00:25:59;13;0;3;3;0;1;0;1;1;1;1
