datetime;total_votes;jakesnake;Bf109H;pavelomg;XASSA;Dirtylieutenant;diliago;kotophalk;kaiL;Lavarana;Goinsane
2020-01-01 00:01:00;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 00:02:59;2;0;0;1;0;0;0;0;0;0;0
2020-01-01 00:03:58;2;0;0;1;0;0;0;0;0;0;0
2020-01-01 00:04:59;2;0;0;1;0;0;0;0;0;0;0
2020-01-01 00:05:59;2;0;0;1;0;0;0;0;0;0;0
2020-01-01 00:06:58;2;0;0;1;0;0;0;0;0;0;0
2020-01-01 00:07:59;3;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:08:59;3;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:09:59;3;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:10:58;3;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:11:59;3;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:12:59;4;0;1;1;0;0;0;0;0;0;0
2020-01-01 00:13:58;4;0;2;1;0;0;0;0;0;0;0
2020-01-01 00:14:59;4;0;2;1;0;0;0;0;0;0;0
2020-01-01 00:15:59;5;0;2;1;0;0;0;0;0;0;0
2020-01-01 00:16:59;5;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:17:58;5;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:18:59;5;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:19:59;5;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:20:58;5;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:21:59;6;0;3;1;0;0;0;0;0;0;0
2020-01-01 00:22:58;7;0;3;1;0;0;1;0;0;0;0
2020-01-01 00:23:59;7;0;3;1;0;0;1;0;0;0;0
2020-01-01 00:24:59;7;0;3;1;0;0;1;0;0;0;0
2020-01-01 00:25:58;7;0;3;1;0;0;1;0;0;0;0
2020-01-01 00:26:59;7;0;3;1;0;0;1;0;0;0;0
2020-01-01 00:27:59;8;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:28:58;8;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:29:59;8;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:30:59;9;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:31:59;9;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:32:58;9;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:33:59;9;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:34:59;9;0;3;1;0;0;1;0;1;0;0
2020-01-01 00:35:58;10;0;4;1;0;0;1;0;1;0;0
2020-01-01 00:36:59;10;0;4;1;0;0;1;0;1;0;0
2020-01-01 00:37:59;12;0;5;1;0;0;1;0;1;0;0
2020-01-01 00:38:58;12;0;5;1;0;0;1;0;1;0;0
2020-01-01 00:39:59;12;0;5;1;0;0;1;0;1;0;0
2020-01-01 00:40:58;13;0;6;1;0;0;1;0;1;0;0
2020-01-01 00:41:59;13;0;6;1;0;0;1;0;1;0;0
2020-01-01 00:42:59;13;0;6;1;0;0;1;0;1;0;0
2020-01-01 00:43:58;13;0;6;1;0;0;1;0;1;0;0
2020-01-01 00:44:59;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:45:59;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:46:59;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:47:58;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:48:59;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:49:59;14;0;7;1;0;0;1;0;1;0;0
2020-01-01 00:50:58;15;0;7;1;0;0;2;0;1;0;0
2020-01-01 00:51:59;15;0;7;1;0;0;2;0;1;0;0
2020-01-01 00:52:59;15;0;7;1;0;0;2;0;1;0;0
2020-01-01 00:53:58;15;0;7;1;0;0;2;0;1;0;0
2020-01-01 00:54:59;15;0;7;1;0;0;2;0;1;0;0
2020-01-01 00:55:59;16;0;8;1;0;0;2;0;1;0;0
2020-01-01 00:56:58;16;0;8;1;0;0;2;0;1;0;0
2020-01-01 00:57:59;17;0;8;1;0;0;2;0;2;0;0
2020-01-01 00:58:59;17;0;8;1;0;0;2;0;2;0;0
2020-01-01 00:59:59;17;0;8;1;0;0;2;0;2;0;0
2020-01-01 01:00:58;17;0;8;1;0;0;2;0;2;0;0
