datetime;total_votes;Oleum;kross;Der_Sturmer;XASSA;UnbeabMoroz;Есения;NAFA;BlackIrony;xtend;Shilov
2020-01-08 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2020-01-08 00:01:59;2;0;1;0;0;0;0;0;0;1;0
2020-01-08 00:02:59;2;0;1;0;0;0;0;0;0;1;0
2020-01-08 00:04:00;4;1;2;0;0;0;0;0;0;1;0
2020-01-08 00:04:58;4;1;2;0;0;0;0;0;0;1;0
2020-01-08 00:05:59;6;1;3;0;0;1;0;0;0;1;0
2020-01-08 00:06:58;7;1;3;1;0;1;0;0;0;1;0
2020-01-08 00:07:59;7;1;3;1;0;1;0;0;0;1;0
2020-01-08 00:08:59;7;1;3;1;0;1;0;0;0;1;0
2020-01-08 00:09:58;7;1;3;1;0;1;0;0;0;1;0
2020-01-08 00:10:59;8;2;3;1;0;1;0;0;0;1;0
2020-01-08 00:11:59;8;2;3;1;0;1;0;0;0;1;0
2020-01-08 00:12:58;8;2;3;1;0;1;0;0;0;1;0
2020-01-08 00:13:59;9;2;4;1;0;1;0;0;0;1;0
2020-01-08 00:14:59;11;2;4;1;0;1;0;0;0;1;1
2020-01-08 00:15:58;12;2;4;1;0;1;0;0;0;1;1
2020-01-08 00:16:59;13;2;5;1;0;1;0;0;0;1;1
2020-01-08 00:17:59;13;2;5;1;0;1;0;0;0;1;1
2020-01-08 00:18:59;13;2;5;1;0;1;0;0;0;1;1
2020-01-08 00:19:58;14;2;6;1;0;1;0;0;0;1;1
2020-01-08 00:20:59;14;2;6;1;0;1;0;0;0;1;1
2020-01-08 00:21:59;14;2;6;1;0;1;0;0;0;1;1
2020-01-08 00:22:59;14;2;6;1;0;1;0;0;0;1;1
2020-01-08 00:23:58;15;2;7;1;0;1;0;0;0;1;1
2020-01-08 00:24:59;16;2;8;1;0;1;0;0;0;1;1
2020-01-08 00:25:59;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:26:58;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:27:59;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:28:59;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:29:58;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:30:59;17;3;8;1;0;1;0;0;0;1;1
2020-01-08 00:31:59;17;3;8;1;0;1;0;0;0;1;1
