datetime;total_votes;Qume;XASSA;KOCTOPE3;kaiL;Есения;wintercyclone;Dirtylieutenant;kross;gelatelno;Trurl
2020-01-22 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-01-22 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-01-22 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2020-01-22 00:03:58;2;1;0;1;0;0;0;0;0;0;0
2020-01-22 00:04:59;2;1;0;1;0;0;0;0;0;0;0
2020-01-22 00:05:58;3;1;0;1;0;0;0;0;1;0;0
2020-01-22 00:06:59;4;1;1;1;0;0;0;0;1;0;0
2020-01-22 00:07:59;4;1;1;1;0;0;0;0;1;0;0
2020-01-22 00:08:58;4;1;1;1;0;0;0;0;1;0;0
2020-01-22 00:09:59;4;1;1;1;0;0;0;0;1;0;0
2020-01-22 00:10:59;4;1;1;1;0;0;0;0;1;0;0
2020-01-22 00:11:58;5;1;1;1;1;0;0;0;1;0;0
2020-01-22 00:12:59;5;1;1;1;1;0;0;0;1;0;0
2020-01-22 00:13:59;5;1;1;1;1;0;0;0;1;0;0
2020-01-22 00:14:58;5;1;1;1;1;0;0;0;1;0;0
2020-01-22 00:15:59;7;2;1;1;1;1;0;0;1;0;0
2020-01-22 00:16:59;8;2;1;1;1;1;0;0;1;0;0
2020-01-22 00:17:59;8;2;1;1;1;1;0;0;1;0;0
2020-01-22 00:18:58;8;2;1;1;1;1;0;0;1;0;0
2020-01-22 00:19:59;10;2;1;1;1;1;0;2;1;0;0
2020-01-22 00:20:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:21:58;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:22:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:23:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:24:58;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:25:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:26:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:27:58;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:28:59;11;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:29:58;12;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:30:59;12;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:31:59;12;2;1;1;1;1;0;3;1;0;0
2020-01-22 00:32:58;14;2;2;1;1;1;0;3;2;0;0
2020-01-22 00:33:59;15;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:34:59;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:35:58;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:36:59;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:37:59;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:38:58;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:39:59;16;3;2;1;1;1;0;3;2;0;0
2020-01-22 00:40:59;17;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:41:59;17;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:42:59;17;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:43:58;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:44:59;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:45:59;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:46:58;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:47:59;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:48:59;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:49:59;18;3;2;1;1;2;0;3;2;0;0
2020-01-22 00:50:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:51:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:52:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:53:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:54:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:55:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:56:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:57:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:58:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 00:59:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:00:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:01:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:02:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:03:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:04:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:05:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:06:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:07:58;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:08:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:09:59;19;3;2;1;2;2;0;3;2;0;0
2020-01-22 01:10:58;19;3;2;1;2;2;0;3;2;0;0
