datetime;total_votes;mad_crow;akuaku;Terkin;cmapukocmankypum;tutabrain;gelatelno;Fitzmaurice;navalny;Mr_Const;Nosy
2020-01-29 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-01-29 00:01:59;6;3;1;0;0;0;0;0;0;0;0
2020-01-29 00:02:59;6;3;1;0;0;0;0;0;0;0;0
2020-01-29 00:03:59;8;4;2;0;0;0;0;0;0;0;0
2020-01-29 00:04:58;8;4;2;0;0;0;0;0;0;0;0
2020-01-29 00:05:59;9;5;2;0;0;0;0;0;0;0;0
2020-01-29 00:06:59;12;7;2;0;0;0;0;0;0;0;0
2020-01-29 00:08:00;13;8;2;0;0;0;0;0;0;0;0
2020-01-29 00:08:58;13;8;2;0;0;0;0;0;0;0;0
2020-01-29 00:09:59;13;8;2;0;0;0;0;0;0;0;0
2020-01-29 00:10:59;13;8;2;0;0;0;0;0;0;0;0
2020-01-29 00:11:58;15;9;2;0;0;0;0;0;0;0;0
2020-01-29 00:12:59;15;9;2;0;0;0;0;0;0;0;0
2020-01-29 00:13:59;15;10;2;0;0;1;0;0;0;0;0
2020-01-29 00:14:59;15;10;2;0;0;1;0;0;0;0;0
2020-01-29 00:15:58;15;10;2;0;0;1;0;0;0;0;0
2020-01-29 00:16:59;17;10;2;1;0;1;0;0;0;0;0
2020-01-29 00:17:59;18;10;2;1;0;1;0;0;0;1;0
2020-01-29 00:18:59;19;10;2;1;0;1;0;0;0;1;0
2020-01-29 00:19:58;19;10;2;1;0;1;0;0;0;1;0
2020-01-29 00:20:59;20;9;3;2;0;1;0;0;0;1;0
2020-01-29 00:21:59;20;9;3;2;0;1;0;0;0;1;0
2020-01-29 00:22:58;20;9;3;2;0;1;0;0;0;1;0
2020-01-29 00:23:59;20;9;3;2;0;1;0;0;0;1;0
2020-01-29 00:24:59;20;9;3;2;0;1;0;0;0;1;0
2020-01-29 00:25:58;22;10;3;3;0;1;0;0;0;1;0
2020-01-29 00:26:59;22;10;3;3;0;1;0;0;0;1;0
2020-01-29 00:27:59;22;10;3;3;0;1;0;0;0;1;0
2020-01-29 00:28:58;24;10;4;3;1;1;0;0;0;1;0
2020-01-29 00:29:59;27;12;4;3;1;0;1;0;0;1;0
2020-01-29 00:30:59;28;12;4;3;1;1;2;0;0;1;0
2020-01-29 00:31:58;29;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:32:59;29;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:33:59;29;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:34:59;29;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:35:58;29;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:36:59;30;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:37:59;30;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:38:58;30;12;4;4;1;1;2;0;0;1;0
2020-01-29 00:39:59;31;12;4;4;1;0;2;0;0;1;0
2020-01-29 00:40:59;32;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:41:58;32;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:42:59;32;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:43:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:44:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:45:58;32;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:46:59;32;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:47:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:48:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:49:58;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:50:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:51:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:52:58;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:53:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:55:00;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:55:58;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:56:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:57:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:58:58;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 00:59:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 01:00:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 01:01:58;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 01:02:59;33;13;4;4;1;0;2;0;0;1;0
2020-01-29 01:03:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:04:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:05:58;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:06:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:07:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:08:58;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:09:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:10:59;34;13;5;4;1;0;2;0;0;1;0
2020-01-29 01:11:59;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:12:58;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:13:59;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:14:59;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:15:58;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:16:59;33;13;5;4;1;1;2;0;0;1;0
2020-01-29 01:17:59;35;15;5;4;1;1;2;0;0;1;0
2020-01-29 01:18:58;35;15;5;4;1;1;2;0;0;1;0
2020-01-29 01:19:59;35;15;5;4;1;1;2;0;0;1;0
2020-01-29 01:20:58;35;15;5;4;1;1;2;0;0;1;0
2020-01-29 01:21:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:22:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:23:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:24:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:25:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:26:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:27:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:28:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:29:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:30:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:31:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:32:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:33:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:34:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:35:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:36:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:37:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:38:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:39:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:40:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:41:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:42:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:43:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:44:58;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:45:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:46:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:47:59;36;15;5;4;0;1;2;0;0;1;0
2020-01-29 01:48:58;35;15;5;3;0;1;2;0;0;1;0
2020-01-29 01:49:59;35;15;5;3;0;1;2;0;0;1;0
2020-01-29 01:50:59;35;15;5;3;0;1;2;0;0;1;0
2020-01-29 01:51:58;35;15;5;3;0;1;2;0;0;1;0
2020-01-29 01:52:59;36;16;5;3;0;1;2;0;0;1;0
2020-01-29 01:53:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 01:54:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 01:55:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 01:56:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 01:57:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 01:58:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:00:00;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:00:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:01:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:02:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:03:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:04:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:05:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:06:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:07:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:08:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:09:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:10:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:11:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:13:00;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:13:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:14:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:15:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:16:58;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:17:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:18:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:19:59;37;16;6;3;0;1;2;0;0;1;0
2020-01-29 02:20:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:21:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:22:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:23:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:24:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:25:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:26:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:27:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:28:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:29:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:30:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:31:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:32:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:33:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:34:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:35:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:36:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:37:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:38:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:39:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:40:58;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:41:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:42:59;38;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:43:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:44:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:45:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:46:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:47:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:48:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:49:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:50:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:51:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:52:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:53:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:54:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:56:00;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:56:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:57:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:58:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 02:59:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:00:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:01:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:02:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:03:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:04:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:05:58;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:06:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:07:59;39;16;6;3;2;0;2;0;0;0;0
2020-01-29 03:08:58;40;17;6;3;2;0;2;0;0;0;0
2020-01-29 03:09:59;40;17;6;3;2;0;2;0;0;0;0
2020-01-29 03:10:59;40;17;6;3;2;0;2;0;0;0;0
2020-01-29 03:12:00;40;17;6;3;2;0;2;0;0;0;0
2020-01-29 03:12:58;40;17;6;3;2;0;2;0;0;0;0
2020-01-29 03:13:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:14:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:15:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:16:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:17:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:18:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:19:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:20:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:21:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:22:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:23:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:24:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:25:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:26:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:27:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:28:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:29:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:30:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:31:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:32:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:33:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:34:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:35:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:36:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:37:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:38:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:39:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:40:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:41:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:42:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:43:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:44:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:45:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:46:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:47:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:48:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:49:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:50:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:51:58;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:52:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:53:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:54:59;41;18;6;3;2;0;2;0;0;0;0
2020-01-29 03:55:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 03:56:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 03:57:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 03:58:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 03:59:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:00:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:01:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:02:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:03:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:04:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:05:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:06:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:07:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:08:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:09:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:10:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:11:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:12:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:13:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:14:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:15:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:16:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:17:59;42;19;6;3;2;0;2;0;0;0;0
