datetime;total_votes;heavy_vombat;mad_crow;a5urbanipa1;akuaku;Dirtylieutenant;KOCTOPE3;Есения;Pechorin;Schopenhauer;Terkin
2020-02-05 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-02-05 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-02-05 00:02:59;2;0;0;0;0;0;0;0;0;0;0
2020-02-05 00:03:59;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:04:58;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:05:59;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:06:59;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:07:58;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:08:59;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:09:59;5;0;0;0;0;2;0;0;0;0;0
2020-02-05 00:10:59;6;1;0;0;0;2;0;0;0;0;0
2020-02-05 00:11:58;8;2;1;0;0;2;0;0;0;0;0
2020-02-05 00:12:59;9;3;1;0;0;2;0;0;0;0;0
2020-02-05 00:13:59;9;3;1;0;0;2;0;0;0;0;0
2020-02-05 00:14:58;9;3;1;0;0;2;0;0;0;0;0
2020-02-05 00:15:59;11;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:16:59;12;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:17:59;12;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:18:58;12;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:19:59;12;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:20:59;13;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:21:58;13;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:22:59;13;4;1;0;0;3;0;0;0;0;0
2020-02-05 00:23:59;13;3;2;0;0;3;0;0;0;0;0
2020-02-05 00:25:00;13;3;2;0;0;3;0;0;0;0;0
2020-02-05 00:25:58;14;4;2;0;0;3;0;0;0;0;0
