datetime;total_votes;PhaoBao;Есения;bigmouse;Umgewandelt;Trudofobermeins;brammator;Patagonia;kotophalk;bf6;Salt
2020-02-12 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:01:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:02:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:03:58;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:04:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:05:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-12 00:06:58;2;0;2;0;0;0;0;0;0;0;0
2020-02-12 00:07:59;2;0;2;0;0;0;0;0;0;0;0
2020-02-12 00:08:59;2;0;2;0;0;0;0;0;0;0;0
2020-02-12 00:09:58;2;0;2;0;0;0;0;0;0;0;0
2020-02-12 00:10:59;2;0;2;0;0;0;0;0;0;0;0
2020-02-12 00:11:59;3;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:12:59;3;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:13:58;4;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:14:59;4;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:15:59;4;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:16:58;4;1;2;0;0;0;0;0;0;0;0
2020-02-12 00:17:59;6;2;2;1;0;0;0;0;0;0;0
2020-02-12 00:18:59;9;2;2;2;0;0;1;0;0;0;0
2020-02-12 00:20:00;9;2;2;2;0;0;1;0;0;0;0
2020-02-12 00:20:58;9;2;2;2;0;0;1;0;0;0;0
2020-02-12 00:21:59;9;2;2;2;0;0;1;0;0;0;0
2020-02-12 00:22:59;9;2;2;2;0;0;1;0;0;0;0
2020-02-12 00:23:59;10;3;2;2;0;0;1;0;0;0;0
2020-02-12 00:24:58;10;3;2;2;0;0;1;0;0;0;0
2020-02-12 00:25:59;10;2;2;2;1;0;1;0;0;0;0
2020-02-12 00:26:58;10;2;2;2;1;0;1;0;0;0;0
2020-02-12 00:27:59;11;2;2;2;1;0;1;0;0;0;0
2020-02-12 00:28:59;11;2;2;2;1;0;1;0;0;0;0
2020-02-12 00:29:59;11;2;2;2;1;0;1;0;0;0;0
2020-02-12 00:30:58;12;2;3;2;1;0;1;0;0;0;0
2020-02-12 00:31:59;13;2;3;2;1;0;1;0;0;0;0
2020-02-12 00:32:59;13;2;3;2;1;0;1;0;0;0;0
2020-02-12 00:33:59;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:34:58;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:35:59;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:36:59;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:37:58;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:38:59;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:39:59;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:40:58;13;2;3;2;1;0;2;0;0;0;0
2020-02-12 00:41:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:42:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:43:58;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:44:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:45:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:46:58;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:47:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:48:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:49:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:50:58;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:51:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:52:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:53:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:54:58;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:55:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:57:00;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:57:58;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:58:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 00:59:59;14;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:00:58;15;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:01:59;15;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:02:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:03:58;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:04:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:05:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:06:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:07:58;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:08:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:09:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:10:58;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:11:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:12:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:13:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:14:58;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:15:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:16:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:17:59;16;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:18:58;17;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:19:59;17;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:20:59;17;2;3;2;1;0;2;0;1;0;0
2020-02-12 01:21:58;18;2;3;2;2;0;2;0;0;0;0
2020-02-12 01:22:59;18;2;3;2;2;0;2;0;0;0;0
2020-02-12 01:23:59;18;2;3;2;2;0;2;0;0;0;0
2020-02-12 01:24:59;18;2;3;2;2;0;2;0;0;0;0
2020-02-12 01:25:58;18;2;3;2;2;0;2;0;0;0;0
2020-02-12 01:26:59;19;2;4;2;2;0;2;0;0;0;0
2020-02-12 01:27:59;19;2;4;2;2;0;2;0;0;0;0
2020-02-12 01:28:58;19;2;4;2;2;0;2;0;0;0;0
2020-02-12 01:29:59;19;2;4;2;2;0;2;0;0;0;0
2020-02-12 01:30:59;20;2;5;2;2;0;2;0;0;0;0
2020-02-12 01:31:58;20;2;5;2;2;0;2;0;0;0;0
2020-02-12 01:32:59;21;2;5;2;2;0;3;0;0;0;0
2020-02-12 01:33:59;21;2;5;2;2;0;3;0;0;0;0
2020-02-12 01:35:00;22;2;5;3;2;0;3;0;1;0;0
2020-02-12 01:35:58;22;2;5;3;2;0;3;0;1;0;0
2020-02-12 01:36:59;22;2;5;3;2;0;3;0;1;0;0
2020-02-12 01:37:59;22;2;5;3;2;0;3;0;1;0;0
2020-02-12 01:38:58;22;2;5;3;2;0;3;0;1;0;0
2020-02-12 01:39:59;22;2;6;3;0;0;3;0;1;0;0
2020-02-12 01:40:59;22;2;6;3;0;0;3;0;1;0;0
2020-02-12 01:41:58;22;2;6;3;0;0;3;0;1;0;0
