datetime;total_votes;Helengar;atomic_gun;Есения;jovan;Hexadecachoron;kotophalk;KOCTOPE3;Zibx;otlup;Klubnichnoe_Milo
2020-02-19 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2020-02-19 00:01:59;2;0;2;0;0;0;0;0;0;0;0
2020-02-19 00:02:58;2;0;2;0;0;0;0;0;0;0;0
2020-02-19 00:03:59;2;0;2;0;0;0;0;0;0;0;0
2020-02-19 00:04:59;5;0;3;0;1;0;0;0;0;0;0
2020-02-19 00:05:58;6;1;3;0;1;0;0;0;0;0;0
2020-02-19 00:06:59;6;1;3;0;1;0;0;0;0;0;0
2020-02-19 00:07:58;7;1;4;0;1;0;0;0;0;0;0
2020-02-19 00:08:59;7;1;4;0;1;0;0;0;0;0;0
2020-02-19 00:09:59;7;1;4;0;1;0;0;0;0;0;0
2020-02-19 00:10:59;8;1;5;0;1;0;0;0;0;0;0
2020-02-19 00:11:58;8;1;5;0;1;0;0;0;0;0;0
2020-02-19 00:12:59;9;1;5;0;1;1;0;0;0;0;0
2020-02-19 00:13:59;9;1;5;0;1;1;0;0;0;0;0
2020-02-19 00:14:59;10;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:15:58;10;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:16:59;11;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:17:59;11;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:18:59;11;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:19:58;11;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:20:59;11;1;5;0;2;1;0;0;0;0;0
2020-02-19 00:21:59;12;1;5;1;2;1;0;0;0;0;0
2020-02-19 00:22:58;12;1;5;1;2;1;0;0;0;0;0
2020-02-19 00:23:59;12;1;5;1;2;1;0;0;0;0;0
2020-02-19 00:24:59;13;1;6;1;2;1;0;0;0;0;0
2020-02-19 00:25:59;14;1;6;1;2;2;0;0;0;0;0
2020-02-19 00:26:58;15;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:27:59;15;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:28:59;15;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:29:58;15;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:30:59;15;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:31:59;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:32:58;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:33:59;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:34:59;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:35:58;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:36:59;16;1;6;1;2;3;0;0;0;0;0
2020-02-19 00:37:59;17;1;7;1;2;3;0;0;0;0;0
2020-02-19 00:38:58;18;1;7;1;2;3;0;1;0;0;0
2020-02-19 00:39:59;19;1;8;1;2;3;0;1;0;0;0
2020-02-19 00:40:59;19;1;8;1;2;3;0;1;0;0;0
2020-02-19 00:41:58;19;1;8;1;2;3;0;1;0;0;0
