datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 00:00:59;2;2;0;0;0;0;0;0;0;0;0
2020-02-26 00:01:59;4;3;0;0;0;0;0;0;0;1;0
2020-02-26 00:02:59;4;3;0;0;0;0;0;0;0;1;0
2020-02-26 00:03:59;5;4;0;0;0;0;0;0;0;1;0
2020-02-26 00:04:58;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:05:59;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:06:59;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:07:58;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:08:59;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:09:59;7;6;0;0;0;0;0;0;0;1;0
2020-02-26 00:10:59;9;7;0;0;0;0;0;0;0;1;0
2020-02-26 00:11:58;9;7;0;0;0;0;0;0;0;1;0
2020-02-26 00:12:59;9;7;0;0;0;0;0;0;0;1;0
2020-02-26 00:13:59;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:14:59;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:15:58;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:16:59;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:18:00;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:18:58;10;7;1;0;0;0;0;0;0;1;0
2020-02-26 00:19:59;11;7;1;1;0;0;0;0;0;1;0
2020-02-26 00:20:58;11;7;1;1;0;0;0;0;0;1;0
2020-02-26 00:21:59;11;7;1;1;0;0;0;0;0;1;0
2020-02-26 00:22:59;12;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:23:58;12;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:24:59;13;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:25:59;13;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:26:58;13;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:27:59;13;7;1;2;0;0;0;0;0;1;0
2020-02-26 00:28:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:29:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:30:58;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:31:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:32:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:33:58;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:34:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:35:59;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:37:00;14;7;1;2;0;0;0;1;0;1;0
2020-02-26 00:37:58;15;7;1;3;0;0;0;1;0;1;0
2020-02-26 00:38:59;15;7;1;3;0;0;0;1;0;1;0
2020-02-26 00:39:59;15;7;1;3;0;0;0;1;0;1;0
2020-02-26 00:40:58;16;7;1;4;0;0;0;1;0;1;0
2020-02-26 00:41:59;17;8;1;4;0;0;0;1;0;1;0
2020-02-26 00:42:59;17;8;1;4;0;0;0;1;0;1;0
2020-02-26 00:43:58;17;8;1;4;0;0;0;1;0;1;0
2020-02-26 00:44:59;18;8;1;4;0;1;0;1;0;1;0
2020-02-26 00:45:59;18;8;1;4;0;1;0;1;0;1;0
2020-02-26 00:46:58;18;8;1;4;0;1;0;1;0;1;0
2020-02-26 00:47:59;18;8;1;4;0;1;0;1;0;1;0
2020-02-26 00:48:59;20;10;1;4;0;1;0;1;0;1;0
