datetime;total_votes;bullet-wilson;nenastja;brammator;jovan;ante;space_meow;Hexadecachoron;zgushonka;minddiffuzion;Fitzmaurice
2020-03-04 00:00:59;0;0;0;1;0;0;0;0;0;0;0
2020-03-04 00:01:59;2;1;0;1;0;0;0;0;0;0;0
2020-03-04 00:02:59;2;1;0;1;0;0;0;0;0;0;0
2020-03-04 00:03:59;2;1;0;1;0;0;0;0;0;0;0
2020-03-04 00:04:58;2;1;0;1;0;0;0;0;0;0;0
2020-03-04 00:05:59;2;1;0;1;0;0;0;0;0;0;0
2020-03-04 00:06:59;3;1;0;1;0;0;0;0;1;0;0
2020-03-04 00:07:59;3;1;0;1;0;0;0;0;1;0;0
2020-03-04 00:08:58;4;1;0;1;0;0;0;0;1;0;0
2020-03-04 00:09:59;4;1;0;1;0;0;0;0;1;0;0
2020-03-04 00:10:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:11:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:12:58;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:13:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:14:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:15:58;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:16:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:17:59;5;1;0;1;0;0;0;0;1;0;1
2020-03-04 00:18:58;6;2;0;1;0;0;0;0;1;0;1
2020-03-04 00:19:59;7;3;0;1;0;0;0;0;1;0;1
2020-03-04 00:20:59;7;3;0;1;0;0;0;0;1;0;1
2020-03-04 00:22:00;8;3;0;2;0;0;0;0;1;0;1
2020-03-04 00:22:58;8;3;0;2;0;0;0;0;1;0;1
2020-03-04 00:23:59;9;3;0;2;0;0;0;0;1;1;1
2020-03-04 00:24:59;9;3;0;2;0;0;0;0;1;1;1
2020-03-04 00:25:58;11;4;1;2;0;0;0;0;1;1;1
2020-03-04 00:26:59;11;4;1;2;0;0;0;0;1;1;1
2020-03-04 00:27:59;11;4;1;2;0;0;0;0;1;1;1
