datetime;total_votes;mvgolubev;Bf109H;Qumnica;acckiy;megaslowpoke;UndeadMoroz;Terkin;BbIBuX;Fitzmaurice;KOCTOPE3
2020-03-11 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-03-11 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-03-11 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2020-03-11 00:03:59;2;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:04:59;3;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:05:58;3;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:06:59;3;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:07:59;3;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:08:59;3;0;1;0;0;0;0;0;0;0;0
2020-03-11 00:09:58;4;0;1;0;0;0;1;0;0;0;0
2020-03-11 00:10:59;5;0;1;1;0;0;1;0;0;0;0
2020-03-11 00:11:59;5;0;1;1;0;0;1;0;0;0;0
2020-03-11 00:12:58;5;0;1;1;0;0;1;0;0;0;0
2020-03-11 00:13:59;7;0;1;2;0;0;1;0;0;1;0
2020-03-11 00:14:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:15:58;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:16:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:17:58;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:18:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:19:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:20:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:21:58;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:22:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:23:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:24:59;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:25:58;8;0;2;2;0;0;1;0;0;1;0
2020-03-11 00:26:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:27:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:28:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:29:58;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:30:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:31:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:32:58;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:33:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:34:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:35:58;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:36:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:37:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:38:58;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:39:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:40:59;9;1;2;2;0;0;1;0;0;1;0
2020-03-11 00:42:00;10;2;2;2;0;0;1;0;0;1;0
2020-03-11 00:42:58;10;2;2;2;0;0;1;0;0;1;0
2020-03-11 00:43:59;10;2;2;2;0;0;1;0;0;1;0
2020-03-11 00:44:59;10;2;2;2;0;0;1;0;0;1;0
2020-03-11 00:45:58;11;2;2;3;0;0;1;0;0;1;0
2020-03-11 00:46:59;11;2;2;3;0;0;1;0;0;1;0
2020-03-11 00:47:59;11;2;2;3;0;0;1;0;0;1;0
2020-03-11 00:48:58;11;2;2;3;0;0;1;0;0;1;0
2020-03-11 00:49:59;13;2;2;3;0;0;1;0;0;1;0
2020-03-11 00:50:59;15;4;2;3;0;0;1;0;0;1;0
2020-03-11 00:51:58;15;3;3;3;0;0;1;0;0;1;0
2020-03-11 00:52:59;15;3;3;3;0;0;1;0;0;1;0
2020-03-11 00:53:59;17;3;4;3;0;0;1;0;0;1;0
2020-03-11 00:54:59;17;3;4;3;0;0;1;0;0;1;0
2020-03-11 00:55:58;18;4;4;3;0;0;1;0;0;1;0
2020-03-11 00:56:59;18;4;4;3;0;0;1;0;0;1;0
2020-03-11 00:57:59;18;4;4;3;0;0;1;0;0;1;0
2020-03-11 00:58:59;18;4;4;3;0;0;1;0;0;1;0
2020-03-11 00:59:58;18;4;4;3;0;0;1;0;0;1;0
2020-03-11 01:00:59;19;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:01:59;19;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:02:58;20;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:03:59;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:04:59;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:05:58;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:06:59;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:07:59;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:08:59;21;4;4;3;0;0;1;1;0;1;0
2020-03-11 01:09:58;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:10:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:11:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:12:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:13:58;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:14:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:15:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:16:58;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:17:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:18:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:19:58;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:20:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:21:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:22:58;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:23:59;22;4;5;3;0;0;1;1;0;1;0
2020-03-11 01:24:59;23;4;5;3;0;0;1;1;0;1;1
2020-03-11 01:25:59;23;4;5;3;0;0;1;1;0;1;1
2020-03-11 01:26:58;23;4;5;3;0;0;1;1;0;1;1
2020-03-11 01:27:59;24;4;5;3;0;0;1;1;0;0;1
2020-03-11 01:28:59;24;4;5;3;0;0;1;1;0;0;1
2020-03-11 01:29:59;24;4;5;3;0;0;1;1;0;0;1
2020-03-11 01:30:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:31:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:32:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:33:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:34:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:35:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:36:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:37:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:38:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:39:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:41:00;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:41:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:42:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:43:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:44:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:45:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:46:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:47:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:48:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:49:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:50:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:51:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:52:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:53:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:54:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:55:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:56:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:57:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:58:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 01:59:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:00:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:01:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:02:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:03:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:04:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:05:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:06:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:07:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:08:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:09:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:10:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:11:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:12:59;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:13:58;25;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:14:59;26;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:15:59;26;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:16:58;26;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:17:59;26;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:18:59;26;4;5;4;0;0;1;1;0;0;1
2020-03-11 02:19:58;26;5;5;3;0;0;1;1;0;0;1
2020-03-11 02:20:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:21:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:22:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:23:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:24:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:25:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:26:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:27:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:28:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:29:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:30:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:31:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:32:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:33:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:34:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:35:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:36:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:37:58;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:38:59;27;6;5;3;0;0;1;1;0;0;1
2020-03-11 02:39:59;27;6;5;3;0;0;1;1;0;0;1
