datetime;total_votes;ruweb;atomic_gun;ksiam;axxl;PVN;few;Bruja_;Barkas;kross;KOCTOPE3
2020-03-25 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-03-25 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-03-25 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2020-03-25 00:03:58;0;0;0;0;0;0;0;0;0;0;0
2020-03-25 00:04:59;2;0;0;0;0;0;0;0;0;0;0
2020-03-25 00:05:59;3;0;0;0;0;0;0;0;0;1;0
2020-03-25 00:06:58;4;0;1;0;0;0;0;0;0;1;0
2020-03-25 00:07:59;6;1;1;1;0;0;0;0;0;1;0
2020-03-25 00:08:59;6;1;1;1;0;0;0;0;0;1;0
2020-03-25 00:09:59;7;1;1;1;0;0;0;0;0;1;0
2020-03-25 00:10:58;8;1;1;1;0;1;0;0;0;1;0
2020-03-25 00:11:59;11;2;1;1;0;1;0;0;0;3;0
2020-03-25 00:12:59;12;3;1;1;0;1;0;0;0;3;0
2020-03-25 00:13:58;12;3;1;1;0;2;0;0;0;2;0
2020-03-25 00:14:59;12;3;1;1;0;2;0;0;0;2;0
2020-03-25 00:15:59;12;3;1;1;0;2;0;0;0;2;0
2020-03-25 00:16:59;12;3;1;1;0;2;0;0;0;2;0
2020-03-25 00:17:58;12;3;1;1;0;2;0;0;0;2;0
2020-03-25 00:18:59;13;3;1;2;0;2;0;0;0;2;0
2020-03-25 00:19:59;13;3;1;2;0;2;0;0;0;2;0
2020-03-25 00:20:58;15;4;1;2;0;2;0;0;0;2;0
2020-03-25 00:21:59;16;4;1;3;0;2;0;0;0;2;0
2020-03-25 00:22:59;18;4;2;3;0;3;0;0;0;2;0
2020-03-25 00:23:59;18;4;2;3;0;3;0;0;0;2;0
2020-03-25 00:24:58;19;4;2;3;0;3;0;0;0;2;0
2020-03-25 00:25:59;20;4;3;3;0;3;0;0;0;2;0
2020-03-25 00:26:59;20;4;3;3;0;3;0;0;0;2;0
2020-03-25 00:27:58;20;4;3;3;0;3;0;0;0;2;0
2020-03-25 00:28:59;20;4;3;3;0;3;0;0;0;2;0
2020-03-25 00:29:59;21;4;4;3;0;3;0;0;0;2;0
2020-03-25 00:30:59;21;4;4;3;0;3;0;0;0;2;0
2020-03-25 00:31:58;22;4;5;3;0;3;0;0;0;2;0
2020-03-25 00:32:59;23;5;5;3;0;3;0;0;0;2;0
2020-03-25 00:33:59;23;5;5;3;0;3;0;0;0;2;0
2020-03-25 00:35:00;23;5;5;3;0;3;0;0;0;2;0
2020-03-25 00:35:58;23;5;5;3;0;3;0;0;0;2;0
2020-03-25 00:36:59;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:37:59;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:38:58;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:39:59;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:40:59;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:41:59;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:42:58;24;5;6;3;0;3;0;0;0;2;0
2020-03-25 00:43:59;26;6;6;3;0;3;0;0;0;2;0
2020-03-25 00:44:59;26;6;6;3;0;3;0;0;0;2;0
2020-03-25 00:45:58;26;6;6;3;0;3;0;0;0;2;0
2020-03-25 00:46:59;27;6;6;3;0;4;0;0;0;2;0
2020-03-25 00:47:59;28;7;6;3;0;4;0;0;0;2;0
2020-03-25 00:48:59;29;8;6;3;0;4;0;0;0;2;0
