datetime;total_votes;ruweb;shamanka;aeroplanchik;quick_justice;Hexadecachoron;navalny;Terkin;BlackIrony;Ucsus;Archie_RU
2020-04-01 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-04-01 00:01:58;3;0;0;0;0;1;0;0;0;1;0
2020-04-01 00:02:59;3;0;0;0;0;1;0;0;0;1;0
2020-04-01 00:03:58;5;0;0;0;1;1;0;0;0;1;0
2020-04-01 00:04:59;6;0;0;0;1;1;0;1;0;1;0
2020-04-01 00:05:59;7;0;0;0;1;1;0;1;0;1;0
2020-04-01 00:06:59;9;0;1;0;1;1;0;1;0;1;0
2020-04-01 00:07:58;9;0;1;0;1;1;0;1;0;1;0
2020-04-01 00:08:59;12;0;1;1;2;2;0;1;0;1;0
2020-04-01 00:09:59;13;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:10:59;13;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:11:58;14;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:12:59;14;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:13:59;14;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:15:00;14;0;2;1;2;2;0;1;0;1;0
2020-04-01 00:15:58;15;0;2;1;2;2;0;1;0;2;0
2020-04-01 00:16:59;15;0;2;1;2;2;0;1;0;2;0
2020-04-01 00:17:59;16;1;2;1;2;2;0;1;0;2;0
2020-04-01 00:18:58;16;1;2;1;2;2;0;1;0;2;0
2020-04-01 00:19:59;18;3;2;1;2;2;0;1;0;2;0
2020-04-01 00:20:59;19;3;2;1;2;3;0;1;0;2;0
2020-04-01 00:21:58;21;5;2;1;2;3;0;1;0;2;0
2020-04-01 00:22:59;23;7;2;1;2;3;0;1;0;2;0
2020-04-01 00:23:59;23;7;2;1;2;3;0;1;0;2;0
2020-04-01 00:24:58;23;7;2;1;2;3;0;1;0;2;0
2020-04-01 00:25:59;24;7;2;1;3;3;0;1;0;2;0
2020-04-01 00:26:59;26;9;2;1;3;3;0;1;0;2;0
2020-04-01 00:27:59;26;9;2;1;3;3;0;1;0;2;0
2020-04-01 00:28:59;27;9;2;1;3;4;0;1;0;2;0
2020-04-01 00:29:58;27;9;2;1;3;4;0;1;0;2;0
2020-04-01 00:30:59;27;9;2;1;3;4;0;1;0;2;0
2020-04-01 00:31:59;29;10;3;1;3;4;0;1;0;2;0
2020-04-01 00:32:58;30;10;3;1;3;5;0;1;0;2;0
2020-04-01 00:33:59;30;10;3;1;3;5;0;1;0;2;0
2020-04-01 00:34:59;30;10;3;1;3;5;0;1;0;2;0
2020-04-01 00:35:58;30;10;3;1;3;5;0;1;0;2;0
2020-04-01 00:36:59;30;10;3;1;3;5;0;1;0;2;0
2020-04-01 00:37:59;30;10;3;1;3;5;0;1;0;2;0
