datetime;total_votes;Lazarus;tutabrain;cmapukocmankypum;shamanka;navalny;KT;Hexadecachoron;KOCTOPE3;jovan;Lucifus
2020-04-15 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-04-15 00:01:58;3;0;0;0;0;0;0;0;0;0;1
2020-04-15 00:02:59;3;0;0;0;0;0;0;0;0;0;1
2020-04-15 00:03:58;5;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:04:59;5;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:05:59;5;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:06:58;6;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:07:59;6;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:08:59;7;0;1;0;0;0;0;0;0;0;1
2020-04-15 00:09:58;8;0;1;1;0;0;0;0;0;0;1
2020-04-15 00:10:59;10;1;1;1;0;1;0;0;0;0;1
2020-04-15 00:11:59;10;1;1;1;0;1;0;0;0;0;1
2020-04-15 00:12:58;12;2;1;1;0;1;0;1;0;0;1
2020-04-15 00:13:59;12;2;1;1;0;1;0;1;0;0;1
2020-04-15 00:14:59;12;2;1;1;0;1;0;1;0;0;1
2020-04-15 00:15:59;12;2;1;1;0;1;0;1;0;0;1
2020-04-15 00:16:58;13;2;0;1;0;1;0;1;0;0;2
2020-04-15 00:17:59;14;3;0;1;0;1;0;1;0;0;2
2020-04-15 00:18:59;16;3;0;1;0;1;0;2;0;0;2
2020-04-15 00:19:58;16;3;0;1;0;1;0;2;0;0;2
2020-04-15 00:20:59;17;4;0;1;0;1;0;2;0;0;2
2020-04-15 00:21:59;17;4;1;2;0;1;0;2;0;0;2
2020-04-15 00:22:58;17;4;1;2;0;1;0;2;0;0;2
2020-04-15 00:23:59;17;4;1;2;0;1;0;2;0;0;2
2020-04-15 00:24:59;17;4;1;2;0;1;0;2;0;0;2
2020-04-15 00:25:58;17;4;1;2;0;1;0;2;0;0;2
2020-04-15 00:26:59;18;4;2;2;0;0;0;2;0;0;2
2020-04-15 00:27:59;19;4;3;2;0;0;0;2;0;0;2
2020-04-15 00:28:58;22;5;5;2;0;0;0;2;0;0;2
2020-04-15 00:29:59;22;5;5;2;0;0;0;2;0;0;2
2020-04-15 00:30:59;22;5;5;2;0;0;0;2;0;0;2
2020-04-15 00:31:58;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:32:59;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:33:59;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:35:00;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:35:58;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:36:59;23;5;5;2;0;0;0;2;0;0;3
2020-04-15 00:37:59;24;5;6;2;0;0;0;2;0;0;3
2020-04-15 00:38:58;25;6;6;2;0;0;0;2;0;0;3
2020-04-15 00:39:59;26;6;6;3;0;0;0;2;0;0;3
2020-04-15 00:40:59;26;6;6;3;0;0;0;2;0;0;3
2020-04-15 00:41:58;27;6;6;4;0;0;0;2;0;0;3
2020-04-15 00:42:59;27;6;6;4;0;0;0;2;0;0;3
2020-04-15 00:43:58;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:44:59;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:45:58;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:46:59;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:47:59;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:48:59;28;6;7;4;0;0;0;2;0;0;3
2020-04-15 00:49:58;29;6;7;4;0;1;0;2;0;0;3
2020-04-15 00:50:59;29;6;7;4;0;1;0;2;0;0;3
2020-04-15 00:51:59;30;6;7;4;0;1;0;3;0;0;3
2020-04-15 00:52:58;32;6;7;5;0;1;0;4;0;0;3
2020-04-15 00:53:59;32;6;7;5;0;1;0;4;0;0;3
2020-04-15 00:54:59;33;6;7;5;0;1;0;4;0;0;3
2020-04-15 00:55:58;34;6;7;5;1;1;0;4;0;0;3
2020-04-15 00:56:59;35;6;8;5;1;1;0;4;0;0;3
2020-04-15 00:57:59;35;6;8;5;1;1;0;4;0;0;3
2020-04-15 00:58:58;35;6;8;5;1;1;0;4;0;0;3
2020-04-15 00:59:59;35;6;8;5;1;1;0;4;0;0;3
2020-04-15 01:00:59;36;6;8;5;2;1;0;4;0;0;3
2020-04-15 01:01:58;37;6;8;6;2;1;0;4;0;0;3
2020-04-15 01:02:59;37;6;8;6;2;1;0;4;0;0;3
2020-04-15 01:03:59;37;6;8;6;2;1;0;4;0;0;3
2020-04-15 01:04:58;37;6;8;6;2;1;0;4;0;0;3
2020-04-15 01:05:59;37;6;8;6;2;1;0;4;0;0;3
2020-04-15 01:06:59;38;6;8;7;2;1;0;4;0;0;3
2020-04-15 01:07:58;38;6;8;7;2;1;0;4;0;0;3
2020-04-15 01:08:59;38;6;8;7;2;1;0;4;0;0;3
2020-04-15 01:09:59;38;6;8;7;2;1;0;4;0;0;3
2020-04-15 01:10:58;39;6;8;8;2;1;0;4;0;0;3
2020-04-15 01:11:59;40;6;8;9;2;1;0;4;0;0;3
2020-04-15 01:12:59;40;6;8;9;2;1;0;4;0;0;3
2020-04-15 01:13:58;40;6;8;9;2;1;0;4;0;0;3
2020-04-15 01:14:59;41;6;9;9;2;1;0;4;0;0;3
2020-04-15 01:15:59;41;6;9;9;2;1;0;4;0;0;3
2020-04-15 01:16:58;41;6;9;9;2;1;0;4;0;0;3
2020-04-15 01:17:59;41;6;9;9;2;1;0;4;0;0;3
2020-04-15 01:18:59;43;6;9;11;2;1;0;4;0;0;3
2020-04-15 01:19:58;43;6;9;11;2;1;0;4;0;0;3
2020-04-15 01:20:59;43;6;9;11;2;1;0;4;0;0;3
2020-04-15 01:21:59;45;6;10;11;2;1;0;5;0;0;3
2020-04-15 01:22:59;46;6;10;12;2;1;0;5;0;0;3
2020-04-15 01:23:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:24:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:25:58;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:26:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:27:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:28:58;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:29:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:30:59;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:32:00;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:32:58;47;7;10;12;2;1;0;5;0;0;3
2020-04-15 01:33:59;48;7;10;13;2;1;0;5;0;0;3
2020-04-15 01:34:59;48;7;10;13;2;1;0;5;0;0;3
2020-04-15 01:35:58;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:36:59;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:37:59;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:38:58;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:39:59;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:40:59;49;7;10;14;2;1;0;5;0;0;3
2020-04-15 01:41:58;50;7;11;14;2;1;0;5;0;0;3
2020-04-15 01:42:59;50;7;11;14;2;1;0;5;0;0;3
2020-04-15 01:43:59;51;7;11;14;3;1;0;5;0;0;3
2020-04-15 01:44:58;52;7;12;14;3;1;0;5;0;0;3
2020-04-15 01:45:59;53;8;12;14;3;1;0;5;0;0;3
2020-04-15 01:46:59;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:47:58;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:48:59;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:49:58;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:50:59;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:51:58;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:52:59;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:53:59;54;8;13;14;3;1;0;5;0;0;3
2020-04-15 01:54:58;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 01:55:59;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 01:56:59;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 01:58:00;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 01:58:58;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 01:59:59;55;8;13;15;3;1;0;5;0;0;3
2020-04-15 02:00:59;55;8;13;15;3;1;0;5;0;0;3
