datetime;total_votes;KT;cmapukocmankypum;Polkovnik;quick_justice;XASSA;Great_Mu;Lazarus;BlackIrony;kotophalk;Nutshell
2020-04-22 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-04-22 00:01:59;2;0;0;1;0;0;0;0;0;0;0
2020-04-22 00:02:59;3;0;1;1;0;0;0;0;0;0;0
2020-04-22 00:03:58;3;0;1;1;0;0;0;0;0;0;0
2020-04-22 00:04:59;7;0;3;2;0;0;0;0;0;0;0
2020-04-22 00:05:59;7;0;3;2;0;0;0;0;0;0;0
2020-04-22 00:06:59;7;0;3;2;0;0;0;0;0;0;0
2020-04-22 00:07:58;7;0;3;2;0;0;0;0;0;0;0
2020-04-22 00:08:59;7;0;3;2;0;0;0;0;0;0;0
2020-04-22 00:09:58;8;0;3;2;0;0;1;0;0;0;0
2020-04-22 00:10:59;8;0;3;2;0;0;1;0;0;0;0
2020-04-22 00:11:59;8;0;3;2;0;0;1;0;0;0;0
2020-04-22 00:12:58;9;0;4;2;0;0;1;0;0;0;0
2020-04-22 00:13:59;10;0;5;2;0;0;1;0;0;0;0
2020-04-22 00:14:59;11;0;6;2;0;0;1;0;0;0;0
2020-04-22 00:15:58;12;0;6;3;0;0;1;0;0;0;0
2020-04-22 00:16:59;14;0;6;3;0;0;1;1;0;1;0
2020-04-22 00:17:59;14;0;6;3;0;0;1;1;0;1;0
2020-04-22 00:18:58;15;0;6;3;0;0;1;2;0;1;0
2020-04-22 00:19:59;16;0;6;4;0;0;1;2;0;1;0
2020-04-22 00:20:58;16;0;6;4;0;0;1;2;0;1;0
2020-04-22 00:21:59;16;0;6;4;0;0;1;2;0;1;0
2020-04-22 00:22:59;17;1;6;4;0;0;1;2;0;1;0
2020-04-22 00:23:58;17;1;6;4;0;0;1;2;0;1;0
2020-04-22 00:24:59;17;2;5;4;0;0;1;2;0;1;0
2020-04-22 00:25:59;17;2;5;4;0;0;1;2;0;1;0
2020-04-22 00:26:58;18;2;6;4;0;0;1;2;0;1;0
2020-04-22 00:27:59;18;2;6;4;0;0;1;2;0;1;0
2020-04-22 00:28:59;18;2;6;4;0;0;1;2;0;1;0
2020-04-22 00:29:59;18;2;6;4;0;0;1;2;0;1;0
2020-04-22 00:30:58;18;2;6;4;0;0;1;2;0;1;0
2020-04-22 00:31:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:32:58;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:33:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:34:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:35:58;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:36:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:37:58;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:38:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:39:59;19;2;7;4;0;0;1;2;0;1;0
2020-04-22 00:40:58;20;2;8;4;0;0;1;2;0;1;0
2020-04-22 00:41:59;20;2;8;4;0;0;1;2;0;1;0
2020-04-22 00:42:59;20;2;8;4;0;0;1;2;0;1;0
2020-04-22 00:43:58;20;2;8;4;0;0;1;2;0;1;0
