datetime;total_votes;groundhog;cmapukocmankypum;paramed;kaiL;KOCTOPE3;tutabrain;medstas;BlackIrony;rockamark;KT
2020-04-29 00:00:59;2;1;0;0;0;0;1;0;0;0;0
2020-04-29 00:01:59;3;1;0;0;0;0;1;0;0;0;0
2020-04-29 00:02:59;4;2;0;0;0;0;1;0;0;0;0
2020-04-29 00:03:58;4;2;0;0;0;0;1;0;0;0;0
2020-04-29 00:04:59;5;3;0;0;0;0;1;0;0;0;0
2020-04-29 00:05:59;5;3;0;0;0;0;1;0;0;0;0
2020-04-29 00:06:58;5;3;0;0;0;0;1;0;0;0;0
2020-04-29 00:07:59;6;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:08:59;6;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:09:58;6;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:10:59;6;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:11:59;7;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:12:58;7;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:13:59;7;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:14:59;7;4;0;0;0;0;1;0;0;0;0
2020-04-29 00:15:58;8;4;0;0;0;1;1;0;0;0;0
2020-04-29 00:16:59;8;4;0;0;0;1;1;0;0;0;0
2020-04-29 00:17:59;8;4;0;0;0;1;1;0;0;0;0
2020-04-29 00:18:58;9;4;0;0;0;1;1;0;0;0;1
2020-04-29 00:19:59;10;4;0;1;0;1;1;0;0;0;1
2020-04-29 00:20:59;10;4;0;1;0;1;1;0;0;0;1
2020-04-29 00:21:58;12;4;0;1;0;1;1;0;0;0;1
2020-04-29 00:22:59;12;4;0;1;0;1;1;0;0;0;1
2020-04-29 00:23:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:24:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:25:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:26:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:27:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:28:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:30:00;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:30:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:31:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:32:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:33:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:34:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:35:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:36:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:37:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:38:58;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:39:59;13;4;0;1;0;1;1;0;0;0;2
2020-04-29 00:40:59;14;4;0;1;0;1;1;0;0;1;2
2020-04-29 00:41:58;14;4;0;1;0;1;1;0;0;1;2
2020-04-29 00:42:59;14;4;0;1;0;1;1;0;0;1;2
2020-04-29 00:43:58;14;4;0;1;0;1;1;0;0;1;2
2020-04-29 00:44:59;14;4;0;1;0;1;1;0;0;1;2
2020-04-29 00:45:59;16;4;0;2;0;1;1;0;0;1;2
2020-04-29 00:46:58;18;4;1;2;0;1;0;0;0;1;3
2020-04-29 00:47:59;19;4;0;2;0;1;0;0;0;1;3
2020-04-29 00:48:58;19;4;0;2;0;1;0;0;0;1;3
2020-04-29 00:49:59;21;6;0;2;0;1;0;0;0;1;3
2020-04-29 00:50:59;22;6;2;2;0;1;0;0;0;1;3
2020-04-29 00:51:58;22;6;2;2;0;1;0;0;0;1;3
2020-04-29 00:52:59;22;6;2;2;0;1;0;0;0;1;3
2020-04-29 00:53:59;24;6;3;2;0;2;0;0;0;1;3
2020-04-29 00:54:58;25;6;3;3;0;2;0;0;0;1;3
2020-04-29 00:55:59;26;7;3;3;0;2;0;0;0;1;3
2020-04-29 00:56:59;26;8;3;3;0;2;1;0;0;1;2
2020-04-29 00:57:58;26;8;3;3;0;2;1;0;0;1;2
2020-04-29 00:58:59;27;9;3;3;0;2;1;0;0;1;2
2020-04-29 00:59:59;27;9;3;3;0;2;1;0;0;1;2
2020-04-29 01:00:58;28;9;3;4;0;2;1;0;0;1;2
2020-04-29 01:01:59;29;10;3;4;0;2;1;0;0;1;2
2020-04-29 01:02:59;29;10;3;4;0;2;1;0;0;1;2
2020-04-29 01:03:58;29;10;3;4;0;2;1;0;0;1;2
2020-04-29 01:04:59;29;10;3;4;0;2;1;0;0;1;2
2020-04-29 01:05:58;30;10;3;5;0;2;1;0;0;1;2
2020-04-29 01:06:59;30;10;3;5;0;2;1;0;0;1;2
2020-04-29 01:07:59;30;10;3;5;0;2;1;0;0;1;2
2020-04-29 01:08:58;31;10;3;6;0;2;1;0;0;1;2
2020-04-29 01:09:59;32;11;3;6;0;2;1;0;0;1;2
2020-04-29 01:10:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:11:58;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:12:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:13:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:14:58;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:15:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:16:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:17:58;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:18:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:19:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:20:58;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:21:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:22:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:23:58;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:24:59;34;13;3;6;0;2;1;0;0;1;2
2020-04-29 01:25:58;35;14;3;6;0;2;1;0;0;1;2
2020-04-29 01:26:59;35;14;3;6;0;2;1;0;0;1;2
2020-04-29 01:27:58;35;14;3;6;0;2;1;0;0;1;2
2020-04-29 01:28:59;35;14;3;6;0;2;1;0;0;1;2
2020-04-29 01:29:59;35;14;3;6;0;2;1;0;0;1;2
2020-04-29 01:30:58;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:31:59;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:32:59;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:33:58;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:34:59;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:35:58;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:36:59;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:37:59;35;14;3;6;0;2;1;1;0;1;2
2020-04-29 01:38:58;36;14;3;6;0;3;1;1;0;1;2
2020-04-29 01:39:59;36;14;3;6;0;3;1;1;0;1;2
2020-04-29 01:40:59;36;14;3;6;0;3;1;1;0;1;2
2020-04-29 01:41:58;36;14;3;6;0;3;1;1;0;1;2
2020-04-29 01:42:59;37;14;3;6;0;4;1;0;0;1;2
2020-04-29 01:43:59;37;14;3;6;0;4;1;0;0;1;2
2020-04-29 01:44:58;37;14;3;6;0;4;1;0;0;1;2
2020-04-29 01:45:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:46:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:47:58;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:48:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:50:00;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:50:58;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:51:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:53:00;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:53:58;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:54:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:55:59;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:56:58;38;15;3;6;0;4;1;0;0;1;2
2020-04-29 01:57:59;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 01:58:58;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 01:59:59;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 02:00:59;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 02:01:58;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 02:02:59;39;16;3;6;0;4;1;0;0;1;2
2020-04-29 02:03:59;40;17;3;6;0;4;1;0;0;1;2
2020-04-29 02:04:58;40;17;3;6;0;4;1;0;0;1;2
2020-04-29 02:05:59;40;17;3;6;0;4;1;0;0;1;2
2020-04-29 02:06:58;40;17;3;6;0;4;1;0;0;1;2
2020-04-29 02:07:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:08:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:09:58;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:10:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:11:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:12:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:13:58;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:14:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:15:59;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:16:58;41;17;4;6;0;4;1;1;0;1;2
2020-04-29 02:17:59;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:19:00;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:19:58;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:20:59;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:21:58;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:22:59;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:23:59;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:24:58;42;17;4;7;0;4;1;1;0;1;2
2020-04-29 02:25:59;44;19;4;7;0;4;1;1;0;1;2
2020-04-29 02:26:59;44;19;4;7;0;4;1;1;0;1;2
2020-04-29 02:28:00;44;19;4;7;0;4;1;1;0;1;2
2020-04-29 02:28:58;44;19;4;7;0;4;1;1;0;1;2
2020-04-29 02:29:59;44;19;4;7;0;4;1;1;0;1;2
2020-04-29 02:30:58;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:31:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:32:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:33:58;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:34:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:36:00;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:36:58;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:37:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:38:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:39:58;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:40:59;45;20;4;7;0;4;1;1;0;1;2
2020-04-29 02:41:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:42:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:43:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:44:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:45:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:46:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:47:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:48:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:49:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:50:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:51:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:52:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:53:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:54:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:55:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:56:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:57:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:58:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 02:59:58;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 03:00:59;46;20;4;7;0;4;0;1;0;1;2
2020-04-29 03:01:59;46;20;4;7;0;4;0;1;0;1;2
